Azone,Bzone,PECASName,ALDRegion,State,COUNTY,STATEFIPS,COUNTYFIPS,PUMA2000,PUMA1990,GridAcres,HourPark,DayPark,LUIntensityCode,MPOcalibrationzones,MPOmodeledzones,ACT,AggACT,Fare,HPMS,AreaType,NorthColumbia
37,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,225.2,0,0,Low,Metro,Metro,2,PDX,TriMet1,PORTLAND,2,0
38,31,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,348.5,0,0,VeryLow,Metro,Metro,2,PDX,TriMet2,PORTLAND,2,0
39,31,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,270.24,0,0,Low,Metro,Metro,2,PDX,TriMet2,PORTLAND,2,0
40,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,461.77,0,0,Medium,Metro,Metro,2,PDX,TriMet2,PORTLAND,3,0
41,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,197.33,0,0,Low,Metro,Metro,2,PDX,TriMet1,PORTLAND,3,0
42,31,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,628.1,0,0,VeryLow,Metro,Metro,2,PDX,TriMet1,PORTLAND,2,0
43,31,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,305.47,0.27323667,4.37178672,High,Metro,Metro,2,PDX,TriMet1,PORTLAND,3,0
44,1,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,107.47,0,0,High,Metro,Metro,2,PDX,TriMet1,PORTLAND,4,0
45,1,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,68.23,0,0,Medium,Metro,Metro,2,PDX,TriMet1,PORTLAND,3,0
46,31,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,101.45,0,0,Medium,Metro,Metro,2,PDX,TriMet1,PORTLAND,3,0
47,31,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,121.52,0,0,Medium,Metro,Metro,2,PDX,TriMet1,PORTLAND,3,0
48,31,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,71.8,0,0,Medium,Metro,Metro,2,PDX,TriMet1,PORTLAND,3,0
49,31,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,185.73,0,0,Medium,Metro,Metro,2,PDX,TriMet2,PORTLAND,3,0
50,31,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,110.37,0,0,Low,Metro,Metro,2,PDX,TriMet1,PORTLAND,3,0
51,31,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,334.23,0,0,Low,Metro,Metro,2,PDX,TriMet1,PORTLAND,2,0
52,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,367.01,0,0,Low,Metro,Metro,2,PDX,TriMet2,PORTLAND,3,0
53,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,322.64,0,0,Low,Metro,Metro,2,PDX,TriMet2,PORTLAND,3,0
54,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,624.76,0,0,Low,Metro,Metro,2,PDX,TriMet2,PORTLAND,3,0
55,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,446.16,0,0,Medium,Metro,Metro,2,PDX,TriMet2,PORTLAND,3,0
56,31,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,263.1,0,0,Medium,Metro,Metro,2,PDX,TriMet2,PORTLAND,3,0
57,31,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,29.43,0,0,VeryLow,Metro,Metro,2,PDX,TriMet2,PORTLAND,2,0
58,31,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,61.09,0,0,Medium,Metro,Metro,2,PDX,TriMet2,PORTLAND,3,0
59,31,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,57.08,0,0,Low,Metro,Metro,2,PDX,TriMet2,PORTLAND,3,0
60,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,80.49,0,0,Low,Metro,Metro,2,PDX,TriMet2,PORTLAND,3,0
61,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,383.95,0,0,VeryLow,Metro,Metro,2,PDX,TriMet2,PORTLAND,2,0
62,37,Portland,Portland_Vancouver,OR,Multnomah,41,51,1304,1300,509.26,0,0,Low,Metro,Metro,2,PDX,TriMet2,PORTLAND,2,0
