25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OLOED value: 2194.3162
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OLUM value: 11473.997601916633
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OOD value: 12842.068167443247
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OOND value: 4169.000312530219
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OPERS value: 6871.030454881582
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OPULP value: 2487.5550097855585
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: ORET value: 10431.415614549795
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OWHO value: 8657.474833454933
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OTRA value: 5324.364622756996
25-Jan-2007 13:52:30, GAIA, [main], INFO, Writing values to CSV file.
25-Jan-2007 13:52:30, GAIA, [main], INFO, Beginning submodel 'Employment' of type 'SimpleFunctions'
25-Jan-2007 13:52:30, GAIA, [main], INFO, 	Reading data
25-Jan-2007 13:52:30, GAIA, [main], INFO, 	Solving model
25-Jan-2007 13:52:30, GAIA, [main], INFO, 	Writing data
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OEMPACC value: 20402.288422004083
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OEMPAGM value: 94369.82466532958
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OEMPCOM value: 23732.56841020004
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OEMPCON value: 78667.10224670474
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OEMPELE value: 29375.18840526998
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OEMPFIRP value: 174047.2897529659
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OEMPFOO value: 25260.174135029494
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OEMPGOV value: 120120.54780253048
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OEMPHEA value: 101671.97156286547
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OEMPHIED value: 45710.163927870046
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OEMPHOME value: 14049.355309989767
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OEMPLOED value: 90960.76538460498
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OEMPLUM value: 62306.40523952668
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OEMPDG value: 67007.81311713792
25-Jan-2007 13:52:30, GAIA, [main], INFO, 		variable: OEMPOND value: 30917.202932418437
