OFareDistrict,DFareDistrict,Fare
TriMetFareless,TriMetFareless,1.63
TriMet,TriMetFareless,1.63
Willsonville,TriMetFareless,2.77
CTRAN,TriMetFareless,3.37
TriMetFareless,TriMet,1.63
TriMet,TriMet,1.63
Willsonville,TriMet,2.77
CTRAN,TriMet,1.9
TriMetFareless,Willsonville,2.77
TriMet,Willsonville,2.77
Willsonville,Willsonville,0
CTRAN,Willsonville,4.67
TriMetFareless,CTRAN,3.37
TriMet,CTRAN,1.9
Willsonville,CTRAN,4.67
CTRAN,CTRAN,1.37
Salem,Salem,1.34
LTD,LTD,1.56
RVTD,RVTD,1.78
Corvallis,Corvallis,0
Bend,Bend,1.34
GrantsPass,GrantsPass,0.89
Albany,Albany,0.89
WallaWalla,WallaWalla,0.45
NONE,NONE,2
