ZoneNumber,Commodity,TargetPrice,Tolerance,region,type,confidence
1505,FLR Hospital,16.07186508,8.03593254,EugeneSpringfield,Office,Medium
1525,FLR Hospital,10.44475365,5.222376825,EugeneSpringfield,Office,Medium
1553,FLR Hospital,10.44475365,5.222376825,EugeneSpringfield,Office,Medium
1562,FLR Hospital,10.44475365,5.222376825,EugeneSpringfield,Office,Medium
1588,FLR Hospital,10.44475365,5.222376825,EugeneSpringfield,Office,Medium
1598,FLR Hospital,10.44475365,5.222376825,EugeneSpringfield,Office,Medium
1617,FLR Hospital,16.07186508,8.03593254,EugeneSpringfield,Office,Medium
1630,FLR Hospital,10.44475365,5.222376825,EugeneSpringfield,Office,Medium
1639,FLR Hospital,10.44475365,5.222376825,EugeneSpringfield,Office,Medium
1650,FLR Hospital,10.44475365,5.222376825,EugeneSpringfield,Office,Medium
1658,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
1701,FLR Hospital,11.58168316,5.79084158,RogueValley,Office,Medium
1702,FLR Hospital,6.025047779,3.01252389,RogueValley,Office,Medium
1706,FLR Hospital,6.025047779,3.01252389,RogueValley,Office,Medium
1710,FLR Hospital,14.59824753,7.299123765,RogueValley,Office,Medium
1715,FLR Hospital,15.46845341,7.734226705,RogueValley,Office,Medium
1717,FLR Hospital,11.72644997,5.863224985,RogueValley,Office,Medium
1719,FLR Hospital,15.51196384,7.75598192,RogueValley,Office,Medium
1720,FLR Hospital,14.89717197,7.448585985,RogueValley,Office,Medium
1723,FLR Hospital,16.16461945,8.082309725,RogueValley,Office,Medium
1724,FLR Hospital,15.79217815,7.896089075,RogueValley,Office,Medium
1726,FLR Hospital,16.07150841,8.035754205,RogueValley,Office,Medium
1728,FLR Hospital,16.16461945,8.082309725,RogueValley,Office,Medium
1732,FLR Hospital,15.41973782,7.70986891,RogueValley,Office,Medium
1736,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
1752,FLR Hospital,16.16461945,8.082309725,RogueValley,Office,Medium
1774,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
1775,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2009,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2011,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2018,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2023,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2025,FLR Hospital,26.71011353,26.71011353,OR-Small Cities,Office,VLow
2028,FLR Hospital,19.08495522,19.08495522,OR-Small Cities,Office,VLow
2031,FLR Hospital,43.80833435,43.80833435,OR-Small Cities,Office,VLow
2035,FLR Hospital,43.80833435,43.80833435,OR-Small Cities,Office,VLow
2042,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2045,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2046,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2051,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2056,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2059,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2063,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2072,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2073,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2076,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2092,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2094,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2098,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2109,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2111,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2112,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2119,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2122,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2123,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2126,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2134,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2139,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2148,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2156,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2162,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2167,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2169,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2173,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2180,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2184,FLR Hospital,12.78986835,12.78986835,NonMPO,Office,VLow
2185,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2186,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2190,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2194,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2195,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2198,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2204,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2208,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2209,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2216,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2218,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2224,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2225,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2227,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2229,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2231,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2235,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2238,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2242,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2244,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2245,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2247,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2248,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2249,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2254,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2268,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2271,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2274,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2278,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
2280,FLR Hospital,13.71926594,13.71926594,OR-Small Cities,Office,VLow
