ZoneNumber,Commodity,TargetFloorspace,Tolerance,region,type,confidence
1,FLR Hospital,647629.5869,323814.7935,Metro,Office,50%
17,FLR Hospital,347014.1,173507.05,Metro,Office,50%
19,FLR Hospital,0,1000,Metro,Office,50%
31,FLR Hospital,647405.33,323702.665,Metro,Office,50%
37,FLR Hospital,0,1000,Metro,Office,50%
79,FLR Hospital,1016364.69,508182.345,Metro,Office,50%
81,FLR Hospital,0,1000,Metro,Office,50%
89,FLR Hospital,0,1000,Metro,Office,50%
104,FLR Hospital,0,1000,Metro,Office,50%
114,FLR Hospital,0,1000,Metro,Office,50%
117,FLR Hospital,0,1000,Metro,Office,50%
150,FLR Hospital,0,1000,Metro,Office,50%
154,FLR Hospital,0,1000,Metro,Office,50%
161,FLR Hospital,112791.59,56395.795,Metro,Office,50%
223,FLR Hospital,0,1000,Metro,Office,50%
229,FLR Hospital,293585.14,146792.57,Metro,Office,50%
244,FLR Hospital,0,1000,Metro,Office,50%
267,FLR Hospital,0,1000,Metro,Office,50%
271,FLR Hospital,0,1000,Metro,Office,50%
273,FLR Hospital,0,1000,Metro,Office,50%
290,FLR Hospital,0,1000,Metro,Office,50%
294,FLR Hospital,0,1000,Metro,Office,50%
323,FLR Hospital,0,1000,Metro,Office,50%
355,FLR Hospital,0,1000,Metro,Office,50%
361,FLR Hospital,229096.66,114548.33,Metro,Office,50%
385,FLR Hospital,0,1000,Metro,Office,50%
404,FLR Hospital,0,1000,Metro,Office,50%
405,FLR Hospital,149252.37,74626.185,Metro,Office,50%
411,FLR Hospital,0,1000,Metro,Office,50%
418,FLR Hospital,0,1000,Metro,Office,50%
441,FLR Hospital,0,1000,Metro,Office,50%
444,FLR Hospital,317585.2154,158792.6077,Metro,Office,50%
468,FLR Hospital,0,1000,Metro,Office,50%
481,FLR Hospital,0,1000,Metro,Office,50%
499,FLR Hospital,196116.43,98058.215,Metro,Office,50%
504,FLR Hospital,142.4387938,1000,Metro,Office,50%
536,FLR Hospital,0,1000,Metro,Office,50%
542,FLR Hospital,117625.85,58812.925,Metro,Office,50%
570,FLR Hospital,28709.4,14354.7,Metro,Office,50%
575,FLR Hospital,0,1000,Metro,Office,50%
618,FLR Hospital,142.4787887,1000,Metro,Office,50%
623,FLR Hospital,0,1000,Metro,Office,50%
636,FLR Hospital,0,1000,Metro,Office,50%
714,FLR Hospital,689654.04,344827.02,Metro,Office,50%
715,FLR Hospital,1335357.634,667678.8169,Metro,Office,50%
721,FLR Hospital,0,1000,Metro,Office,50%
727,FLR Hospital,359365.26,179682.63,Metro,Office,50%
733,FLR Hospital,0,1000,Metro,Office,50%
763,FLR Hospital,0,1000,Metro,Office,50%
776,FLR Hospital,0,1000,Metro,Office,50%
851,FLR Hospital,0,1000,Metro,Office,50%
852,FLR Hospital,0,1000,Metro,Office,50%
866,FLR Hospital,0,1000,Metro,Office,50%
869,FLR Hospital,0,1000,Metro,Office,50%
905,FLR Hospital,0,1000,Metro,Office,50%
970,FLR Hospital,127166.8941,63583.44706,Metro,Office,50%
991,FLR Hospital,84202.56054,42101.28027,Metro,Office,50%
1000,FLR Hospital,60065.68741,30032.8437,Metro,Office,50%
1002,FLR Hospital,157675.9843,78837.99217,Metro,Office,50%
1025,FLR Hospital,194585.9258,97292.96291,Metro,Office,50%
1044,FLR Hospital,79652.38064,39826.19032,Metro,Office,50%
1114,FLR Hospital,12652.13,6326.065,Metro,Office,50%
1131,FLR Hospital,32661.21236,16330.60618,Metro,Office,50%
1153,FLR Hospital,87763.86803,43881.93401,Metro,Office,50%
1175,FLR Hospital,36248.97,18124.485,Metro,Office,50%
1177,FLR Hospital,134159.785,67079.89251,Metro,Office,50%
1292,FLR Hospital,0,1000,Metro,Office,50%
1301,FLR Hospital,714217.26,357108.63,SalemKeizer,Office,50%
1303,FLR Hospital,0,1000,SalemKeizer,Office,50%
1313,FLR Hospital,0,1000,SalemKeizer,Office,50%
1314,FLR Hospital,0,1000,SalemKeizer,Office,50%
1316,FLR Hospital,327.76,1000,SalemKeizer,Office,50%
1318,FLR Hospital,0,1000,SalemKeizer,Office,50%
1324,FLR Hospital,0,1000,SalemKeizer,Office,50%
1328,FLR Hospital,0,1000,SalemKeizer,Office,50%
1337,FLR Hospital,0,1000,SalemKeizer,Office,50%
1364,FLR Hospital,0,1000,SalemKeizer,Office,50%
1369,FLR Hospital,0,1000,SalemKeizer,Office,50%
1374,FLR Hospital,0,1000,SalemKeizer,Office,50%
1394,FLR Hospital,140.3572742,1000,SalemKeizer,Office,50%
1401,FLR Hospital,0,1000,SalemKeizer,Office,50%
1408,FLR Hospital,293432.43,146716.215,SalemKeizer,Office,50%
1415,FLR Hospital,0,1000,SalemKeizer,Office,50%
1437,FLR Hospital,0,1000,SalemKeizer,Office,50%
1453,FLR Hospital,0,1000,SalemKeizer,Office,50%
1466,FLR Hospital,0,1000,SalemKeizer,Office,50%
1468,FLR Hospital,0,1000,SalemKeizer,Office,50%
1470,FLR Hospital,0,1000,NonMPO,Office,100%
1501,FLR Hospital,0,1000,EugeneSpringfield,Office,50%
1502,FLR Hospital,0,1000,EugeneSpringfield,Office,50%
1503,FLR Hospital,0,1000,EugeneSpringfield,Office,50%
1505,FLR Hospital,1483409.19,741704.595,EugeneSpringfield,Office,50%
1525,FLR Hospital,0,1000,EugeneSpringfield,Office,50%
1553,FLR Hospital,195.51,1000,EugeneSpringfield,Office,50%
1562,FLR Hospital,0,1000,EugeneSpringfield,Office,50%
1588,FLR Hospital,0,1000,EugeneSpringfield,Office,50%
1598,FLR Hospital,0,1000,EugeneSpringfield,Office,50%
1617,FLR Hospital,217919.09,108959.545,EugeneSpringfield,Office,50%
1630,FLR Hospital,0,1000,EugeneSpringfield,Office,50%
1639,FLR Hospital,0,1000,EugeneSpringfield,Office,50%
1650,FLR Hospital,0,1000,EugeneSpringfield,Office,50%
1658,FLR Hospital,0,1000,NonMPO,Office,100%
1701,FLR Hospital,0,1000,RogueValley,Office,50%
1702,FLR Hospital,0,1000,RogueValley,Office,50%
1706,FLR Hospital,0,1000,RogueValley,Office,50%
1710,FLR Hospital,0,1000,RogueValley,Office,50%
1715,FLR Hospital,0,1000,RogueValley,Office,50%
1717,FLR Hospital,0,1000,RogueValley,Office,50%
1719,FLR Hospital,0,1000,RogueValley,Office,50%
1720,FLR Hospital,631990.88,315995.44,RogueValley,Office,50%
1723,FLR Hospital,141.0866812,1000,RogueValley,Office,50%
1724,FLR Hospital,0,1000,RogueValley,Office,50%
1726,FLR Hospital,0,1000,RogueValley,Office,50%
1728,FLR Hospital,0,1000,RogueValley,Office,50%
1732,FLR Hospital,0,1000,RogueValley,Office,50%
1736,FLR Hospital,0,1000,OR-Small Cities,Office,100%
1752,FLR Hospital,305251.6,152625.8,RogueValley,Office,50%
1774,FLR Hospital,0,1000,OR-Small Cities,Office,100%
1775,FLR Hospital,0,1000,NonMPO,Office,100%
2009,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2011,FLR Hospital,123905.35,123905.35,OR-Small Cities,Office,100%
2018,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2023,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2025,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2028,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2031,FLR Hospital,98577.69,98577.69,OR-Small Cities,Office,100%
2035,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2042,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2045,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2046,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2051,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2056,FLR Hospital,95987.95,95987.95,OR-Small Cities,Office,100%
2059,FLR Hospital,0,1000,NonMPO,Office,100%
2063,FLR Hospital,106657,106657,OR-Small Cities,Office,100%
2072,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2073,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2076,FLR Hospital,142047.22,142047.22,OR-Small Cities,Office,100%
2092,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2094,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2098,FLR Hospital,145369.38,145369.38,OR-Small Cities,Office,100%
2109,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2111,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2112,FLR Hospital,26941.18,26941.18,OR-Small Cities,Office,100%
2119,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2122,FLR Hospital,504.29,1000,OR-Small Cities,Office,100%
2123,FLR Hospital,0,1000,NonMPO,Office,100%
2126,FLR Hospital,463.29,1000,OR-Small Cities,Office,100%
2134,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2139,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2148,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2156,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2162,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2167,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2169,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2173,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2180,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2184,FLR Hospital,0,1000,NonMPO,Office,100%
2185,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2186,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2190,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2194,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2195,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2198,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2204,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2208,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2209,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2216,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2218,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2224,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2225,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2227,FLR Hospital,414.3403116,1000,OR-Small Cities,Office,100%
2229,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2231,FLR Hospital,26875.17,26875.17,OR-Small Cities,Office,100%
2235,FLR Hospital,158263.3,158263.3,OR-Small Cities,Office,100%
2238,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2242,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2244,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2245,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2247,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2248,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2249,FLR Hospital,165623.74,165623.74,OR-Small Cities,Office,100%
2254,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2268,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2271,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2274,FLR Hospital,475.2985377,1000,OR-Small Cities,Office,100%
2278,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2280,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2283,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2286,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2287,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2288,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2300,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2301,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2304,FLR Hospital,44957.37,44957.37,OR-Small Cities,Office,100%
2305,FLR Hospital,142.4787887,1000,OR-Small Cities,Office,100%
2311,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2315,FLR Hospital,0,1000,NonMPO,Office,100%
2317,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2319,FLR Hospital,126663.26,126663.26,OR-Small Cities,Office,100%
2324,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2326,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2330,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2333,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2334,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2337,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2342,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2343,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2344,FLR Hospital,50427.23,50427.23,OR-Small Cities,Office,100%
2353,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2355,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2362,FLR Hospital,0,1000,Corvallis,Office,50%
2366,FLR Hospital,0,1000,Corvallis,Office,50%
2367,FLR Hospital,0,1000,NonMPO,Office,100%
2370,FLR Hospital,496630.3119,248315.156,Corvallis,Office,50%
2374,FLR Hospital,0,1000,Corvallis,Office,50%
2376,FLR Hospital,0,1000,Corvallis,Office,50%
2383,FLR Hospital,0,1000,Corvallis,Office,50%
2412,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2420,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2426,FLR Hospital,183591.5742,183591.5742,OR-Small Cities,Office,100%
2431,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2455,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2456,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2461,FLR Hospital,132879.22,132879.22,OR-Small Cities,Office,100%
2462,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2465,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2475,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2487,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2489,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2497,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2498,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2502,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2509,FLR Hospital,0,1000,NonMPO,Office,100%
2512,FLR Hospital,0,1000,NonMPO,Office,100%
2514,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2524,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2528,FLR Hospital,0,1000,NonMPO,Office,100%
2531,FLR Hospital,0,1000,NonMPO,Office,100%
2532,FLR Hospital,0,1000,NonMPO,Office,100%
2533,FLR Hospital,0,1000,NonMPO,Office,100%
2534,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2537,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2544,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2548,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2550,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2556,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2558,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2565,FLR Hospital,0,1000,NonMPO,Office,100%
2566,FLR Hospital,0,1000,NonMPO,Office,100%
2568,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2569,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2573,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2578,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2579,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2582,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2584,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2589,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2598,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2599,FLR Hospital,0,1000,NonMPO,Office,100%
2601,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2603,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2605,FLR Hospital,128607.08,128607.08,OR-Small Cities,Office,100%
2613,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2616,FLR Hospital,0,1000,NonMPO,Office,100%
2617,FLR Hospital,0,1000,NonMPO,Office,100%
2618,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2620,FLR Hospital,255.4,1000,OR-Small Cities,Office,100%
2623,FLR Hospital,76535.39301,76535.39301,OR-Small Cities,Office,100%
2638,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2654,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2658,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2662,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2664,FLR Hospital,0,1000,NonMPO,Office,100%
2666,FLR Hospital,0,1000,NonMPO,Office,100%
2670,FLR Hospital,0,1000,NonMPO,Office,100%
2671,FLR Hospital,0,1000,NonMPO,Office,100%
2672,FLR Hospital,205.3,1000,NonMPO,Office,100%
2678,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2679,FLR Hospital,1557.25,1557.25,OR-Small Cities,Office,100%
2683,FLR Hospital,2262.71,2262.71,OR-Small Cities,Office,100%
2692,FLR Hospital,266916.64,266916.64,OR-Small Cities,Office,100%
2696,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2699,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2711,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2712,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2721,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2722,FLR Hospital,0,1000,NonMPO,Office,100%
2724,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2726,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2727,FLR Hospital,0,1000,NonMPO,Office,100%
2732,FLR Hospital,0,1000,NonMPO,Office,100%
2733,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2735,FLR Hospital,0,1000,NonMPO,Office,100%
2740,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2742,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2756,FLR Hospital,0,1000,RogueValley,Office,50%
2759,FLR Hospital,0,1000,NonMPO,Office,100%
2767,FLR Hospital,0,1000,RogueValley,Office,50%
2772,FLR Hospital,19485.4,9742.7,RogueValley,Office,50%
2779,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2782,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2783,FLR Hospital,0,1000,NonMPO,Office,100%
2784,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2787,FLR Hospital,143831.1,143831.1,OR-Small Cities,Office,100%
2800,FLR Hospital,325.05,1000,OR-Small Cities,Office,100%
2807,FLR Hospital,159.48,1000,OR-Small Cities,Office,100%
2817,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2821,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2822,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2823,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2824,FLR Hospital,0,1000,NonMPO,Office,100%
2825,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2826,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2827,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2828,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2829,FLR Hospital,0,1000,NonMPO,Office,100%
2830,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2831,FLR Hospital,201.03,1000,OR-Small Cities,Office,100%
2836,FLR Hospital,0,1000,Deschutes-Rural,Office,50%
2837,FLR Hospital,233.04,1000,OR-Small Cities,Office,100%
2839,FLR Hospital,0,1000,NonMPO,Office,100%
2841,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2842,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2843,FLR Hospital,0,1000,NonMPO,Office,100%
2846,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2847,FLR Hospital,41884.86,41884.86,OR-Small Cities,Office,100%
2848,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2857,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2859,FLR Hospital,0,1000,NonMPO,Office,100%
2860,FLR Hospital,0,1000,Deschutes-Rural,Office,50%
2861,FLR Hospital,0,1000,Deschutes-Rural,Office,50%
2863,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2866,FLR Hospital,104041.93,52020.965,Redmond,Office,50%
2872,FLR Hospital,0,1000,Redmond,Office,50%
2878,FLR Hospital,0,1000,Deschutes-Rural,Office,50%
2879,FLR Hospital,0,1000,Deschutes-Rural,Office,50%
2884,FLR Hospital,0,1000,NonMPO,Office,100%
2889,FLR Hospital,0,1000,Deschutes-Rural,Office,50%
2894,FLR Hospital,0,1000,NonMPO,Office,100%
2895,FLR Hospital,0,1000,NonMPO,Office,100%
2896,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2897,FLR Hospital,0,1000,NonMPO,Office,100%
2898,FLR Hospital,0,1000,NonMPO,Office,100%
2899,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2900,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2901,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2906,FLR Hospital,265626.22,265626.22,OR-Small Cities,Office,100%
2908,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2911,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2955,FLR Hospital,0,1000,NonMPO,Office,100%
2956,FLR Hospital,0,1000,NonMPO,Office,100%
2957,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2958,FLR Hospital,0,1000,NonMPO,Office,100%
2959,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2960,FLR Hospital,0,1000,OR-Small Cities,Office,100%
2964,FLR Hospital,0,1000,Bend-North,Office,50%
2968,FLR Hospital,0,1000,Bend-South,Office,50%
2970,FLR Hospital,0,1000,Deschutes-Rural,Office,50%
2971,FLR Hospital,0,1000,Deschutes-Rural,Office,50%
2972,FLR Hospital,0,1000,Bend-North,Office,50%
2974,FLR Hospital,708930.51,354465.255,Bend-North,Office,50%
2981,FLR Hospital,0,1000,Bend-Central,Office,50%
2984,FLR Hospital,0,1000,Bend-South,Office,50%
2987,FLR Hospital,0,1000,Bend-South,Office,50%
2988,FLR Hospital,0,1000,Bend-South,Office,50%
3012,FLR Hospital,520.97,1000,OR-Small Cities,Office,100%
3015,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3017,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3020,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3022,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3025,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3027,FLR Hospital,156161.2,156161.2,OR-Small Cities,Office,100%
3032,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3040,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3042,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3043,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3044,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3054,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3056,FLR Hospital,93776.86367,93776.86367,OR-Small Cities,Office,100%
3062,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3072,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3073,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3074,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3077,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3081,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3082,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3083,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3087,FLR Hospital,127046.72,127046.72,OR-Small Cities,Office,100%
3092,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3106,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3108,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3111,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3112,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3117,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3118,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3119,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3120,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3121,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3126,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3128,FLR Hospital,68419.13,68419.13,OR-Small Cities,Office,100%
3131,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3133,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3139,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3140,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3141,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3147,FLR Hospital,0,1000,NonMPO,Office,100%
3149,FLR Hospital,0,1000,NonMPO,Office,100%
3150,FLR Hospital,0,1000,NonMPO,Office,100%
3151,FLR Hospital,0,1000,NonMPO,Office,100%
3153,FLR Hospital,0,1000,NonMPO,Office,100%
3157,FLR Hospital,104874.34,104874.34,OR-Small Cities,Office,100%
3171,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3172,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3177,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3181,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3183,FLR Hospital,0,1000,NonMPO,Office,100%
3184,FLR Hospital,0,1000,OR-Small Cities,Office,100%
3185,FLR Hospital,0,1000,OR-Small Cities,Office,100%
4001,FLR Hospital,0,1000,OOO,Office,100%
4002,FLR Hospital,11630.57,11630.57,Halo-Small Cities,Office,100%
4003,FLR Hospital,0,1000,Halo-Small Cities,Office,100%
4004,FLR Hospital,0,1000,Halo-Small Cities,Office,100%
4005,FLR Hospital,9233.2,9233.2,Halo-Small Cities,Office,100%
4006,FLR Hospital,21817.19,21817.19,Halo-Small Cities,Office,100%
4007,FLR Hospital,99339.15,99339.15,Halo-Small Cities,Office,100%
4008,FLR Hospital,5652.78,5652.78,Halo-Small Cities,Office,100%
4009,FLR Hospital,0,1000,Halo-Small Cities,Office,100%
4010,FLR Hospital,0,1000,Halo-Small Cities,Office,100%
4011,FLR Hospital,0,1000,OOO,Office,100%
4012,FLR Hospital,24989.73,24989.73,OOO,Office,100%
4013,FLR Hospital,1183.6,1183.6,OOO,Office,100%
4014,FLR Hospital,38079.84,38079.84,Halo-Small Cities,Office,100%
4015,FLR Hospital,67437.94,67437.94,Halo-Small Cities,Office,100%
4016,FLR Hospital,373917.38,373917.38,Halo-Urban,Office,100%
4017,FLR Hospital,102711.65,102711.65,Halo-Small Cities,Office,100%
4018,FLR Hospital,3001.35,3001.35,OOO,Office,100%
4019,FLR Hospital,0,1000,OOO,Office,100%
4021,FLR Hospital,584042.08,584042.08,Halo-Urban,Office,100%
4022,FLR Hospital,96949.66,96949.66,Halo-Small Cities,Office,100%
4023,FLR Hospital,9974.83,9974.83,OOO,Office,100%
4025,FLR Hospital,55469.59,55469.59,Halo-Small Cities,Office,100%
4026,FLR Hospital,0,1000,Halo-Small Cities,Office,100%
4027,FLR Hospital,0,1000,Halo-Small Cities,Office,100%
4028,FLR Hospital,19097.42,19097.42,Halo-Small Cities,Office,100%
4029,FLR Hospital,879.88,1000,OOO,Office,100%
4030,FLR Hospital,0,1000,Halo-Small Cities,Office,100%
4031,FLR Hospital,0,1000,OOO,Office,100%
4032,FLR Hospital,19975.08,19975.08,Halo-Small Cities,Office,100%
4033,FLR Hospital,10124.28,10124.28,Halo-Small Cities,Office,100%
4034,FLR Hospital,21837.65,21837.65,Halo-Small Cities,Office,100%
4035,FLR Hospital,12856.62,12856.62,Halo-Small Cities,Office,100%
4036,FLR Hospital,20889.42,20889.42,Halo-Small Cities,Office,100%
4037,FLR Hospital,13380.73,13380.73,Halo-Small Cities,Office,100%
4038,FLR Hospital,9567.14,9567.14,Halo-Urban,Office,100%
