ZoneNumber,Commodity,TargetFloorspace,Tolerance,region,type,confidence
3017,FLR Light Industry,50160.5157,50160.5157,OR-Small Cities,Industrial,100%
3020,FLR Light Industry,117138.6359,117138.6359,OR-Small Cities,Industrial,100%
3022,FLR Light Industry,107818.5566,107818.5566,OR-Small Cities,Industrial,100%
3025,FLR Light Industry,831986.1654,831986.1654,OR-Small Cities,Industrial,100%
3027,FLR Light Industry,144720.0311,144720.0311,OR-Small Cities,Industrial,100%
3032,FLR Light Industry,134218.5677,134218.5677,OR-Small Cities,Industrial,100%
3040,FLR Light Industry,38908.6187,38908.6187,OR-Small Cities,Industrial,100%
3042,FLR Light Industry,5059.47,5059.47,OR-Small Cities,Industrial,100%
3043,FLR Light Industry,4813.724144,4813.724144,OR-Small Cities,Industrial,100%
3044,FLR Light Industry,6452.487352,6452.487352,OR-Small Cities,Industrial,100%
3054,FLR Light Industry,47394.89166,47394.89166,OR-Small Cities,Industrial,100%
3056,FLR Light Industry,167216.7012,167216.7012,OR-Small Cities,Industrial,100%
3062,FLR Light Industry,63860.40291,63860.40291,OR-Small Cities,Industrial,100%
3072,FLR Light Industry,0,1000,OR-Small Cities,Industrial,100%
3073,FLR Light Industry,4958.889354,4958.889354,OR-Small Cities,Industrial,100%
3074,FLR Light Industry,234968.6921,234968.6921,OR-Small Cities,Industrial,100%
3077,FLR Light Industry,3868.895989,3868.895989,OR-Small Cities,Industrial,100%
3081,FLR Light Industry,781.8350998,1000,OR-Small Cities,Industrial,100%
3082,FLR Light Industry,18087.49835,18087.49835,OR-Small Cities,Industrial,100%
3083,FLR Light Industry,214388.0446,214388.0446,OR-Small Cities,Industrial,100%
3087,FLR Light Industry,154342.6692,154342.6692,OR-Small Cities,Industrial,100%
3092,FLR Light Industry,55158.65414,55158.65414,OR-Small Cities,Industrial,100%
3106,FLR Light Industry,7938.327032,7938.327032,OR-Small Cities,Industrial,100%
3108,FLR Light Industry,100043.5935,100043.5935,OR-Small Cities,Industrial,100%
