Commodity,ZoneNumber,InternalBought,Price
SCTG01_FKP_LVSK,1,100557.133,1.043790163
SCTG01_FKP_LVSK,17,100494.0474,1.043761488
SCTG01_FKP_LVSK,19,13660931.3,0.915857472
SCTG01_FKP_LVSK,31,100506.2507,1.043767035
SCTG01_FKP_LVSK,37,100489.7594,1.043759539
SCTG01_FKP_LVSK,79,100407.6323,1.043722207
SCTG01_FKP_LVSK,81,100453.7146,1.043743155
SCTG01_FKP_LVSK,89,100486.9588,1.043758266
SCTG01_FKP_LVSK,104,657409.6842,0.991302884
SCTG01_FKP_LVSK,114,100389.7276,1.04371407
SCTG01_FKP_LVSK,117,1206287.837,0.972720972
SCTG01_FKP_LVSK,150,2782875.345,0.94947305
SCTG01_FKP_LVSK,154,100297.9319,1.043672344
SCTG01_FKP_LVSK,161,100268.1385,1.043658802
SCTG01_FKP_LVSK,223,285278.2662,1.015164057
SCTG01_FKP_LVSK,229,839041.0401,0.98271813
SCTG01_FKP_LVSK,244,8414802.497,0.925305564
SCTG01_FKP_LVSK,267,3142424.991,0.96698973
SCTG01_FKP_LVSK,271,1151400.128,0.979981253
SCTG01_FKP_LVSK,273,11634539.97,0.933233178
SCTG01_FKP_LVSK,290,983066.8825,0.97862349
SCTG01_FKP_LVSK,294,8668447.894,0.928925892
SCTG01_FKP_LVSK,323,100445.6279,1.043739479
SCTG01_FKP_LVSK,355,139236.9339,1.03456468
SCTG01_FKP_LVSK,361,1516494.667,0.968965213
SCTG01_FKP_LVSK,385,4041642.46,0.94329019
SCTG01_FKP_LVSK,404,100371.0827,1.043705595
SCTG01_FKP_LVSK,405,100423.8413,1.043729576
SCTG01_FKP_LVSK,411,100422.6181,1.04372902
SCTG01_FKP_LVSK,418,100434.9577,1.043734629
SCTG01_FKP_LVSK,441,100423.7903,1.043729552
SCTG01_FKP_LVSK,444,107809.0291,1.041725037
SCTG01_FKP_LVSK,468,100450.0696,1.043741498
SCTG01_FKP_LVSK,481,8241812.048,0.921654178
SCTG01_FKP_LVSK,499,1864666.742,0.961020634
SCTG01_FKP_LVSK,504,41799682.62,0.929204556
SCTG01_FKP_LVSK,536,6289291.368,0.966129464
SCTG01_FKP_LVSK,542,6636999.497,0.926711163
SCTG01_FKP_LVSK,570,100524.1095,1.043775153
SCTG01_FKP_LVSK,575,100471.0388,1.043751029
SCTG01_FKP_LVSK,618,100496.8344,1.043762754
SCTG01_FKP_LVSK,623,131012.3644,1.036187681
SCTG01_FKP_LVSK,636,100477.7773,1.043754092
SCTG01_FKP_LVSK,714,100541.3649,1.043782996
SCTG01_FKP_LVSK,715,100540.6904,1.043782689
SCTG01_FKP_LVSK,721,100533.7186,1.04377952
SCTG01_FKP_LVSK,727,100516.1358,1.043771528
SCTG01_FKP_LVSK,733,100484.7982,1.043757284
SCTG01_FKP_LVSK,763,100540.8383,1.043782756
SCTG01_FKP_LVSK,776,100498.0028,1.043763286
SCTG01_FKP_LVSK,851,100534.5373,1.043779892
SCTG01_FKP_LVSK,852,100372.8409,1.043706393
SCTG01_FKP_LVSK,866,100512.1599,1.043769721
SCTG01_FKP_LVSK,869,100488.0428,1.043758759
SCTG01_FKP_LVSK,905,100408.0986,1.04372242
SCTG01_FKP_LVSK,970,3187018.73,0.946293157
SCTG01_FKP_LVSK,991,1241183.321,0.972871097
SCTG01_FKP_LVSK,1000,208001.3727,1.022929717
SCTG01_FKP_LVSK,1002,235306.4742,1.019256806
SCTG01_FKP_LVSK,1025,155323.3674,1.031153813
SCTG01_FKP_LVSK,1044,107633.6984,1.041645341
SCTG01_FKP_LVSK,1114,2488115.892,0.955721466
SCTG01_FKP_LVSK,1131,1863859.926,0.960653867
SCTG01_FKP_LVSK,1153,1649985.044,0.96530538
SCTG01_FKP_LVSK,1175,7843491.069,0.925377224
SCTG01_FKP_LVSK,1177,668026.7671,0.990767391
SCTG01_FKP_LVSK,1292,1791708.346,0.972011505
SCTG01_FKP_LVSK,1301,100148.8415,1.043604576
SCTG01_FKP_LVSK,1303,100168.2195,1.043613384
SCTG01_FKP_LVSK,1313,14661045.48,0.912141372
SCTG01_FKP_LVSK,1314,7979532.617,0.931110716
SCTG01_FKP_LVSK,1316,350331.6311,1.007965467
SCTG01_FKP_LVSK,1318,616270.0712,0.993311246
SCTG01_FKP_LVSK,1324,1647888.895,0.964352605
SCTG01_FKP_LVSK,1328,1266624.599,0.973339586
SCTG01_FKP_LVSK,1337,100206.6243,1.043606652
SCTG01_FKP_LVSK,1364,100161.0407,1.04361012
SCTG01_FKP_LVSK,1369,3551285.111,0.94489515
SCTG01_FKP_LVSK,1374,100073.2157,1.043570199
SCTG01_FKP_LVSK,1394,100097.5455,1.043581259
SCTG01_FKP_LVSK,1401,163448.0922,1.02948543
SCTG01_FKP_LVSK,1408,100172.416,1.043615291
SCTG01_FKP_LVSK,1415,100147.3134,1.043603882
SCTG01_FKP_LVSK,1437,547697.3564,0.995048043
SCTG01_FKP_LVSK,1453,254722.1985,1.01735926
SCTG01_FKP_LVSK,1466,2272149.026,0.958589483
SCTG01_FKP_LVSK,1468,418914.5341,1.006209104
SCTG01_FKP_LVSK,1470,13372828.57,0.910985132
SCTG01_FKP_LVSK,1501,99042.18337,1.043101548
SCTG01_FKP_LVSK,1502,99069.25748,1.043113855
SCTG01_FKP_LVSK,1503,98998.87379,1.043081862
SCTG01_FKP_LVSK,1505,99037.5494,1.043099442
SCTG01_FKP_LVSK,1525,2219635.477,0.95616546
SCTG01_FKP_LVSK,1553,652718.2223,0.989170394
SCTG01_FKP_LVSK,1562,609614.8443,0.991023702
SCTG01_FKP_LVSK,1588,985539.8665,0.984971226
SCTG01_FKP_LVSK,1598,311686.9258,1.011083683
SCTG01_FKP_LVSK,1617,99064.61481,1.043111744
SCTG01_FKP_LVSK,1630,234357.6971,1.018825546
SCTG01_FKP_LVSK,1639,1199710.321,0.975092644
SCTG01_FKP_LVSK,1650,9394919.406,0.925734129
SCTG01_FKP_LVSK,1658,1431417.369,0.9678238
SCTG01_FKP_LVSK,1701,2588499.968,0.952265059
SCTG01_FKP_LVSK,1702,831404.3247,0.984608325
SCTG01_FKP_LVSK,1706,515265.7445,1.001752156
SCTG01_FKP_LVSK,1710,96367.75331,1.041885896
SCTG01_FKP_LVSK,1715,103567.9666,1.039797277
SCTG01_FKP_LVSK,1717,278353.6052,1.017377929
SCTG01_FKP_LVSK,1719,96310.58944,1.041859912
SCTG01_FKP_LVSK,1720,437387.9208,0.998521781
SCTG01_FKP_LVSK,1723,96241.48681,1.041828502
SCTG01_FKP_LVSK,1724,1010336.83,0.974796801
SCTG01_FKP_LVSK,1726,375699.4757,1.002650211
SCTG01_FKP_LVSK,1728,96203.93402,1.041811433
SCTG01_FKP_LVSK,1732,96099.12682,1.041763793
SCTG01_FKP_LVSK,1736,349124.4882,1.006654999
SCTG01_FKP_LVSK,1752,96313.11138,1.041861059
SCTG01_FKP_LVSK,1774,96904.48881,1.042129867
