dms_orig,dms_dest,distance
11,11,50
11,12,325.90185235161
11,19,70.7170538241875
11,20,5576.60850708885
11,41,2344.39875241986
11,42,2338.01385794491
11,49,2282.71215024069
11,50,538.893993259006
11,61,2739.62696665452
11,62,3115.59720908975
11,63,2777.01540663228
11,64,3175.16359649868
11,69,2969.86710090153
11,81,1743.95561429355
11,89,1790.35447219114
11,91,1559.17480714252
11,92,1491.44600473957
11,99,1567.69072469917
11,100,1177.47183109494
11,111,1062.28085363776
11,121,599.902030871751
11,122,1019.3377218192
11,123,748.418253705105
11,124,731.10098940967
11,129,455.598528966062
11,131,219.909167340675
11,132,532.780198948361
11,139,347.031340699719
11,151,7025.31279925542
11,159,6895.89112913425
11,160,2677.55446928526
11,171,917.685079448223
11,172,649.335038097756
11,179,743.329983439343
11,181,859.178937934221
11,182,684.804708010877
11,189,695.691097772117
11,190,1112.6884597361
11,201,937.281664170662
11,209,1186.51646414763
11,211,507.441270347528
11,219,458.354638625579
11,221,527.386628615525
11,222,713.193752288927
11,223,512.79045898249
11,229,570.91228724953
11,230,1996.01533696901
11,241,1114.76214679461
11,242,1061.2793723896
11,249,1134.49605489392
11,251,1662.33336367458
11,259,1568.23326537125
11,261,1050.35530692148
11,262,1053.69662660824
11,269,1143.4256147886
11,271,1406.32118508776
11,279,1568.86991376336
11,280,279.633564346528
11,291,895.84283969267
11,292,651.053006407861
11,299,731.220847508752
11,300,2434.93971767957
11,310,1446.69171590821
11,321,2674.52572170324
11,329,2758.74266927456
11,330,1734.63958312896
11,341,1344.28906326282
11,342,1257.85801432781
11,349,1261.31003797224
11,350,1782.18135875066
11,361,1535.39757201234
11,362,1229.76684083535
11,363,1435.51752230139
11,364,1321.36726088433
11,369,1464.55824378037
11,371,593.532555291063
11,372,677.915730844536
11,373,778.715188375215
11,379,843.076246860119
11,380,1921.6457087117
11,391,673.29858088045
11,392,991.128573414231
11,393,793.814098178113
11,394,744.977295108304
11,399,841.335596555771
11,401,996.017232629214
11,402,904.261201827194
11,409,1020.29925853894
11,411,3320.47696728033
11,419,3114.24064765293
11,421,1244.73688715395
11,422,985.80093186911
11,429,1160.32447400736
11,440,1615.71909822956
11,451,632.395109924524
11,452,438.714587607236
11,459,569.723693197304
11,460,1671.43383315976
11,471,325.259896124333
11,472,281.860490381535
11,479,261.970361640476
11,481,1086.72598133146
11,482,796.773811255982
11,483,1240.82354876303
11,484,945.289213265034
11,485,1829.21372383381
11,486,916.992419170715
