Commodity,Number,BuyingDispersionParameter,SellingDispersionParameter,BuyingSizeCoefficient,BuyingPriceCoefficient,BuyingTransportCoefficient,SellingSizeCoefficient,SellingPriceCoefficient,SellingTransportCoefficient,InterchangeCoefficient1,InterchangeCoefficient2,InterchangeCoefficient3,InterchangeName1,InterchangeName2,InterchangeName3,ExchangeType,GOFWeighting,FloorspaceCommodity,ExpectedPrice,Units,ManualSizeTerms,Search
SCTG28_PPP_PAPR_paper,128,53.67217044,53.67217044,1,-1,0.0001,1,1,0,-0.3402477,-2.1267312,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE
SCTG29_PPP_PAPR_print,129,232.4728439,24.6844261,1,-1,0.0001,1,1,0.0001,-0.3402477,-1.684296,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,a,1,FALSE,1,unknown,TRUE,TRUE
SCTG30_OTH_CLTH,130,292.3728685,40.30271691,1,-1,0.0001,1,1,0.0001,-0.3402477,-1.2294689,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,a,1,FALSE,1,unknown,TRUE,TRUE
SCTG31_CMS_MIN,131,37.09760371,37.09760371,1,-1,0.0001,1,1,0,-0.3402477,-1.6454864,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE
SCTG32_MIT_METL_base,132,30.03228267,30.03228267,1,-1,0.0001,1,1,0,-0.3402477,-1.9419268,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE
SCTG33_MIT_METL_prod,133,54.81630205,54.81630205,1,-1,0.00005,1,1,0,-0.3402477,-2.0134998,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE
SCTG34_MIT_MACH,134,29.04900975,29.04900975,1,-1,0.00009,1,1,0,-0.3402477,-2.0575915,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE
SCTG35_MIT_ELCT,135,39.12897923,39.12897923,1,-1,0.0001,1,1,0,-0.3402477,-2.0857065,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE
SCTG36_MIT_TRAN,136,255.6158739,24.66973381,1,-1,0.0001,1,1,0.0001,-0.3402477,-1.4952692,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,a,1,FALSE,1,unknown,TRUE,TRUE
SCTG37_MIT_INST_transp,137,76.58616225,76.58616225,1,-1,0.0001,1,1,0,-0.3402477,-1.4475992,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE
SCTG38_MIT_INST_prec,138,68.1417298,68.1417298,1,-1,0.0001,1,1,0,-0.3402477,-1.1261392,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE
SCTG39_OTH_FURN,139,227.1786486,17.6825312,1,-1,0.0001,1,1,0.0001,-0.3402477,-1.7809643,-0.01,betapktrk1time,betapktrk1dist,betapktrk1toll,a,1,FALSE,1,unknown,TRUE,TRUE
