personType,tourPosition,stop,tourPurpose,stopPurpose,probability
2,2,2,5,2,0.3555
2,2,2,5,3,0.2583
2,2,2,6,1,0.0000
2,2,2,6,2,0.2725
2,2,2,6,3,0.7275
2,2,2,7,1,0.0000
2,2,2,7,2,0.0000
2,2,2,7,3,1.0000
3,0,1,0,1,0.0000
3,0,1,0,2,0.0000
3,0,1,0,3,0.0000
3,0,1,1,1,0.0551
3,0,1,1,2,0.0809
3,0,1,1,3,0.8640
3,0,1,2,1,0.0367
3,0,1,2,2,0.0954
3,0,1,2,3,0.8679
3,0,1,3,1,0.0000
3,0,1,3,2,0.0000
3,0,1,3,3,0.0000
3,0,1,4,1,0.0000
3,0,1,4,2,0.0000
3,0,1,4,3,0.0000
3,0,1,5,1,0.1365
3,0,1,5,2,0.2167
3,0,1,5,3,0.6468
3,0,1,6,1,0.0000
3,0,1,6,2,0.1457
3,0,1,6,3,0.8543
3,0,1,7,1,0.0000
3,0,1,7,2,0.0000
3,0,1,7,3,1.0000
3,0,2,0,1,0.0000
3,0,2,0,2,0.0000
3,0,2,0,3,0.0000
3,0,2,1,1,0.1821
3,0,2,1,2,0.1066
3,0,2,1,3,0.7113
3,0,2,2,1,0.1926
3,0,2,2,2,0.1361
3,0,2,2,3,0.6713
3,0,2,3,1,0.0000
3,0,2,3,2,0.0000
3,0,2,3,3,0.0000
3,0,2,4,1,0.0000
3,0,2,4,2,0.0000
3,0,2,4,3,0.0000
3,0,2,5,1,0.2583
3,0,2,5,2,0.1690
3,0,2,5,3,0.5727
3,0,2,6,1,0.0000
3,0,2,6,2,0.1974
3,0,2,6,3,0.8026
3,0,2,7,1,0.0000
3,0,2,7,2,0.0000
3,0,2,7,3,1.0000
3,2,1,0,1,0.0000
3,2,1,0,2,0.0000
3,2,1,0,3,0.0000
3,2,1,1,1,0.0914
3,2,1,1,2,0.1446
3,2,1,1,3,0.7640
3,2,1,2,1,0.2591
3,2,1,2,2,0.0000
3,2,1,2,3,0.7409
3,2,1,3,1,0.0000
3,2,1,3,2,0.0000
3,2,1,3,3,0.0000
3,2,1,4,1,0.0000
3,2,1,4,2,0.0000
3,2,1,4,3,0.0000
3,2,1,5,1,0.1389
3,2,1,5,2,0.2571
3,2,1,5,3,0.6040
3,2,1,6,1,0.0000
3,2,1,6,2,0.2221
3,2,1,6,3,0.7779
3,2,1,7,1,0.0000
3,2,1,7,2,0.0000
3,2,1,7,3,1.0000
3,2,2,0,1,0.0000
3,2,2,0,2,0.0000
3,2,2,0,3,0.0000
3,2,2,1,1,0.2508
3,2,2,1,2,0.2323
3,2,2,1,3,0.5169
3,2,2,2,1,0.3737
3,2,2,2,2,0.2969
3,2,2,2,3,0.3294
3,2,2,3,1,0.0000
3,2,2,3,2,0.0000
3,2,2,3,3,0.0000
3,2,2,4,1,0.0000
3,2,2,4,2,0.0000
3,2,2,4,3,0.0000
3,2,2,5,1,0.3540
3,2,2,5,2,0.2428
3,2,2,5,3,0.4032
3,2,2,6,1,0.0000
3,2,2,6,2,0.2108
3,2,2,6,3,0.7892
3,2,2,7,1,0.0000
3,2,2,7,2,0.0000
3,2,2,7,3,1.0000
4,0,1,0,1,0.0000
4,0,1,0,2,0.0000
4,0,1,0,3,0.0000
4,0,1,1,1,0.0352
4,0,1,1,2,0.0492
4,0,1,1,3,0.9156
4,0,1,2,1,0.0000
4,0,1,2,2,0.0712
4,0,1,2,3,0.9288
4,0,1,3,1,0.0000
4,0,1,3,2,0.0000
4,0,1,3,3,0.0000
4,0,1,4,1,0.1476
4,0,1,4,2,0.0544
4,0,1,4,3,0.7980
4,0,1,5,1,0.3149
4,0,1,5,2,0.1665
4,0,1,5,3,0.5186
4,0,1,6,1,0.0000
4,0,1,6,2,0.0863
4,0,1,6,3,0.9137
4,0,1,7,1,0.0000
4,0,1,7,2,0.0000
4,0,1,7,3,1.0000
4,0,2,0,1,0.0000
4,0,2,0,2,0.0000
4,0,2,0,3,0.0000
4,0,2,1,1,0.1386
4,0,2,1,2,0.1620
4,0,2,1,3,0.6994
4,0,2,2,1,0.3090
4,0,2,2,2,0.1324
4,0,2,2,3,0.5586
4,0,2,3,1,0.0000
4,0,2,3,2,0.0000
4,0,2,3,3,0.0000
4,0,2,4,1,0.2048
4,0,2,4,2,0.2427
4,0,2,4,3,0.5525
4,0,2,5,1,0.2771
4,0,2,5,2,0.1162
4,0,2,5,3,0.6067
4,0,2,6,1,0.0000
4,0,2,6,2,0.3349
4,0,2,6,3,0.6651
4,0,2,7,1,0.0000
4,0,2,7,2,0.0000
4,0,2,7,3,1.0000
4,2,1,0,1,0.0000
4,2,1,0,2,0.0000
4,2,1,0,3,0.0000
4,2,1,1,1,0.1204
4,2,1,1,2,0.3454
4,2,1,1,3,0.5342
4,2,1,2,1,0.0000
4,2,1,2,2,0.0000
4,2,1,2,3,1.0000
4,2,1,3,1,0.0000
4,2,1,3,2,0.0000
4,2,1,3,3,0.0000
4,2,1,4,1,0.0763
4,2,1,4,2,0.3236
4,2,1,4,3,0.6001
4,2,1,5,1,0.1216
4,2,1,5,2,0.4330
4,2,1,5,3,0.4454
4,2,1,6,1,0.0000
4,2,1,6,2,0.1706
4,2,1,6,3,0.8294
4,2,1,7,1,0.0000
4,2,1,7,2,0.0000
4,2,1,7,3,1.0000
4,2,2,0,1,0.0000
4,2,2,0,2,0.0000
4,2,2,0,3,0.0000
4,2,2,1,1,0.2080
4,2,2,1,2,0.3508
4,2,2,1,3,0.4412
4,2,2,2,1,0.6936
4,2,2,2,2,0.3064
4,2,2,2,3,0.0000
4,2,2,3,1,0.0000
4,2,2,3,2,0.0000
4,2,2,3,3,0.0000
4,2,2,4,1,0.1784
4,2,2,4,2,0.4706
4,2,2,4,3,0.3510
4,2,2,5,1,0.2588
4,2,2,5,2,0.3142
4,2,2,5,3,0.4270
4,2,2,6,1,0.0000
4,2,2,6,2,0.4831
4,2,2,6,3,0.5169
4,2,2,7,1,0.0000
4,2,2,7,2,0.0000
4,2,2,7,3,1.0000
5,0,1,0,1,0.0000
5,0,1,0,2,0.0000
5,0,1,0,3,0.0000
5,0,1,1,1,0.0000
5,0,1,1,2,0.0000
5,0,1,1,3,0.0000
5,0,1,2,1,0.0000
5,0,1,2,2,0.0000
5,0,1,2,3,0.0000
5,0,1,3,1,0.0000
5,0,1,3,2,0.0000
5,0,1,3,3,0.0000
5,0,1,4,1,0.0000
5,0,1,4,2,0.0000
5,0,1,4,3,0.0000
5,0,1,5,1,0.1388
5,0,1,5,2,0.2449
5,0,1,5,3,0.6163
5,0,1,6,1,0.0000
5,0,1,6,2,0.2184
5,0,1,6,3,0.7816
5,0,1,7,1,0.0000
5,0,1,7,2,0.0000
5,0,1,7,3,1.0000
5,0,2,0,1,0.0000
5,0,2,0,2,0.0000
5,0,2,0,3,0.0000
5,0,2,1,1,0.0000
5,0,2,1,2,0.0000
5,0,2,1,3,0.0000
5,0,2,2,1,0.0000
5,0,2,2,2,0.0000
5,0,2,2,3,0.0000
5,0,2,3,1,0.0000
5,0,2,3,2,0.0000
5,0,2,3,3,0.0000
5,0,2,4,1,0.0000
5,0,2,4,2,0.0000
5,0,2,4,3,0.0000
5,0,2,5,1,0.4497
5,0,2,5,2,0.1570
5,0,2,5,3,0.3933
5,0,2,6,1,0.0000
5,0,2,6,2,0.2076
5,0,2,6,3,0.7924
5,0,2,7,1,0.0000
5,0,2,7,2,0.0000
5,0,2,7,3,1.0000
5,2,1,0,1,0.0000
5,2,1,0,2,0.0000
5,2,1,0,3,0.0000
5,2,1,1,1,0.0000
5,2,1,1,2,0.0000
5,2,1,1,3,0.0000
5,2,1,2,1,0.0000
5,2,1,2,2,0.0000
5,2,1,2,3,0.0000
5,2,1,3,1,0.0000
5,2,1,3,2,0.0000
5,2,1,3,3,0.0000
5,2,1,4,1,0.0000
5,2,1,4,2,0.0000
5,2,1,4,3,0.0000
5,2,1,5,1,0.1872
5,2,1,5,2,0.1976
5,2,1,5,3,0.6152
5,2,1,6,1,0.0000
5,2,1,6,2,0.1922
5,2,1,6,3,0.8078
5,2,1,7,1,0.0000
5,2,1,7,2,0.0000
5,2,1,7,3,1.0000
5,2,2,0,1,0.0000
5,2,2,0,2,0.0000
5,2,2,0,3,0.0000
5,2,2,1,1,0.0000
5,2,2,1,2,0.0000
5,2,2,1,3,0.0000
5,2,2,2,1,0.0000
5,2,2,2,2,0.0000
5,2,2,2,3,0.0000
5,2,2,3,1,0.0000
5,2,2,3,2,0.0000
5,2,2,3,3,0.0000
5,2,2,4,1,0.0000
5,2,2,4,2,0.0000
5,2,2,4,3,0.0000
5,2,2,5,1,0.3481
5,2,2,5,2,0.2105
5,2,2,5,3,0.4414
5,2,2,6,1,0.0000
5,2,2,6,2,0.2915
5,2,2,6,3,0.7085
5,2,2,7,1,0.0000
5,2,2,7,2,0.0000
5,2,2,7,3,1.0000
