azone,activity,quantity
6002,sctg11_cms_sand_expt,32486.77696
6003,sctg11_cms_sand_expt,5782643.305
6004,sctg11_cms_sand_expt,52628551.73
6005,sctg11_cms_sand_expt,0
6006,sctg11_cms_sand_expt,149698991.6
6001,sctg11_cms_sand_impt,59617225.16
6002,sctg11_cms_sand_impt,58830.70057
6003,sctg11_cms_sand_impt,5513923.681
6004,sctg11_cms_sand_impt,11511915.52
6005,sctg11_cms_sand_impt,8053.532024
6006,sctg11_cms_sand_impt,76709948.53
6001,sctg13_cms_mine_nonmet_expt,15650259.71
6002,sctg13_cms_mine_nonmet_expt,753747.4126
6003,sctg13_cms_mine_nonmet_expt,12824007.68
6004,sctg13_cms_mine_nonmet_expt,4779573.731
6005,sctg13_cms_mine_nonmet_expt,1373573.809
6006,sctg13_cms_mine_nonmet_expt,8845290.585
6001,sctg13_cms_mine_nonmet_impt,28672488.85
6002,sctg13_cms_mine_nonmet_impt,2245904.22
6003,sctg13_cms_mine_nonmet_impt,44655618.56
6004,sctg13_cms_mine_nonmet_impt,40837284.84
6005,sctg13_cms_mine_nonmet_impt,7664611.65
6006,sctg13_cms_mine_nonmet_impt,31018977.07
6001,sctg14_cms_mine_met_expt,661933018.3
6002,sctg14_cms_mine_met_expt,0
6003,sctg14_cms_mine_met_expt,258703402.4
6004,sctg14_cms_mine_met_expt,74855841.29
6005,sctg14_cms_mine_met_expt,1276551.086
6006,sctg14_cms_mine_met_expt,536721669.4
6001,sctg14_cms_mine_met_impt,26582867.63
6002,sctg14_cms_mine_met_impt,0
6003,sctg14_cms_mine_met_impt,418859184.1
6004,sctg14_cms_mine_met_impt,50223.58014
6005,sctg14_cms_mine_met_impt,25801971.49
6006,sctg14_cms_mine_met_impt,253773825.1
6001,sctg15_pcc_coal_expt,1872493.774
6002,sctg15_pcc_coal_expt,0
6003,sctg15_pcc_coal_expt,36124150.51
6004,sctg15_pcc_coal_expt,52429.85887
6005,sctg15_pcc_coal_expt,35614832.21
6006,sctg15_pcc_coal_expt,3877047.703
6001,sctg15_pcc_coal_impt,2130034.051
6002,sctg15_pcc_coal_impt,0
6003,sctg15_pcc_coal_impt,694738986.8
6004,sctg15_pcc_coal_impt,74925.81782
6005,sctg15_pcc_coal_impt,26389945.43
6006,sctg15_pcc_coal_impt,38070204.82
6001,sctg16_pcc_petr_crude_expt,712464.6439
6002,sctg16_pcc_petr_crude_expt,0
6003,sctg16_pcc_petr_crude_expt,274025.1876
6004,sctg16_pcc_petr_crude_expt,0
6005,sctg16_pcc_petr_crude_expt,667141200.5
6006,sctg16_pcc_petr_crude_expt,35164615.28
6001,sctg16_pcc_petr_crude_impt,1818880410
6002,sctg16_pcc_petr_crude_impt,0
6003,sctg16_pcc_petr_crude_impt,0
6004,sctg16_pcc_petr_crude_impt,129920028.6
6005,sctg16_pcc_petr_crude_impt,0
6006,sctg16_pcc_petr_crude_impt,102568444.1
6001,sctg17_pcc_fuel_expt,183726798.1
6002,sctg17_pcc_fuel_expt,0
6003,sctg17_pcc_fuel_expt,5866868.251
6004,sctg17_pcc_fuel_expt,5527.754525
6005,sctg17_pcc_fuel_expt,0
6006,sctg17_pcc_fuel_expt,9978904.953
6001,sctg17_pcc_fuel_impt,5431501083
6002,sctg17_pcc_fuel_impt,2443.878478
6003,sctg17_pcc_fuel_impt,97684320.72
6004,sctg17_pcc_fuel_impt,317704.435
6005,sctg17_pcc_fuel_impt,0
6006,sctg17_pcc_fuel_impt,291026607.9
6001,sctg18_pcc_petr_oil_expt,82637573.33
6002,sctg18_pcc_petr_oil_expt,521.6342838
6003,sctg18_pcc_petr_oil_expt,12098966.22
6004,sctg18_pcc_petr_oil_expt,62535.90135
6005,sctg18_pcc_petr_oil_expt,0
6006,sctg18_pcc_petr_oil_expt,4989452.476
6001,sctg18_pcc_petr_oil_impt,2600423940
6002,sctg18_pcc_petr_oil_impt,7189259.398
6003,sctg18_pcc_petr_oil_impt,147215847.4
6004,sctg18_pcc_petr_oil_impt,9923725.034
6005,sctg18_pcc_petr_oil_impt,0
6006,sctg18_pcc_petr_oil_impt,145513304
6001,sctg19_pcc_coal_prod_expt,778852770.8
6002,sctg19_pcc_coal_prod_expt,10793778.98
6003,sctg19_pcc_coal_prod_expt,59658829.45
6004,sctg19_pcc_coal_prod_expt,17518879.62
6005,sctg19_pcc_coal_prod_expt,8412944.915
6006,sctg19_pcc_coal_prod_expt,46065115.99
6001,sctg19_pcc_coal_prod_impt,484125015.7
6002,sctg19_pcc_coal_prod_impt,267514006.9
6003,sctg19_pcc_coal_prod_impt,1341990144
6004,sctg19_pcc_coal_prod_impt,116633919.2
6005,sctg19_pcc_coal_prod_impt,2340268910
6006,sctg19_pcc_coal_prod_impt,239501684
6001,sctg20_pcc_chem_basic_expt,398815566.1
6002,sctg20_pcc_chem_basic_expt,12009202.59
6003,sctg20_pcc_chem_basic_expt,650916310
6004,sctg20_pcc_chem_basic_expt,320875281.1
6005,sctg20_pcc_chem_basic_expt,284334368.3
6006,sctg20_pcc_chem_basic_expt,87734248.75
6001,sctg20_pcc_chem_basic_impt,129018039.4
6002,sctg20_pcc_chem_basic_impt,31133272.02
6003,sctg20_pcc_chem_basic_impt,2067836616
6004,sctg20_pcc_chem_basic_impt,35721562.11
6005,sctg20_pcc_chem_basic_impt,129967144.8
6006,sctg20_pcc_chem_basic_impt,125982980.9
6001,sctg21_pcc_chem_pharma_expt,72632763.73
6002,sctg21_pcc_chem_pharma_expt,113611454.9
6003,sctg21_pcc_chem_pharma_expt,703863170.1
6004,sctg21_pcc_chem_pharma_expt,132041341.9
6005,sctg21_pcc_chem_pharma_expt,24242679.41
6006,sctg21_pcc_chem_pharma_expt,55073232.04
6001,sctg21_pcc_chem_pharma_impt,2457747196
6002,sctg21_pcc_chem_pharma_impt,26841051.43
6003,sctg21_pcc_chem_pharma_impt,3406272129
6004,sctg21_pcc_chem_pharma_impt,346547982.5
6005,sctg21_pcc_chem_pharma_impt,5709890.233
6006,sctg21_pcc_chem_pharma_impt,328585171
6001,sctg22_pcc_chem_fert_expt,211364857.8
6002,sctg22_pcc_chem_fert_expt,7478946.743
6003,sctg22_pcc_chem_fert_expt,250411399.6
6004,sctg22_pcc_chem_fert_expt,92525181.85
6005,sctg22_pcc_chem_fert_expt,102737446.4
6006,sctg22_pcc_chem_fert_expt,34974622.72
6001,sctg22_pcc_chem_fert_impt,649810395.1
6002,sctg22_pcc_chem_fert_impt,317996.8183
6003,sctg22_pcc_chem_fert_impt,191551828.8
6004,sctg22_pcc_chem_fert_impt,16497201.85
6005,sctg22_pcc_chem_fert_impt,20910997.47
6006,sctg22_pcc_chem_fert_impt,46267811.58
6001,sctg23_pcc_chem_prod_expt,260641632.8
6002,sctg23_pcc_chem_prod_expt,18757309.53
6003,sctg23_pcc_chem_prod_expt,1048662136
6004,sctg23_pcc_chem_prod_expt,180240568.2
6005,sctg23_pcc_chem_prod_expt,58817796.61
6006,sctg23_pcc_chem_prod_expt,82479970.6
6001,sctg23_pcc_chem_prod_impt,269790620.7
6002,sctg23_pcc_chem_prod_impt,52784961.19
6003,sctg23_pcc_chem_prod_impt,2224240821
6004,sctg23_pcc_chem_prod_impt,1047007785
6005,sctg23_pcc_chem_prod_impt,163344779.7
6006,sctg23_pcc_chem_prod_impt,197745735.1
6001,sctg24_pcc_petr_plast_expt,1082545540
6002,sctg24_pcc_petr_plast_expt,125873345.1
6003,sctg24_pcc_petr_plast_expt,929496123.7
6004,sctg24_pcc_petr_plast_expt,817834765.2
6005,sctg24_pcc_petr_plast_expt,131017475.2
6006,sctg24_pcc_petr_plast_expt,162461434.2
6001,sctg24_pcc_petr_plast_impt,758727697.9
6002,sctg24_pcc_petr_plast_impt,101176315.1
6003,sctg24_pcc_petr_plast_impt,2971868042
6004,sctg24_pcc_petr_plast_impt,1268779224
6005,sctg24_pcc_petr_plast_impt,216299934.2
6006,sctg24_pcc_petr_plast_impt,279834274.6
6001,sctg25_fwp_logs_expt,315181525.9
6002,sctg25_fwp_logs_expt,12216.57481
6003,sctg25_fwp_logs_expt,1169285042
6004,sctg25_fwp_logs_expt,311205032.3
6005,sctg25_fwp_logs_expt,1277505572
6006,sctg25_fwp_logs_expt,161746810
6001,sctg25_fwp_logs_impt,580837808.8
6002,sctg25_fwp_logs_impt,127697634.6
6003,sctg25_fwp_logs_impt,1408173166
6004,sctg25_fwp_logs_impt,197311490.4
6005,sctg25_fwp_logs_impt,36973995.04
6006,sctg25_fwp_logs_impt,123736531.3
6001,sctg26_fwp_wood_expt,1008596189
6002,sctg26_fwp_wood_expt,324443113.4
6003,sctg26_fwp_wood_expt,2716201084
6004,sctg26_fwp_wood_expt,1993363870
6005,sctg26_fwp_wood_expt,91544591.02
6006,sctg26_fwp_wood_expt,322849939.3
6001,sctg26_fwp_wood_impt,1040015872
6002,sctg26_fwp_wood_impt,79100762.94
6003,sctg26_fwp_wood_impt,545219938
6004,sctg26_fwp_wood_impt,280795037
6005,sctg26_fwp_wood_impt,327285761.4
6006,sctg26_fwp_wood_impt,119600914.4
6001,sctg27_ppp_papr_puplp_expt,906490276.2
6002,sctg27_ppp_papr_puplp_expt,186455159.9
6003,sctg27_ppp_papr_puplp_expt,1233944996
6004,sctg27_ppp_papr_puplp_expt,2662096609
6005,sctg27_ppp_papr_puplp_expt,312676672.9
6006,sctg27_ppp_papr_puplp_expt,279034932.3
6001,sctg27_ppp_papr_puplp_impt,1023200245
6002,sctg27_ppp_papr_puplp_impt,107866974.6
6003,sctg27_ppp_papr_puplp_impt,439495748.6
6004,sctg27_ppp_papr_puplp_impt,133400204.3
6005,sctg27_ppp_papr_puplp_impt,113434336.5
6006,sctg27_ppp_papr_puplp_impt,95652500.36
6001,sctg28_ppp_papr_paper_expt,581808184.4
6002,sctg28_ppp_papr_paper_expt,49410904.07
6003,sctg28_ppp_papr_paper_expt,116642792.8
6004,sctg28_ppp_papr_paper_expt,972523465.4
6005,sctg28_ppp_papr_paper_expt,19531308.03
6006,sctg28_ppp_papr_paper_expt,91574560.77
6001,sctg28_ppp_papr_paper_impt,1080361490
6002,sctg28_ppp_papr_paper_impt,66957567.49
6003,sctg28_ppp_papr_paper_impt,494074397.7
6004,sctg28_ppp_papr_paper_impt,525870643
6005,sctg28_ppp_papr_paper_impt,30961949.13
6006,sctg28_ppp_papr_paper_impt,115696107.9
6001,sctg29_ppp_papr_print_expt,451327407
6002,sctg29_ppp_papr_print_expt,32807146.99
6003,sctg29_ppp_papr_print_expt,774352052.6
6004,sctg29_ppp_papr_print_expt,352474175
6005,sctg29_ppp_papr_print_expt,9178508.61
6006,sctg29_ppp_papr_print_expt,85270488.96
6001,sctg29_ppp_papr_print_impt,406098806.4
6002,sctg29_ppp_papr_print_impt,75364309.47
6003,sctg29_ppp_papr_print_impt,1331126952
6004,sctg29_ppp_papr_print_impt,519140736.8
6005,sctg29_ppp_papr_print_impt,39372390.65
6006,sctg29_ppp_papr_print_impt,124794904.9
6001,sctg30_oth_clth_expt,444636378
