purpose,ivt,costLow,costMed,costHi,fwt,xwt,wlk,walkTime,bikeTime,passStops,walkStops,bikeStops,walkTran,tranPassStops,passTranStops,carTranStops,passHH1,passHH2,passHH3,car,carAuto0,carAutoI,carAutoS,pass,passAuto0,passAutoI,passAutoS,walk,walkAuto0,walkAutoI,walkAutoS,bike,bikeAuto0,bikeAutoI,bikeAutoS,walkTran,walkTranAuto0,walkTranAutoI,walkTranAutoS,tranPass,tranPassAuto0,tranPassAutoI,tranPassAutoS,passTran,passTranAuto0,passTranAutoI,passTranAutoS,nest,ovt
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,-0.025,-1.04,-0.26,-0.13,-0.05,-0.0625,-0.0625,-0.0875,-0.1,-0.638,-1.6196,-1.1752,-0.9393,-0.1724,-0.6503,-2.1832,-0.7148,0,0,0,0,0,0,0,0,-0.806051268,-2.934107554,0,12.06217729,5.145860154,0.811595563,0,5.63884451,1.064737325,-1.865152992,0,10.60363345,2.145062903,-0.426422399,0,4.340012323,-0.671269373,-3.506975684,0,2.017457334,-0.727210457,-3.11436771,0.7659,-0.05
2,-0.02,-1.248,-0.312,-0.156,-0.04,-0.05,-0.05,-0.07,-0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.514199773,0,0,0,2.608696624,0,0,0,-1.085631672,0,0,0,-1.171119483,0,0,0,0,0,0,0,0,0,0,0,0.7659,-0.04
3,-0.0172,-1.07328,-0.26832,-0.13416,-0.0344,-0.043,-0.043,-0.0602,-0.0688,-0.3843,-1.786,-1.7846,-0.979,-0.2749,-0.2749,0,0,0.844,1.4159,0,0,0,0,0,0,-0.796611944,-4.704018542,0,3.336750464,3.137561169,-1.233608666,0,1.237568536,-0.511727789,-4.413886723,0,5.162210808,1.120495217,-4.246936334,0,-3.379585974,-2.158012968,-8.085462275,0,-3.778485974,-1.727592524,-6.279927998,0.7659,-0.0344
4,-0.025,-1.04,-0.26,-0.13,-0.05,-0.0625,-0.0625,-0.0875,-0.1,-0.638,-1.6196,-1.1752,-0.9393,-0.1724,-0.6503,-2.1832,-0.7148,0,0,0,0,0,0,0,0,-0.129263245,-1.269570316,0,8.361618522,5.613196906,3.158005756,0,3.124373432,1.696912423,-0.287260253,0,5.493233892,3.450025675,1.004008404,0,0.636015177,-4.600971476,-1.898340296,0,1.997483784,-5.203971476,-1.128470031,0.7659,-0.05
5,-0.015,-0.936,-0.234,-0.117,-0.03,-0.0375,-0.0375,-0.0525,-0.06,-0.0867,-1.2873,-0.7714,-0.2273,0.3845,0.1511,0,-1.1303,0,0,0,0,0,0,0,0,-0.650969159,-1.542003228,0,3.42023865,1.738815153,-0.061805935,0,-0.133209745,-1.133193965,-3.295190652,0,2.452803722,-0.947052661,-3.677953623,0,-1.870200134,-3.249718293,-8.624223547,0,-1.498387494,-3.885072782,-14.89020169,0.7659,-0.03
6,-0.015,-0.936,-0.234,-0.117,-0.03,-0.0375,-0.0375,-0.0525,-0.06,-0.1897,-1.2962,-0.8953,-0.6367,-1.5006,0,0,-1.1917,0,0,0,0,0,0,0,0,-0.31053036,-1.262703463,0,3.662584704,2.245663431,1.235951307,0,0.452454932,0.032910109,-1.987396115,0,2.602145203,-1.570238133,-2.965565763,0,0.087489802,-1.500088205,-4.178906192,0,-4.875093556,-3.172119895,-4.393909218,0.7659,-0.03
7,-0.015,-0.936,-0.234,-0.117,-0.03,-0.0375,-0.0375,-0.0525,-0.06,-0.0867,-1.2873,-0.7714,-0.2273,0.3845,0.1511,0,-1.1303,0,0,0,0,0,0,0,0,-1.498181904,-1.754018896,0,3.045378859,1.36735452,0.197923373,0,0.239558133,-1.697010187,-3.156205698,0,2.672183459,-0.287568309,-2.867109285,0,-0.988815659,-4.13164154,-4.276139861,0,-1.739655973,-3.22580022,-4.058254609,0.7659,-0.03
