ZoneNumber,ZoneName,External
2866,Other OR,false
2872,Other OR,false
2878,Other OR,false
2879,Other OR,false
2884,Other OR,false
2889,Other OR,false
2894,Other OR,false
2895,Other OR,false
2896,Other OR,false
2897,Other OR,false
2898,Other OR,false
2899,Other OR,false
2900,Other OR,false
2901,Other OR,false
2906,Other OR,false
2908,Other OR,false
2911,Other OR,false
2955,Other OR,false
2956,Other OR,false
2957,Other OR,false
2958,Other OR,false
2959,Other OR,false
2960,Other OR,false
2964,Other OR,false
2968,Other OR,false
2970,Other OR,false
2971,Other OR,false
2972,Other OR,false
2974,Other OR,false
2981,Other OR,false
2984,Other OR,false
2987,Other OR,false
2988,Other OR,false
3012,Other OR,false
3015,Other OR,false
3017,Other OR,false
3020,Other OR,false
3022,Other OR,false
3025,Other OR,false
3027,Other OR,false
3032,Other OR,false
3040,Other OR,false
3042,Other OR,false
3043,Other OR,false
3044,Other OR,false
3054,Other OR,false
3056,Other OR,false
3062,Other OR,false
3072,Other OR,false
3073,Other OR,false
3074,Other OR,false
3077,Other OR,false
3081,Other OR,false
3082,Other OR,false
3083,Other OR,false
3087,Other OR,false
3092,Other OR,false
3106,Other OR,false
3108,Other OR,false
3111,Other OR,false
3112,Other OR,false
3117,Other OR,false
3118,Other OR,false
3119,Other OR,false
3120,Other OR,false
3121,Other OR,false
3126,Other OR,false
3128,Other OR,false
3131,Other OR,false
3133,Other OR,false
3139,Other OR,false
3140,Other OR,false
3141,Other OR,false
3147,Other OR,false
3149,Other OR,false
3150,Other OR,false
3151,Other OR,false
3153,Other OR,false
3157,Other OR,false
3171,Other OR,false
3172,Other OR,false
3177,Other OR,false
3181,Other OR,false
3183,Other OR,false
3184,Other OR,false
3185,Other OR,false
4001,HaloNV,false
4002,HaloWA,false
4003,HaloWA,false
4004,HaloNV,false
4005,HaloCA,false
4006,HaloCA,false
4007,HaloCA,false
4008,HaloCA,false
4009,HaloCA,false
4010,HaloNV,false
4011,HaloNV,false
4012,HaloCA,false
4013,HaloCA,false
4014,HaloCA,false
4015,HaloCA,false
4016,HaloCA,false
4017,HaloCA,false
4018,HaloCA,false
4019,HaloCA,false
4021,HaloCA,false
4022,HaloCA,false
4023,HaloCA,false
4025,HaloCA,false
4026,HaloNV,false
4027,HaloWA,false
4028,HaloWA,false
4029,HaloWA,false
4030,HaloWA,false
4031,HaloWA,false
4032,HaloWA,false
4033,HaloWA,false
4034,HaloWA,false
4035,HaloWA,false
4036,HaloWA,false
4037,HaloWA,false
4038,HaloWA,false
4039,HaloWA,false
4040,HaloWA,false
4041,HaloWA,false
4042,HaloWA,false
4043,HaloWA,false
4044,HaloWA,false
4045,HaloWA,false
4046,HaloWA,false
4047,HaloID,false
4048,HaloWA,false
4049,HaloWA,false
4050,HaloWA,false
4051,HaloWA,false
4052,HaloWA,false
4053,HaloWA,false
4054,HaloWA,false
4055,HaloWA,false
4056,HaloWA,false
4057,HaloWA,false
4058,HaloWA,false
4059,HaloWA,false
4060,HaloWA,false
4061,HaloWA,false
4062,HaloWA,false
4063,HaloWA,false
4064,HaloWA,false
4065,HaloWA,false
4066,HaloWA,false
4067,HaloWA,false
4068,HaloWA,false
4069,HaloWA,false
4070,HaloWA,false
4071,HaloID,false
4072,HaloID,false
4073,HaloID,false
4074,HaloID,false
4075,HaloID,false
4076,HaloID,false
4077,HaloID,false
4078,HaloID,false
4079,HaloID,false
4080,HaloID,false
4081,HaloID,false
4082,HaloID,false
4083,HaloID,false
4084,HaloID,false
4085,HaloID,false
4086,HaloID,false
4087,HaloID,false
4088,HaloID,false
4089,HaloID,false
4090,HaloID,false
4091,HaloID,false
4092,HaloID,false
4093,HaloID,false
4094,HaloID,false
4095,HaloID,false
4096,HaloID,false
4105,HaloWA,false
4136,HaloID,false
4137,HaloID,false
4138,HaloID,false
4140,HaloID,false
4141,HaloID,false
6001,Z6001ImportExport,true
6002,Z6002ImportExport,true
6003,Z6003ImportExport,true
6004,Z6004ImportExport,true
6005,Z6005ImportExport,true
6006,Z6006ImportExport,true
