ZoneNumber,Commodity,BuyingSize,SellingSize,SpecifiedExchange,ImportFunctionMidpoint,ImportFunctionMidpointPrice,ImportFunctionEta,ImportFunctionDelta,ImportFunctionSlope,ExportFunctionMidpoint,ExportFunctionMidpointPrice,ExportFunctionEta,ExportFunctionDelta,ExportFunctionSlope,MonitorExchange
2899,SCTG06_FKP_AGRI_grain,150489.5,150489.5,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2900,SCTG06_FKP_AGRI_grain,63317,63317,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2901,SCTG06_FKP_AGRI_grain,1099852.5,1099852.5,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2906,SCTG06_FKP_AGRI_grain,635172.5,635172.5,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2908,SCTG06_FKP_AGRI_grain,2600669.5,2600669.5,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2911,SCTG06_FKP_AGRI_grain,2816765,2816765,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2955,SCTG06_FKP_AGRI_grain,21962,21962,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2956,SCTG06_FKP_AGRI_grain,71841,71841,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2957,SCTG06_FKP_AGRI_grain,43558.5,43558.5,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2958,SCTG06_FKP_AGRI_grain,20378,20378,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2959,SCTG06_FKP_AGRI_grain,59179.5,59179.5,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2960,SCTG06_FKP_AGRI_grain,566901,566901,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2964,SCTG06_FKP_AGRI_grain,190323.5,190323.5,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2968,SCTG06_FKP_AGRI_grain,371109.5,371109.5,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2970,SCTG06_FKP_AGRI_grain,2712,2712,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2971,SCTG06_FKP_AGRI_grain,12293,12293,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2972,SCTG06_FKP_AGRI_grain,1013945,1013945,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
