Azone,Bzone,PECASName,ALDRegion,STATEFIPS,COUNTYFIPS,PUMA2000,PUMA1990,HourPark,DayPark,LUIntensityCode,MPOmodeledzones,ACT,Fare
47.0,31.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Medium,Metro,2.0,TriMet1
48.0,31.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Medium,Metro,2.0,TriMet1
49.0,31.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Medium,Metro,2.0,TriMet2
50.0,31.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Low,Metro,2.0,TriMet1
51.0,31.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Low,Metro,2.0,TriMet1
52.0,37.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Low,Metro,2.0,TriMet2
53.0,37.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Low,Metro,2.0,TriMet2
54.0,37.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Low,Metro,2.0,TriMet2
55.0,37.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Medium,Metro,2.0,TriMet2
56.0,31.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Medium,Metro,2.0,TriMet2
57.0,31.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,VeryLow,Metro,2.0,TriMet2
58.0,31.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Medium,Metro,2.0,TriMet2
59.0,31.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Low,Metro,2.0,TriMet2
60.0,37.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Low,Metro,2.0,TriMet2
61.0,37.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,VeryLow,Metro,2.0,TriMet2
62.0,37.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Low,Metro,2.0,TriMet2
63.0,37.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,VeryLow,Metro,2.0,TriMet2
64.0,37.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Medium,Metro,2.0,TriMet2
65.0,37.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,High,Metro,2.0,TriMet2
66.0,37.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,VeryLow,Metro,2.0,TriMet2
67.0,37.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,VeryLow,Metro,2.0,TriMet2
68.0,37.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Low,Metro,2.0,TriMet2
69.0,37.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,High,Metro,2.0,TriMet2
70.0,37.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Medium,Metro,2.0,TriMet2
71.0,37.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,VeryLow,Metro,2.0,TriMet2
72.0,37.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,VeryLow,Metro,2.0,TriMet2
73.0,37.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,Low,Metro,2.0,TriMet2
74.0,37.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,VeryLow,Metro,2.0,TriMet2
75.0,37.0,Portland,Portland_Vancouver,41.0,51.0,1304.0,1300.0,0.0,0.0,VeryLow,Metro,2.0,TriMet2
76.0,37.0,Portland,Portland_Vancouver,41.0,5.0,1304.0,1500.0,0.0,0.0,Medium,Metro,2.0,TriMet3
77.0,37.0,Portland,Portland_Vancouver,41.0,5.0,1304.0,1500.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
78.0,37.0,Portland,Portland_Vancouver,41.0,5.0,1309.0,1500.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
79.0,79.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
80.0,79.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,High,Metro,2.0,TriMet3
81.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
82.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
83.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
84.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
85.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
86.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
87.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
88.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
89.0,89.0,Portland,Portland_Vancouver,41.0,67.0,1310.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
90.0,89.0,Portland,Portland_Vancouver,41.0,67.0,1310.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
91.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
92.0,89.0,Portland,Portland_Vancouver,41.0,67.0,1310.0,1200.0,0.0,0.0,High,Metro,2.0,TriMet3
93.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
94.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
95.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,High,Metro,2.0,TriMet3
96.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,High,Metro,2.0,TriMet3
97.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
98.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
99.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
100.0,79.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
101.0,79.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
102.0,79.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
103.0,19.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
104.0,104.0,Portland,Portland_Vancouver,41.0,67.0,1312.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
105.0,79.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
106.0,79.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
107.0,79.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,High,Metro,2.0,TriMet3
108.0,79.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
109.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,VeryLow,Metro,2.0,TriMet3
110.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
111.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,High,Metro,2.0,TriMet3
112.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,High,Metro,2.0,TriMet3
113.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,High,Metro,2.0,TriMet3
114.0,114.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
115.0,114.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
116.0,89.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,High,Metro,2.0,TriMet3
117.0,117.0,Portland,Portland_Vancouver,41.0,67.0,1310.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
118.0,114.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
119.0,114.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
120.0,114.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
121.0,114.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
122.0,114.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
123.0,114.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Low,Metro,2.0,TriMet3
124.0,114.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,Medium,Metro,2.0,TriMet3
125.0,81.0,Portland,Portland_Vancouver,41.0,67.0,1313.0,1200.0,0.0,0.0,High,Metro,2.0,TriMet3
