"year","trade_activity","dollars"
2010,"sctg01_fkp_lvsk_expt",414039
2010,"sctg01_fkp_lvsk_impt",269324
2010,"sctg02_fkp_agri_cereal_expt",500497
2010,"sctg02_fkp_agri_cereal_impt",615570
2010,"sctg03_fkp_agri_other_expt",6840443
2010,"sctg03_fkp_agri_other_impt",1128489
2010,"sctg04_fkp_feed_expt",163046
2010,"sctg04_fkp_feed_impt",779105
2010,"sctg05_fkp_food_meat_expt",2120851
2010,"sctg05_fkp_food_meat_impt",2985095
2010,"sctg06_fkp_agri_grain_expt",802159
2010,"sctg06_fkp_agri_grain_impt",874329
2010,"sctg07_fkp_food_prep_expt",9809610
2010,"sctg07_fkp_food_prep_impt",5449113
2010,"sctg08_fkp_food_alc_expt",1220530
2010,"sctg08_fkp_food_alc_impt",1453242
2010,"sctg10_cms_clay_expt",99585
2010,"sctg10_cms_clay_impt",66361
2010,"sctg11_cms_sand_expt",170094
2010,"sctg11_cms_sand_impt",16691
2010,"sctg13_cms_mine_nonmet_expt",35383
2010,"sctg13_cms_mine_nonmet_impt",145357
2010,"sctg14_cms_mine_met_expt",1406271
2010,"sctg14_cms_mine_met_impt",526896
2010,"sctg15_pcc_coal_expt",36379
2010,"sctg15_pcc_coal_impt",737439
2010,"sctg16_pcc_petr_crude_expt",250922
2010,"sctg16_pcc_petr_crude_impt",1620653
2010,"sctg17_pcc_fuel_expt",22312
2010,"sctg17_pcc_fuel_impt",5686202
2010,"sctg18_pcc_petr_oil_expt",11156
2010,"sctg18_pcc_petr_oil_impt",2843101
2010,"sctg19_pcc_coal_prod_expt",204333
2010,"sctg19_pcc_coal_prod_impt",4093295
2010,"sctg20_pcc_chem_basic_expt",1139704
2010,"sctg20_pcc_chem_basic_impt",1916098
2010,"sctg21_pcc_chem_pharma_expt",748617
2010,"sctg21_pcc_chem_pharma_impt",6314013
2010,"sctg22_pcc_chem_fert_expt",182295
2010,"sctg22_pcc_chem_fert_impt",402521
2010,"sctg23_pcc_chem_prod_expt",1003510
2010,"sctg23_pcc_chem_prod_impt",3333291
2010,"sctg24_pcc_petr_plast_expt",2068673
2010,"sctg24_pcc_petr_plast_impt",4401570
2010,"sctg25_fwp_logs_expt",1134937
2010,"sctg25_fwp_logs_impt",331793
2010,"sctg26_fwp_wood_expt",4368791
2010,"sctg26_fwp_wood_impt",605595
2010,"sctg27_ppp_papr_puplp_expt",4497104
2010,"sctg27_ppp_papr_puplp_impt",848258
2010,"sctg28_ppp_papr_paper_expt",769375
2010,"sctg28_ppp_papr_paper_impt",1265032
2010,"sctg29_ppp_papr_print_expt",919410
2010,"sctg29_ppp_papr_print_impt",1724222
2010,"sctg30_oth_clth_expt",522849
2010,"sctg30_oth_clth_impt",3539160
2010,"sctg31_cms_min_expt",855408
2010,"sctg31_cms_min_impt",1291833
2010,"sctg32_mit_metl_base_expt",3091289
2010,"sctg32_mit_metl_base_impt",3573179
2010,"sctg33_mit_metl_prod_expt",2453997
2010,"sctg33_mit_metl_prod_impt",2622411
2010,"sctg34_mit_mach_expt",4450446
2010,"sctg34_mit_mach_impt",7279113
2010,"sctg35_mit_elct_expt",22493024
2010,"sctg35_mit_elct_impt",11428218
2010,"sctg36_mit_tran_expt",3294214
2010,"sctg36_mit_tran_impt",7086498
2010,"sctg37_mit_inst_transp_expt",2673505
2010,"sctg37_mit_inst_transp_impt",2179334
2010,"sctg38_mit_inst_prec_expt",2240442
2010,"sctg38_mit_inst_prec_impt",3185364
2010,"sctg39_oth_furn_expt",1099863
2010,"sctg39_oth_furn_impt",1791419
2010,"sctg40_oth_misc_expt",1816680
2010,"sctg40_oth_misc_impt",4823043
2010,"sctg41_waste_scrap_expt",520414
2010,"sctg41_waste_scrap_impt",476719
2010,"transport_expt",3203752
2010,"transport_impt",3135224
2010,"wholesale trade_expt",3206498
2010,"wholesale trade_impt",2054033
2011,"accommodations_expt",3365523
2011,"accommodations_impt",2604559
2011,"communications and utilities_expt",5824043
2011,"communications and utilities_impt",8098948
2011,"construction_expt",8865926
2011,"construction_impt",12913607
2011,"education reports to sponsors_expt",108905
2011,"education reports to sponsors_impt",38441
2011,"energy_expt",3319134
2011,"energy_impt",1185656
2011,"entertainment services_expt",420219
2011,"entertainment services_impt",1119542
2011,"fire business and professional services_expt",8518509
2011,"fire business and professional services_impt",30280076
2011,"food services_expt",741890
2011,"food services_impt",342827
2011,"government administration_expt",3602562
2011,"government administration_impt",3659194
2011,"health services_expt",6576468
2011,"health services_impt",1262564
2011,"higher education_expt",956984
2011,"higher education_impt",855783
2011,"personal and other services and amusements_expt",4915004
2011,"personal and other services and amusements_impt",1780935
2011,"retail trade_expt",4235849
2011,"retail trade_impt",2009974
2011,"sctg01_fkp_lvsk_expt",430253
2011,"sctg01_fkp_lvsk_impt",279165
2011,"sctg02_fkp_agri_cereal_expt",519889
2011,"sctg02_fkp_agri_cereal_impt",640949
2011,"sctg03_fkp_agri_other_expt",7108398
2011,"sctg03_fkp_agri_other_impt",1164835
2011,"sctg04_fkp_feed_expt",169607
2011,"sctg04_fkp_feed_impt",795564
2011,"sctg05_fkp_food_meat_expt",2212694
2011,"sctg05_fkp_food_meat_impt",3057054
2011,"sctg06_fkp_agri_grain_expt",837913
2011,"sctg06_fkp_agri_grain_impt",893513
2011,"sctg07_fkp_food_prep_expt",10225531
2011,"sctg07_fkp_food_prep_impt",5595606
2011,"sctg08_fkp_food_alc_expt",1285203
2011,"sctg08_fkp_food_alc_impt",1474824
2011,"sctg10_cms_clay_expt",104233
2011,"sctg10_cms_clay_impt",67612
2011,"sctg11_cms_sand_expt",177968
2011,"sctg11_cms_sand_impt",17110
2011,"sctg13_cms_mine_nonmet_expt",37009
2011,"sctg13_cms_mine_nonmet_impt",149586
2011,"sctg14_cms_mine_met_expt",1477000
2011,"sctg14_cms_mine_met_impt",556751
2011,"sctg15_pcc_coal_expt",38210
2011,"sctg15_pcc_coal_impt",763303
2011,"sctg16_pcc_petr_crude_expt",260935
2011,"sctg16_pcc_petr_crude_impt",1688570
2011,"sctg17_pcc_fuel_expt",22983
2011,"sctg17_pcc_fuel_impt",5798855
2011,"sctg18_pcc_petr_oil_expt",11491
2011,"sctg18_pcc_petr_oil_impt",2899427
2011,"sctg19_pcc_coal_prod_expt",210607
2011,"sctg19_pcc_coal_prod_impt",4184837
2011,"sctg20_pcc_chem_basic_expt",1177412
2011,"sctg20_pcc_chem_basic_impt",1961762
2011,"sctg21_pcc_chem_pharma_expt",760065
2011,"sctg21_pcc_chem_pharma_impt",6409049
2011,"sctg22_pcc_chem_fert_expt",190852
2011,"sctg22_pcc_chem_fert_impt",416357
2011,"sctg23_pcc_chem_prod_expt",1050879
2011,"sctg23_pcc_chem_prod_impt",3411918
2011,"sctg24_pcc_petr_plast_expt",2141250
2011,"sctg24_pcc_petr_plast_impt",4546706
2011,"sctg25_fwp_logs_expt",1203560
2011,"sctg25_fwp_logs_impt",336285
2011,"sctg26_fwp_wood_expt",4192128
2011,"sctg26_fwp_wood_impt",608897
2011,"sctg27_ppp_papr_puplp_expt",4570589
2011,"sctg27_ppp_papr_puplp_impt",870754
2011,"sctg28_ppp_papr_paper_expt",793575
2011,"sctg28_ppp_papr_paper_impt",1304527
2011,"sctg29_ppp_papr_print_expt",957244
2011,"sctg29_ppp_papr_print_impt",1754553
2011,"sctg30_oth_clth_expt",544889
2011,"sctg30_oth_clth_impt",3596767
2011,"sctg31_cms_min_expt",882108
2011,"sctg31_cms_min_impt",1321971
2011,"sctg32_mit_metl_base_expt",3403288
2011,"sctg32_mit_metl_base_impt",3754565
2011,"sctg33_mit_metl_prod_expt",2600743
2011,"sctg33_mit_metl_prod_impt",2708668
2011,"sctg34_mit_mach_expt",4813453
2011,"sctg34_mit_mach_impt",7511350
2011,"sctg35_mit_elct_expt",23130295
2011,"sctg35_mit_elct_impt",11719300
2011,"sctg36_mit_tran_expt",3616058
2011,"sctg36_mit_tran_impt",7278518
2011,"sctg37_mit_inst_transp_expt",2809057
2011,"sctg37_mit_inst_transp_impt",2217881
2011,"sctg38_mit_inst_prec_expt",2247327
2011,"sctg38_mit_inst_prec_impt",3240756
2011,"sctg39_oth_furn_expt",1151714
2011,"sctg39_oth_furn_impt",1817898
2011,"sctg40_oth_misc_expt",1836818
2011,"sctg40_oth_misc_impt",4897551
2011,"sctg41_waste_scrap_expt",528689
2011,"sctg41_waste_scrap_impt",510213
2011,"transport_expt",3275216
2011,"transport_impt",3202245
2011,"wholesale trade_expt",3343520
2011,"wholesale trade_impt",2106991
2012,"accommodations_expt",3463202
2012,"accommodations_impt",2647823
2012,"communications and utilities_expt",5897805
2012,"communications and utilities_impt",8250579
2012,"construction_expt",9215405
2012,"construction_impt",13076548
2012,"education reports to sponsors_expt",110382
2012,"education reports to sponsors_impt",38908
2012,"energy_expt",3462084
2012,"energy_impt",1213801
2012,"entertainment services_expt",431499
2012,"entertainment services_impt",1138722
2012,"fire business and professional services_expt",8750760
2012,"fire business and professional services_impt",30968160
2012,"food services_expt",764514
2012,"food services_impt",347873
2012,"government administration_expt",3723416
2012,"government administration_impt",3703643
2012,"health services_expt",6728256
2012,"health services_impt",1277972
2012,"higher education_expt",969341
2012,"higher education_impt",866966
2012,"personal and other services and amusements_expt",5074215
2012,"personal and other services and amusements_impt",1807495
2012,"retail trade_expt",4383504
2012,"retail trade_impt",2046728
2012,"sctg01_fkp_lvsk_expt",458664
2012,"sctg01_fkp_lvsk_impt",288138
2012,"sctg02_fkp_agri_cereal_expt",548696
2012,"sctg02_fkp_agri_cereal_impt",660376
2012,"sctg03_fkp_agri_other_expt",7573353
2012,"sctg03_fkp_agri_other_impt",1201221
2012,"sctg04_fkp_feed_expt",177678
2012,"sctg04_fkp_feed_impt",814476
2012,"sctg05_fkp_food_meat_expt",2258189
2012,"sctg05_fkp_food_meat_impt",3110467
2012,"sctg06_fkp_agri_grain_expt",848656
2012,"sctg06_fkp_agri_grain_impt",907492
2012,"sctg07_fkp_food_prep_expt",10422347
2012,"sctg07_fkp_food_prep_impt",5697526
2012,"sctg08_fkp_food_alc_expt",1341012
2012,"sctg08_fkp_food_alc_impt",1496682
2012,"sctg10_cms_clay_expt",112271
2012,"sctg10_cms_clay_impt",70070
2012,"sctg11_cms_sand_expt",191356
2012,"sctg11_cms_sand_impt",17910
2012,"sctg13_cms_mine_nonmet_expt",39876
2012,"sctg13_cms_mine_nonmet_impt",155252
2012,"sctg14_cms_mine_met_expt",1488437
2012,"sctg14_cms_mine_met_impt",572850
2012,"sctg15_pcc_coal_expt",38475
2012,"sctg15_pcc_coal_impt",792970
2012,"sctg16_pcc_petr_crude_expt",272220
2012,"sctg16_pcc_petr_crude_impt",1768006
2012,"sctg17_pcc_fuel_expt",23965
2012,"sctg17_pcc_fuel_impt",5923307
2012,"sctg18_pcc_petr_oil_expt",11982
2012,"sctg18_pcc_petr_oil_impt",2961653
2012,"sctg19_pcc_coal_prod_expt",218202
2012,"sctg19_pcc_coal_prod_impt",4294622
2012,"sctg20_pcc_chem_basic_expt",1208081
2012,"sctg20_pcc_chem_basic_impt",2055705
2012,"sctg21_pcc_chem_pharma_expt",785625
2012,"sctg21_pcc_chem_pharma_impt",6510019
2012,"sctg22_pcc_chem_fert_expt",195826
2012,"sctg22_pcc_chem_fert_impt",433030
2012,"sctg23_pcc_chem_prod_expt",1087349
2012,"sctg23_pcc_chem_prod_impt",3515411
2012,"sctg24_pcc_petr_plast_expt",2219304
2012,"sctg24_pcc_petr_plast_impt",4702669
2012,"sctg25_fwp_logs_expt",1220798
2012,"sctg25_fwp_logs_impt",336215
2012,"sctg26_fwp_wood_expt",4104020
2012,"sctg26_fwp_wood_impt",615508
2012,"sctg27_ppp_papr_puplp_expt",4657816
2012,"sctg27_ppp_papr_puplp_impt",892568
2012,"sctg28_ppp_papr_paper_expt",814375
2012,"sctg28_ppp_papr_paper_impt",1335228
2012,"sctg29_ppp_papr_print_expt",993682
2012,"sctg29_ppp_papr_print_impt",1786714
2012,"sctg30_oth_clth_expt",560950
2012,"sctg30_oth_clth_impt",3654676
2012,"sctg31_cms_min_expt",919949
2012,"sctg31_cms_min_impt",1362832
2012,"sctg32_mit_metl_base_expt",3650729
2012,"sctg32_mit_metl_base_impt",4026968
2012,"sctg33_mit_metl_prod_expt",2823290
2012,"sctg33_mit_metl_prod_impt",2820997
2012,"sctg34_mit_mach_expt",5246230
2012,"sctg34_mit_mach_impt",7742399
2012,"sctg35_mit_elct_expt",25073457
2012,"sctg35_mit_elct_impt",12160273
2012,"sctg36_mit_tran_expt",3882245
2012,"sctg36_mit_tran_impt",7461089
2012,"sctg37_mit_inst_transp_expt",2821878
2012,"sctg37_mit_inst_transp_impt",2240415
2012,"sctg38_mit_inst_prec_expt",2360093
2012,"sctg38_mit_inst_prec_impt",3297566
2012,"sctg39_oth_furn_expt",1182167
