AZone,FLR MH,FLR MF,FLR AT,FLR SFD,FLR RRMH,FLR RRSFD,FLR Accommodation,FLR Government Support,FLR K12,FLR Heavy Industry,FLR Hospital,FLR Institutional,FLR Light Industry,FLR Office,FLR Retail,FLR Warehouse,FLR Agriculture,FLR Logging
43,0.01061,0.560831,0.092995,0.295963,0.00006,0.019764,0.004268,0,0,0.002826,0.546344,1.104014,0.006902,0.21896,0.020555,0.00172,0,0
44,0,0.433466,0.033017,0.078562,0,0.005246,0.008536,0,6.568968,0.00477,0.001736,0.585808,0.014415,1.163979,0.068809,0.006879,0,0
45,0,0.338523,0.015951,0.04001,0,0.002662,0,0,0,0,0,0,0.003885,0.020562,0,0.084876,0,0
46,0,0.113555,0.075864,0.074363,0,0.004966,0,0,0.020056,0.009343,0,0.001012,0.029898,0.04817,0.028965,0,0,0
47,0,0.236977,0.19958,0.105731,0,0.007061,0,0,0,0,0,0.038055,0.026982,0.202905,0.030272,0,0,0
48,0.000058,0.102456,0.047022,0.067901,0,0.004534,0,0,0,0,0,0.021646,0.00214,0.057546,0.000556,0,0,0
49,0,0.265003,0.320882,0.288414,0,0.01926,0,0,0,0.00965,0,0.001171,0.011137,0.351063,0.150547,0.003438,0,0
50,0,0.231399,0.191706,0.119229,0,0.007962,0,0,0,0,0,0,0,0.00318,0,0,0,0
51,0,0.165354,0.035942,0.649791,0,0.043393,0,0,0,0,0,0.001718,0.011797,0.03492,0.105705,0.017361,0,0
52,0,0.168958,0.130722,1.40856,0,0.094063,0,0,0.010464,0,0,0.006739,0.005354,0.0159,0.04585,0,0,0
53,0.000063,0.110688,0.072455,1.252816,0,0.083234,0,0,0,0.001346,0,0,0.00144,0.006432,0.000442,0,0,0
54,0.005018,0.096752,0.181665,2.308428,0.000028,0.153465,0,0,0.006104,0,0,0.079346,0.004683,0.026955,0.019432,0.003269,0,0
55,0.011268,0.65388,0.332482,1.37354,0.000064,0.091725,0,0,0.00744,0.000702,0,0.043157,0.022841,0.154626,0.213186,0.045849,0,0
56,0.00001,0.155486,0.02296,1.054617,0,0.070427,0.001186,0,0.017856,0.002457,0,0.00096,0.008892,0.037294,0.210466,0,0,0
57,0,0.007274,0.012,0.080545,0,0.005379,0,0,0.018325,0,0,0.000741,0,0.001319,0,0,0,0
58,0,0.01371,0.02412,0.176787,0,0.011806,0,0,0.023456,0,0,0.001326,0,0.006009,0.003955,0,0,0
59,0,0.02958,0.039309,0.189193,0,0.012634,0,0,0,0,0,0.000253,0.001465,0.004282,0.034335,0,0,0
60,0,0.008374,0,0.342349,0,0.022862,0,0,0,0,0,0,0,0.001694,0,0,0,0
61,0,0.016579,0.019412,0.43625,0,0.029132,0,0,0,0,0,0,0,0,0.011957,0,0,0
62,0.000595,0.018674,0.056936,1.274287,0.000003,0.085096,0,0,0.037944,0.000351,0,0.003336,0.004002,0.021085,0.096678,0,0,0
63,0,0.045635,0.022607,1.143533,0,0.076365,0,0,0.027854,0,0,0.000697,0.000783,0.005756,0.001356,0.00646,0,0
64,0,0.091328,0.020622,0.245686,0,0.016407,0,0,0,0.000702,0,0.00168,0.018549,0.054548,0.131188,0,0,0
65,0.006087,0.170817,0.087519,0.556362,0.000034,0.037154,0.014938,0,0,0,0,0.073602,0.006246,0.840882,0.111293,0.00344,0,0
66,0.000628,0.040523,0.023774,0.878501,0.000004,0.058666,0,0,0,0,0,0.001127,0.004482,0.002992,0.018008,0,0,0
67,0.000044,0.088678,0.0484,1.385432,0.000002,0.091949,0,0,0,0,0,0.000777,0.001103,0.011064,0.00696,0.007716,0,0
68,0,0.347377,0.179609,0.868162,0,0.057976,0.007116,0,0.224651,0,0,0.040574,0.007657,0.089637,0.024444,0,0,0
69,0,0.275525,0.070778,0.37524,0,0.025058,0.014232,0.00357,0.064728,0,0,0.014138,0.008872,0.216095,0.124026,0.001341,0,0
70,0,0.082195,0.031114,0.643623,0,0.042981,0,0,0,0,0,0,0.001394,0.027723,0.01172,0,0,0
71,0,0.011319,0.020007,0.53139,0,0.035486,0,0,0,0.00072,0,0,0.00048,0.00216,0,0,0,0
