t.year,year,external_sta,entry,exit
46,2036,5003,3423,3423
46,2036,5004,1514,1514
46,2036,5007,2863,2863
46,2036,5008,335,335
46,2036,5009,165,165
46,2036,5010,4393,4393
47,2037,5001,400,400
47,2037,5002,8062,8062
47,2037,5003,3474,3474
47,2037,5004,1536,1536
47,2037,5007,2906,2906
47,2037,5008,340,340
47,2037,5009,167,167
47,2037,5010,4459,4459
48,2038,5001,406,406
48,2038,5002,8183,8183
48,2038,5003,3526,3526
48,2038,5004,1559,1559
48,2038,5007,2949,2949
48,2038,5008,345,345
48,2038,5009,170,170
48,2038,5010,4526,4526
49,2039,5001,412,412
49,2039,5002,8305,8305
49,2039,5003,3579,3579
49,2039,5004,1583,1583
49,2039,5007,2993,2993
49,2039,5008,350,350
49,2039,5009,172,172
49,2039,5010,4593,4593
50,2040,5001,418,418
50,2040,5002,8429,8429
50,2040,5003,3633,3633
50,2040,5004,1606,1606
50,2040,5007,3038,3038
50,2040,5008,355,355
50,2040,5009,175,175
50,2040,5010,4662,4662
51,2041,5001,425,425
51,2041,5002,8555,8555
51,2041,5003,3687,3687
51,2041,5004,1630,1630
51,2041,5007,3083,3083
51,2041,5008,360,360
51,2041,5009,178,178
51,2041,5010,4732,4732
52,2042,5001,431,431
52,2042,5002,8683,8683
52,2042,5003,3742,3742
52,2042,5004,1655,1655
52,2042,5007,3129,3129
52,2042,5008,366,366
52,2042,5009,180,180
52,2042,5010,4802,4802
53,2043,5001,437,437
53,2043,5002,8813,8813
53,2043,5003,3798,3798
53,2043,5004,1680,1680
53,2043,5007,3176,3176
53,2043,5008,371,371
53,2043,5009,183,183
53,2043,5010,4874,4874
54,2044,5001,444,444
54,2044,5002,8944,8944
54,2044,5003,3855,3855
54,2044,5004,1705,1705
54,2044,5007,3224,3224
54,2044,5008,377,377
54,2044,5009,186,186
54,2044,5010,4947,4947
55,2045,5001,451,451
55,2045,5002,9078,9078
55,2045,5003,3912,3912
55,2045,5004,1730,1730
55,2045,5007,3272,3272
55,2045,5008,383,383
55,2045,5009,188,188
55,2045,5010,5021,5021
56,2046,5001,457,457
56,2046,5002,9214,9214
56,2046,5003,3971,3971
56,2046,5004,1756,1756
56,2046,5007,3321,3321
56,2046,5008,388,388
56,2046,5009,191,191
56,2046,5010,5096,5096
57,2047,5001,464,464
57,2047,5002,9351,9351
57,2047,5003,4030,4030
57,2047,5004,1782,1782
57,2047,5007,3370,3370
57,2047,5008,394,394
57,2047,5009,194,194
57,2047,5010,5172,5172
58,2048,5001,471,471
58,2048,5002,9491,9491
58,2048,5003,4090,4090
58,2048,5004,1809,1809
58,2048,5007,3421,3421
58,2048,5008,400,400
58,2048,5009,197,197
58,2048,5010,5249,5249
59,2049,5001,478,478
59,2049,5002,9633,9633
59,2049,5003,4151,4151
59,2049,5004,1836,1836
59,2049,5007,3472,3472
59,2049,5008,406,406
59,2049,5009,200,200
59,2049,5010,5328,5328
60,2050,5001,485,485
60,2050,5002,9777,9777
60,2050,5003,4214,4214
60,2050,5004,1863,1863
60,2050,5007,3524,3524
60,2050,5008,412,412
60,2050,5009,203,203
60,2050,5010,5407,5407
61,2051,5001,493,493
61,2051,5002,9923,9923
61,2051,5003,4277,4277
61,2051,5004,1891,1891
61,2051,5007,3576,3576
61,2051,5008,418,418
61,2051,5009,206,206
61,2051,5010,5488,5488
62,2052,5001,500,500
62,2052,5002,10071,10071
62,2052,5003,4340,4340
62,2052,5004,1919,1919
62,2052,5007,3630,3630
62,2052,5008,424,424
62,2052,5009,209,209
62,2052,5010,5570,5570
63,2053,5001,507,507
63,2053,5002,10222,10222
63,2053,5003,4405,4405
63,2053,5004,1948,1948
63,2053,5007,3684,3684
63,2053,5008,431,431
63,2053,5009,212,212
63,2053,5010,5653,5653
64,2054,5001,515,515
64,2054,5002,10375,10375
64,2054,5003,4471,4471
64,2054,5004,1977,1977
64,2054,5007,3739,3739
64,2054,5008,437,437
64,2054,5009,215,215
64,2054,5010,5738,5738
65,2055,5001,523,523
65,2055,5002,10530,10530
65,2055,5003,4538,4538
65,2055,5004,2007,2007
65,2055,5007,3795,3795
65,2055,5008,444,444
65,2055,5009,218,218
65,2055,5010,5824,5824
66,2056,5001,531,531
66,2056,5002,10687,10687
66,2056,5003,4606,4606
66,2056,5004,2037,2037
66,2056,5007,3852,3852
66,2056,5008,450,450
66,2056,5009,222,222
66,2056,5010,5911,5911
67,2057,5001,538,538
67,2057,5002,10847,10847
67,2057,5003,4675,4675
67,2057,5004,2067,2067
67,2057,5007,3909,3909
67,2057,5008,457,457
67,2057,5009,225,225
67,2057,5010,5999,5999
68,2058,5001,546,546
68,2058,5002,11009,11009
68,2058,5003,4744,4744
68,2058,5004,2098,2098
68,2058,5007,3968,3968
68,2058,5008,464,464
68,2058,5009,228,228
68,2058,5010,6089,6089
69,2059,5001,555,555
69,2059,5002,11173,11173
69,2059,5003,4815,4815
69,2059,5004,2129,2129
69,2059,5007,4027,4027
69,2059,5008,471,471
69,2059,5009,232,232
69,2059,5010,6180,6180
70,2060,5001,563,563
70,2060,5002,11340,11340
70,2060,5003,4887,4887
70,2060,5004,2161,2161
70,2060,5007,4087,4087
70,2060,5008,478,478
70,2060,5009,235,235
70,2060,5010,6272,6272
