ZoneNumber,Commodity,BuyingSize,SellingSize,SpecifiedExchange,ImportFunctionMidpoint,ImportFunctionMidpointPrice,ImportFunctionEta,ImportFunctionDelta,ImportFunctionSlope,ExportFunctionMidpoint,ExportFunctionMidpointPrice,ExportFunctionEta,ExportFunctionDelta,ExportFunctionSlope,MonitorExchange
2829,SCTG39_OTH_FURN,2918.6242860664183,2918.6242860664183,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2830,SCTG39_OTH_FURN,164125.20641158218,164125.20641158218,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2831,SCTG39_OTH_FURN,495723.94579884404,495723.94579884404,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2836,SCTG39_OTH_FURN,11892.441101011118,11892.441101011118,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2837,SCTG39_OTH_FURN,128398.99945530115,128398.99945530115,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2839,SCTG39_OTH_FURN,23414.693389946406,23414.693389946406,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2841,SCTG39_OTH_FURN,12755.39754437877,12755.39754437877,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2842,SCTG39_OTH_FURN,16964.64720534854,16964.64720534854,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2843,SCTG39_OTH_FURN,22066.87172653694,22066.87172653694,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2846,SCTG39_OTH_FURN,22643.162815647127,22643.162815647127,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2847,SCTG39_OTH_FURN,1454520.6547888597,1454520.6547888597,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2848,SCTG39_OTH_FURN,190172.50319271674,190172.50319271674,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2857,SCTG39_OTH_FURN,5882.235401687584,5882.235401687584,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2859,SCTG39_OTH_FURN,2918.624286100543,2918.624286100543,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2860,SCTG39_OTH_FURN,4000.0,4000.0,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2861,SCTG39_OTH_FURN,718772.9996852542,718772.9996852542,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2863,SCTG39_OTH_FURN,77587.58865411198,77587.58865411198,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2866,SCTG39_OTH_FURN,4297991.893272955,4297991.893272955,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2872,SCTG39_OTH_FURN,1286835.259078958,1286835.259078958,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2878,SCTG39_OTH_FURN,354671.8530039051,354671.8530039051,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2879,SCTG39_OTH_FURN,170679.90363612244,170679.90363612244,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2884,SCTG39_OTH_FURN,446751.90054211515,446751.90054211515,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2889,SCTG39_OTH_FURN,226436.8965926339,226436.8965926339,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2894,SCTG39_OTH_FURN,52878.631160858866,52878.631160858866,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2895,SCTG39_OTH_FURN,496129.59053194406,496129.59053194406,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2896,SCTG39_OTH_FURN,178859.00384300813,178859.00384300813,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2897,SCTG39_OTH_FURN,8917.18219207777,8917.18219207777,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2898,SCTG39_OTH_FURN,40813.62751772911,40813.62751772911,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2899,SCTG39_OTH_FURN,63812.96701105424,63812.96701105424,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2900,SCTG39_OTH_FURN,39287.18808499789,39287.18808499789,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2901,SCTG39_OTH_FURN,1138315.3800164913,1138315.3800164913,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2906,SCTG39_OTH_FURN,123803.36278207613,123803.36278207613,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2908,SCTG39_OTH_FURN,1794411.7387966092,1794411.7387966092,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2911,SCTG39_OTH_FURN,2054193.3666183716,2054193.3666183716,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2955,SCTG39_OTH_FURN,25233.15798388895,25233.15798388895,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2956,SCTG39_OTH_FURN,58479.20031358381,58479.20031358381,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2957,SCTG39_OTH_FURN,34976.90264443349,34976.90264443349,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2958,SCTG39_OTH_FURN,14877.445878465436,14877.445878465436,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2959,SCTG39_OTH_FURN,62416.22650474547,62416.22650474547,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2960,SCTG39_OTH_FURN,354999.812746913,354999.812746913,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2964,SCTG39_OTH_FURN,77460.50680610148,77460.50680610148,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2968,SCTG39_OTH_FURN,140771.60049249898,140771.60049249898,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2970,SCTG39_OTH_FURN,2768.8233361493717,2768.8233361493717,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2971,SCTG39_OTH_FURN,4683.712552223534,4683.712552223534,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2972,SCTG39_OTH_FURN,536575.1210109334,536575.1210109334,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2974,SCTG39_OTH_FURN,1396074.1631442579,1396074.1631442579,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2981,SCTG39_OTH_FURN,1466802.6434546513,1466802.6434546513,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2984,SCTG39_OTH_FURN,758994.7085216428,758994.7085216428,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2987,SCTG39_OTH_FURN,1330562.999749065,1330562.999749065,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
2988,SCTG39_OTH_FURN,357244.61103324266,357244.61103324266,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3012,SCTG39_OTH_FURN,848251.2637711167,848251.2637711167,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3015,SCTG39_OTH_FURN,89450.29658895897,89450.29658895897,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3017,SCTG39_OTH_FURN,107955.30515696718,107955.30515696718,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3020,SCTG39_OTH_FURN,1750674.0749362228,1750674.0749362228,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3022,SCTG39_OTH_FURN,75257.81851201801,75257.81851201801,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3025,SCTG39_OTH_FURN,809399.7883789772,809399.7883789772,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3027,SCTG39_OTH_FURN,2181061.5747168437,2181061.5747168437,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3032,SCTG39_OTH_FURN,1681111.3300200093,1681111.3300200093,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3040,SCTG39_OTH_FURN,95675.049381498,95675.049381498,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3042,SCTG39_OTH_FURN,22753.247389422082,22753.247389422082,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3043,SCTG39_OTH_FURN,27376.51942648647,27376.51942648647,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3044,SCTG39_OTH_FURN,261786.31163266604,261786.31163266604,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3054,SCTG39_OTH_FURN,222336.99973066454,222336.99973066454,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3056,SCTG39_OTH_FURN,1277029.8352054846,1277029.8352054846,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3062,SCTG39_OTH_FURN,30547.575300401204,30547.575300401204,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3072,SCTG39_OTH_FURN,2000.0,2000.0,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
3073,SCTG39_OTH_FURN,21497.256667330475,21497.256667330475,TRUE,1000000,1,0.2,1000000,1000000,1000000,1,0.2,-1000000,-1000000,FALSE
