Region,FLR MH,FLR MF,FLR AT,FLR SFD,FLR RRMH,FLR RRSFD
Astoria_LincolnCity,-1.843159296,-2.114376308,-3.642431075,0,-0.341237917,0.111757166
BakerCity_JohnDay,-2.843761468,-2.543534849,-3.504310206,0,-3.554403814,-2.395876985
Bend,-2.314708032,-2.720925396,-2.869037428,0,-0.168778551,1.97914126
Eugene,-2.098718027,-2.08560562,-1.929733525,0,-3.514112699,-0.590555256
Eureka_Brookings,-0.729915257,0.928167991,1.349310371,0,-3.591632948,2.059602328
KlamathFalls_Burns,-0.79939516,-2.394918361,-1.914665147,0,-2.253492148,-0.956754682
Longview_Centralia,-2.372102144,-2.684884655,-1.009003145,0,-1.448890651,3.038584542
Medford_GrantsPass,-1.028405397,0.355647751,-2.986056704,0,0.255432605,0.244647468
Ontario_Boise,-0.055954696,-1.926750943,-0.262841462,0,-0.672942127,3.677403105
Portland_Vancouver,-2.945021535,-3.142384069,-1.001114799,0,-3.175130756,3.70538028
Salem,-3.357397926,-0.152954938,-0.620649672,0,-2.348570684,-2.152550926
TheDalles,-1.288801031,-1.570104489,-2.092016136,0,-1.660811669,1.975529305
Yakima_Pendleton,-1.366909037,-0.855312311,-0.243077394,0,-1.404152371,3.922119888
Yreka_Redding,-0.203137102,-1.312157274,-2.267086439,0,-2.96347972,3.482707135
