Azone,FLRType,FLRName,BldgMSQFT
521.0,AgForest,FLR Logging,158838563.1
521.0,AgForest,FLR Agriculture,272524305.6
522.0,AgForest,FLR Agriculture,150740000.0
523.0,AgForest,FLR Agriculture,10722599.7
524.0,AgForest,FLR Logging,15345749.58
525.0,AgForest,FLR Agriculture,81332472.74
526.0,AgForest,FLR Logging,20182574.44
527.0,AgForest,FLR Logging,18900524.48
528.0,AgForest,FLR Agriculture,215328275.0
529.0,AgForest,FLR Agriculture,69007310.61
530.0,AgForest,FLR Logging,51272286.06
531.0,AgForest,FLR Agriculture,137800000.0
532.0,AgForest,FLR Logging,100964025.1
532.0,AgForest,FLR Agriculture,490685162.1
533.0,AgForest,FLR Agriculture,169414225.0
534.0,AgForest,FLR Logging,181756924.4
534.0,AgForest,FLR Agriculture,117778487.0
535.0,AgForest,FLR Logging,587293087.1
535.0,AgForest,FLR Agriculture,12179801831.0
536.0,AgForest,FLR Logging,291278424.3
536.0,AgForest,FLR Agriculture,300281575.5
537.0,AgForest,FLR Logging,13837555319.0
537.0,AgForest,FLR Agriculture,3226231569.0
538.0,AgForest,FLR Agriculture,741990000.2
539.0,AgForest,FLR Agriculture,12927337.14
540.0,AgForest,FLR Logging,28069124.23
541.0,AgForest,FLR Agriculture,42987523.81
542.0,AgForest,FLR Agriculture,38801436.43
543.0,AgForest,FLR Logging,12179474.66
544.0,AgForest,FLR Logging,12373724.66
545.0,AgForest,FLR Agriculture,15064087.08
546.0,AgForest,FLR Logging,16113037.06
547.0,AgForest,FLR Logging,52971973.52
548.0,AgForest,FLR Agriculture,146180000.0
549.0,AgForest,FLR Agriculture,9408960.0
550.0,AgForest,FLR Agriculture,32828249.09
551.0,AgForest,FLR Agriculture,155639880.0
552.0,AgForest,FLR Agriculture,67395035.65
553.0,AgForest,FLR Agriculture,93220572.42
554.0,AgForest,FLR Logging,135036000.0
582.0,AgForest,FLR Agriculture,786712.48
624.0,AgForest,FLR Agriculture,2000774.95
632.0,AgForest,FLR Logging,1029524.97
633.0,AgForest,FLR Agriculture,2942887.42
662.0,AgForest,FLR Agriculture,5924624.84
690.0,AgForest,FLR Agriculture,2525249.93
704.0,AgForest,FLR Logging,747862.48
705.0,AgForest,FLR Agriculture,48057448.69
706.0,AgForest,FLR Agriculture,6653062.32
707.0,AgForest,FLR Agriculture,87917547.58
708.0,AgForest,FLR Agriculture,68249735.6
898.0,AgForest,FLR Logging,126262.5
899.0,AgForest,FLR Logging,77700.0
901.0,AgForest,FLR Logging,1029524.97
902.0,AgForest,FLR Logging,8129362.28
904.0,AgForest,FLR Logging,446774.99
930.0,AgForest,FLR Agriculture,1135385928.0
931.0,AgForest,FLR Agriculture,75861350.19
971.0,AgForest,FLR Logging,252524.99
978.0,AgForest,FLR Logging,77700.0
979.0,AgForest,FLR Logging,271949.99
981.0,AgForest,FLR Logging,97125.0
982.0,AgForest,FLR Agriculture,37781623.96
983.0,AgForest,FLR Logging,77700.0
985.0,AgForest,FLR Logging,29137.5
986.0,AgForest,FLR Logging,427349.99
988.0,AgForest,FLR Logging,58275.0
991.0,AgForest,FLR Logging,534187.48
992.0,AgForest,FLR Agriculture,437062.49
993.0,AgForest,FLR Logging,942112.47
994.0,AgForest,FLR Logging,417637.49
995.0,AgForest,FLR Logging,369074.99
997.0,AgForest,FLR Logging,1689974.95
998.0,AgForest,FLR Logging,2505824.93
999.0,AgForest,FLR Agriculture,132821890.4
1000.0,AgForest,FLR Agriculture,5099062.36
1001.0,AgForest,FLR Logging,631312.48
1002.0,AgForest,FLR Logging,87412.5
1003.0,AgForest,FLR Logging,8556712.26
1005.0,AgForest,FLR Logging,6439387.32
1006.0,AgForest,FLR Logging,9712.5
1007.0,AgForest,FLR Logging,776999.98
1008.0,AgForest,FLR Logging,1019812.47
1009.0,AgForest,FLR Logging,77700.0
1010.0,AgForest,FLR Logging,398212.49
1011.0,AgForest,FLR Logging,1301474.96
1012.0,AgForest,FLR Logging,1398599.96
1013.0,AgForest,FLR Agriculture,4069537.39
1014.0,AgForest,FLR Logging,369074.99
1015.0,AgForest,FLR Logging,611887.48
1016.0,AgForest,FLR Agriculture,679874.98
1017.0,AgForest,FLR Logging,5419574.85
1018.0,AgForest,FLR Agriculture,5613824.84
1019.0,AgForest,FLR Logging,1204349.97
1022.0,AgForest,FLR Agriculture,1855087.45
1023.0,AgForest,FLR Agriculture,4302637.38
1024.0,AgForest,FLR Agriculture,4040399.89
1025.0,AgForest,FLR Logging,320512.49
1026.0,AgForest,FLR Agriculture,796424.98
1027.0,AgForest,FLR Logging,670162.48
1028.0,AgForest,FLR Logging,369074.99
1029.0,AgForest,FLR Logging,582749.98
1030.0,AgForest,FLR Agriculture,2836049.92
1032.0,AgForest,FLR Logging,3758737.4
1033.0,AgForest,FLR Logging,932399.97
1034.0,AgForest,FLR Logging,524474.99
1035.0,AgForest,FLR Logging,1233487.47
1036.0,AgForest,FLR Logging,6264562.33
1037.0,AgForest,FLR Logging,3710174.9
1038.0,AgForest,FLR Logging,29137.5
1039.0,AgForest,FLR Logging,291374.99
1040.0,AgForest,FLR Logging,38850.0
1041.0,AgForest,FLR Logging,116550.0
1042.0,AgForest,FLR Logging,1048949.97
1043.0,AgForest,FLR Logging,1184924.97
1045.0,AgForest,FLR Logging,145687.5
1046.0,AgForest,FLR Logging,369074.99
1048.0,AgForest,FLR Logging,155400.0
1049.0,AgForest,FLR Logging,58275.0
1050.0,AgForest,FLR Logging,9712.5
1053.0,AgForest,FLR Logging,1272337.47
1054.0,AgForest,FLR Logging,1767674.95
1055.0,AgForest,FLR Logging,650737.48
1058.0,AgForest,FLR Logging,48562.5
1059.0,AgForest,FLR Logging,796424.98
1060.0,AgForest,FLR Logging,19425.0
1061.0,AgForest,FLR Agriculture,631312.48
1062.0,AgForest,FLR Logging,67987.5
1063.0,AgForest,FLR Agriculture,427349.99
1064.0,AgForest,FLR Logging,505049.99
1067.0,AgForest,FLR Logging,155400.0
1068.0,AgForest,FLR Logging,5157337.36
1071.0,AgForest,FLR Logging,29137.5
1072.0,AgForest,FLR Logging,67987.5
1073.0,AgForest,FLR Logging,4273499.88
1075.0,AgForest,FLR Logging,19425.0
1076.0,AgForest,FLR Logging,446774.99
1079.0,AgForest,FLR Logging,407924.99
1081.0,AgForest,FLR Logging,349649.99
1082.0,AgForest,FLR Logging,2418412.43
1083.0,AgForest,FLR Logging,233099.99
1084.0,AgForest,FLR Logging,301087.49
1085.0,AgForest,FLR Logging,194250.0
1087.0,AgForest,FLR Logging,359362.49
1088.0,AgForest,FLR Logging,291374.99
1089.0,AgForest,FLR Logging,1126649.97
1092.0,AgForest,FLR Logging,407924.99
1094.0,AgForest,FLR Logging,1262624.97
1096.0,AgForest,FLR Agriculture,806137.48
1097.0,AgForest,FLR Logging,1913362.45
1098.0,AgForest,FLR Logging,339937.49
1100.0,AgForest,FLR Logging,203962.49
1101.0,AgForest,FLR Logging,495337.49
1102.0,AgForest,FLR Agriculture,4574587.37
1103.0,AgForest,FLR Agriculture,4360912.38
1104.0,AgForest,FLR Logging,7837987.28
1105.0,AgForest,FLR Logging,7760287.29
1106.0,AgForest,FLR Logging,3341099.91
1107.0,AgForest,FLR Agriculture,4312349.88
1108.0,AgForest,FLR Agriculture,44619223.78
1109.0,AgForest,FLR Logging,12694237.15
1110.0,AgForest,FLR Logging,7829805.82
1110.0,AgForest,FLR Agriculture,23959205.8
1111.0,AgForest,FLR Agriculture,4292924.88
1113.0,AgForest,FLR Agriculture,1680262.45
1114.0,AgForest,FLR Logging,6663636.41
1114.0,AgForest,FLR Agriculture,26388000.18
1115.0,AgForest,FLR Logging,4543089.562
1115.0,AgForest,FLR Agriculture,34999534.42
1116.0,AgForest,FLR Logging,4167141.17
1116.0,AgForest,FLR Agriculture,19502220.68
1117.0,AgForest,FLR Agriculture,2195024.94
1118.0,AgForest,FLR Logging,5084043.03
1118.0,AgForest,FLR Agriculture,14642043.93
1119.0,AgForest,FLR Logging,52302744.45
1119.0,AgForest,FLR Agriculture,53478687.59
1120.0,AgForest,FLR Logging,1320899.96
1121.0,AgForest,FLR Logging,1476299.96
1123.0,AgForest,FLR Logging,301087.49
1124.0,AgForest,FLR Logging,1981349.95
1125.0,AgForest,FLR Logging,58275.0
1126.0,AgForest,FLR Logging,2049337.44
1127.0,AgForest,FLR Agriculture,1845374.95
1128.0,AgForest,FLR Logging,291374.99
1129.0,AgForest,FLR Agriculture,709012.48
1130.0,AgForest,FLR Agriculture,631312.48
1131.0,AgForest,FLR Agriculture,514762.49
1132.0,AgForest,FLR Agriculture,893549.98
1134.0,AgForest,FLR Logging,1447162.46
1135.0,AgForest,FLR Logging,135975.0
1136.0,AgForest,FLR Logging,106837.5
1137.0,AgForest,FLR Logging,864412.48
1138.0,AgForest,FLR Logging,4594012.37
1139.0,AgForest,FLR Logging,378787.49
1140.0,AgForest,FLR Agriculture,709012.48
1142.0,AgForest,FLR Logging,242812.49
1143.0,AgForest,FLR Logging,728437.48
1144.0,AgForest,FLR Logging,233099.99
1145.0,AgForest,FLR Agriculture,951824.97
1146.0,AgForest,FLR Logging,29137.5
1147.0,AgForest,FLR Logging,58275.0
1150.0,AgForest,FLR Logging,19425.0
1151.0,AgForest,FLR Logging,1641412.46
1152.0,AgForest,FLR Logging,291374.99
1154.0,AgForest,FLR Logging,1893937.45
1156.0,AgForest,FLR Logging,203962.49
1157.0,AgForest,FLR Logging,573037.48
1159.0,AgForest,FLR Agriculture,1000387.47
1161.0,AgForest,FLR Agriculture,6410249.82
1162.0,AgForest,FLR Agriculture,573037.48
1163.0,AgForest,FLR Logging,3389115.22
1163.0,AgForest,FLR Agriculture,15861059.25
1164.0,AgForest,FLR Logging,13830599.62
1165.0,AgForest,FLR Logging,22882649.37
1167.0,AgForest,FLR Agriculture,3098287.41
1168.0,AgForest,FLR Agriculture,5409862.35
1169.0,AgForest,FLR Logging,6547564.47
1169.0,AgForest,FLR Agriculture,20035547.29
1170.0,AgForest,FLR Logging,7567005.42
1170.0,AgForest,FLR Agriculture,39499768.29
1171.0,AgForest,FLR Logging,8317431.59
1171.0,AgForest,FLR Agriculture,37428442.14
1172.0,AgForest,FLR Logging,4612554.42
1172.0,AgForest,FLR Agriculture,20756494.88
1173.0,AgForest,FLR Logging,20182574.44
1174.0,AgForest,FLR Agriculture,33284736.58
1175.0,AgForest,FLR Logging,398212.49
1175.0,AgForest,FLR Agriculture,1068374.97
1176.0,AgForest,FLR Logging,5322449.85
1177.0,AgForest,FLR Logging,872340000.0
1178.0,AgForest,FLR Logging,59207398.34
1179.0,AgForest,FLR Agriculture,24086999.34
1180.0,AgForest,FLR Logging,19667811.97
1180.0,AgForest,FLR Agriculture,63004985.76
1181.0,AgForest,FLR Logging,57692248.42
1182.0,AgForest,FLR Logging,208080454.3
1183.0,AgForest,FLR Agriculture,10625474.71
1184.0,AgForest,FLR Logging,24737736.82
1185.0,AgForest,FLR Logging,17501924.51
1186.0,AgForest,FLR Agriculture,7536899.79
1187.0,AgForest,FLR Agriculture,3817012.4
1188.0,AgForest,FLR Logging,4302637.38
1189.0,AgForest,FLR Agriculture,18366336.99
1190.0,AgForest,FLR Agriculture,6167437.33
1191.0,AgForest,FLR Agriculture,18249787.0
