Commodity,Number,BuyingDispersionParameter,SellingDispersionParameter,BuyingSizeCoefficient,BuyingPriceCoefficient,BuyingTransportCoefficient,SellingSizeCoefficient,SellingPriceCoefficient,SellingTransportCoefficient,InterchangeCoefficient1,InterchangeCoefficient2,InterchangeCoefficient3,InterchangeName1,InterchangeName2,InterchangeName3,ExchangeType,GOFWeighting,FloorspaceCommodity,ExpectedPrice,Units,ManualSizeTerms,Search,PayloadReferenceDistance,AnotherPayloadDistance,PayloadInterchangeName,MinimumPrice,MaximumPrice,TotalSizeTerm
SCTG24_PCC_PETR_plast,124,18.0170544,18.0170544,1,-1,5.28E-05,1,1,0,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,6081900696
SCTG25_FWP_LOGS,125,27.79563679,27.79563679,1,-1,0.000241601,1,1,0,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,1806704526
SCTG26_FWP_WOOD,126,5,5,1,-1,0.000125408,1,1,0,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,5905180884
SCTG27_PPP_PAPR_puplp,127,77.96110197,77.96110197,1,-1,0.000144006,1,1,0,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,4887484056
SCTG28_PPP_PAPR_paper,128,30.65627642,30.65627642,1,-1,0.000298769,1,1,0,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,2250072290
SCTG29_PPP_PAPR_print,129,5,5,1,-1,0.002568272,1,1,4.47E-05,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,a,1,FALSE,1,unknown,TRUE,TRUE,0,0,betapktrk1dist,-10,5,2210111986
SCTG30_OTH_CLTH,130,5,5,1,-1,0.002568272,1,1,1.35E-05,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,a,1,FALSE,1,unknown,TRUE,TRUE,0,0,betapktrk1dist,-10,5,3402826540
SCTG31_CMS_MIN,131,5,5,1,-1,0.000421876,1,1,0,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,2523837814
SCTG32_MIT_METL_base,132,8.561477954,8.561477954,1,-1,7.82E-05,1,1,0,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,7583070657
SCTG33_MIT_METL_prod,133,19.23996714,19.23996714,1,-1,4.13E-05,1,1,0,-0.811180822,-0.233620077,-1,betapktrk1time,betapktrk1dist,betapktrk1toll,p,1,FALSE,1,unknown,FALSE,TRUE,0,0,betapktrk1dist,-10,5,5113426976
