category,SU,TT,CS,DBL,TPT
agriculture,0.078,0.0086,0.0485,0.0034,0.0002
construction,0.078,0.0086,0.0485,0.0034,0.0002
households,0.0267,0.0029,0.0114,0,0
manufacturing,0.0653,0.0073,0.029,0.002,0.0001
retail,0.0683,0.0076,0.0195,0,0
services,0.0184,0.002,0.0027,0,0
utilities,0.0653,0.0073,0.029,0.002,0.0001
warehouse,0.0653,0.0073,0.029,0.002,0.0001
wholesale,0.0653,0.0073,0.029,0.002,0.0001
