ZoneNumber,ZoneName,External,xCoordinate,yCoordinate
2059,Other OR,FALSE,-123.816169,45.23485426
2063,Other OR,FALSE,-124.035018,44.9869945
2072,Other OR,FALSE,-123.948486,44.76522422
2073,Other OR,FALSE,-123.921141,44.59603348
2076,Other OR,FALSE,-124.074082,44.58937319
2092,Other OR,FALSE,-123.610166,44.60522664
2094,Other OR,FALSE,-123.975003,44.39487909
2098,Other OR,FALSE,-124.142928,44.04171573
2109,Other OR,FALSE,-124.081177,43.92644653
2111,Other OR,FALSE,-123.904531,43.71304643
2112,Other OR,FALSE,-124.183052,43.68195269
2119,Other OR,FALSE,-124.165191,43.52903242
2122,Other OR,FALSE,-124.15619,43.39972314
2123,Other OR,FALSE,-123.953054,43.38569482
2126,Other OR,FALSE,-124.247986,43.40825933
2134,Other OR,FALSE,-124.241914,43.3702466
2139,Other OR,FALSE,-124.358353,43.3234616
2148,Other OR,FALSE,-124.199036,43.27079689
2156,Other OR,FALSE,-124.18006,43.16848387
2162,Other OR,FALSE,-124.391741,43.07243467
2167,Other OR,FALSE,-123.853358,43.10264268
2169,Other OR,FALSE,-124.197291,43.02409377
2173,Other OR,FALSE,-124.213556,42.72889546
2180,Other OR,FALSE,-124.390249,42.363862
2184,Other OR,FALSE,-124.099861,42.24283438
2185,Other OR,FALSE,-124.349371,42.11994012
2186,Other OR,FALSE,-124.262085,42.09017482
2190,Other OR,FALSE,-124.270392,42.02355805
2194,Other OR,FALSE,-123.199911,46.05827902
2195,Other OR,FALSE,-123.055409,46.10461876
2198,Other OR,FALSE,-122.921221,45.99695244
2204,Other OR,FALSE,-123.20682,45.88039411
2208,Other OR,FALSE,-122.824687,45.86996804
2209,Other OR,FALSE,-122.955868,45.87689439
2216,Other OR,FALSE,-122.881125,45.81904301
2218,Other OR,FALSE,-122.87931,45.76570898
2224,Other OR,FALSE,-123.356213,45.27280169
2225,Other OR,FALSE,-123.161082,45.37010283
2227,Other OR,FALSE,-123.149957,45.27810057
2229,Other OR,FALSE,-122.914601,45.30026101
2231,Other OR,FALSE,-122.977941,45.31696432
2235,Other OR,FALSE,-122.96316,45.29837206
2238,Other OR,FALSE,-122.998624,45.28080946
2242,Other OR,FALSE,-123.412464,45.09530159
2244,Other OR,FALSE,-123.466686,45.05994085
2245,Other OR,FALSE,-123.579466,44.95301052
2247,Other OR,FALSE,-123.226852,45.17811658
2248,Other OR,FALSE,-123.246799,45.23323278
2249,Other OR,FALSE,-123.150145,45.21745839
2254,Other OR,FALSE,-123.19493,45.21712424
2268,Other OR,FALSE,-123.188126,45.11774355
2271,Other OR,FALSE,-123.048813,45.32734057
2274,Other OR,FALSE,-123.069925,45.21160823
2278,Other OR,FALSE,-122.970251,45.19749959
2280,Other OR,FALSE,-122.825522,45.22936125
2283,Other OR,FALSE,-122.840391,45.18309828
2286,Other OR,FALSE,-122.85607,45.15774626
2287,Other OR,FALSE,-122.884687,45.12101114
2288,Other OR,FALSE,-122.865256,45.13952251
2300,Other OR,FALSE,-123.393534,44.88298285
2301,Other OR,FALSE,-123.295814,45.0082411
2304,Other OR,FALSE,-123.317901,44.91935734
2305,Other OR,FALSE,-123.262596,44.92568873
2311,Other OR,FALSE,-122.780825,45.07508045
2315,Other OR,FALSE,-122.880507,44.99318371
2317,Other OR,FALSE,-122.608852,44.92677524
2319,Other OR,FALSE,-122.780417,45.00486683
2324,Other OR,FALSE,-122.790029,44.9371483
2326,Other OR,FALSE,-123.217733,44.84493108
2330,Other OR,FALSE,-123.239328,44.78610842
2333,Other OR,FALSE,-123.220111,44.87532012
2334,Other OR,FALSE,-122.917372,44.78730242
2337,Other OR,FALSE,-123.036592,44.767141
2342,Other OR,FALSE,-122.634957,44.81216428
2343,Other OR,FALSE,-122.823094,44.83569289
2344,Other OR,FALSE,-122.818997,44.79191618
2353,Other OR,FALSE,-122.091096,44.79832458
2355,Other OR,FALSE,-122.403986,44.69455923
2362,Other OR,FALSE,-123.181026,44.67663121
2366,Other OR,FALSE,-123.306503,44.47747415
2367,Other OR,FALSE,-123.539199,44.38955346
2370,Other OR,FALSE,-123.26823,44.61711607
2374,Other OR,FALSE,-123.348699,44.57709561
2376,Other OR,FALSE,-123.271959,44.57501926
2383,Other OR,FALSE,-123.208863,44.57782948
2412,Other OR,FALSE,-123.059186,44.68098514
2420,Other OR,FALSE,-123.083732,44.55058075
2426,Other OR,FALSE,-123.143896,44.61003628
2431,Other OR,FALSE,-123.080627,44.63098092
2455,Other OR,FALSE,-122.765698,44.75033781
2456,Other OR,FALSE,-122.865985,44.64344236
2461,Other OR,FALSE,-122.941326,44.57096724
