Activity,ActivityType,LocationDispersionParameter,SizeTermCoefficient,ProductionSubstitutionNesting,InertiaTermCoefficient,InertiaTermConstant,ImporterExporter,Units,FSC Unconstrained,ConstInExchangeSize
HH0to8k3plus,Households,8.20E-04,1,8.20E-04,0,1,Neither,Households,FALSE,TRUE
HH8to15k1to2,Households,6.30E-04,1,6.30E-04,0,1,Neither,Households,FALSE,TRUE
HH8to15k3plus,Households,5.25E-04,1,5.25E-04,0,1,Neither,Households,FALSE,TRUE
HH15to23k1to2,Households,4.31E-04,1,4.31E-04,0,1,Neither,Households,FALSE,TRUE
HH15to23k3plus,Households,4.05E-04,1,4.05E-04,0,1,Neither,Households,FALSE,TRUE
HH23to32k1to2,Households,3.80E-04,1,3.80E-04,0,1,Neither,Households,FALSE,TRUE
HH23to32k3plus,Households,3.35E-04,1,3.35E-04,0,1,Neither,Households,FALSE,TRUE
HH32to46k1to2,Households,3.10E-04,1,3.10E-04,0,1,Neither,Households,FALSE,TRUE
HH32to46k3plus,Households,3.00E-04,1,3.00E-04,0,1,Neither,Households,FALSE,TRUE
HH46to61k1to2,Households,2.80E-04,1,2.80E-04,0,1,Neither,Households,FALSE,TRUE
HH46to61k3plus,Households,2.65E-04,1,2.65E-04,0,1,Neither,Households,FALSE,TRUE
HH61to76k1to2,Households,2.50E-04,1,2.50E-04,0,1,Neither,Households,FALSE,TRUE
HH61to76k3plus,Households,2.40E-04,1,2.40E-04,0,1,Neither,Households,FALSE,TRUE
HH76to106k1to2,Households,2.35E-04,1,2.35E-04,0,1,Neither,Households,FALSE,TRUE
HH76to106k3plus,Households,2.25E-04,1,2.25E-04,0,1,Neither,Households,FALSE,TRUE
HH106kUp1to2,Households,1.00E-04,1,1.00E-04,0,1,Neither,Households,FALSE,TRUE
HH106kUp3plus,Households,1.00E-04,1,1.00E-04,0,1,Neither,Households,FALSE,TRUE
sctg01_fkp_lvsk_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg02_fkp_agri_cereal_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg03_fkp_agri_other_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg04_fkp_feed_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg05_fkp_food_meat_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg06_fkp_agri_grain_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg07_fkp_food_prep_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg08_fkp_food_alc_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg10_cms_clay_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg11_cms_sand_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg13_cms_mine_nonmet_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg14_cms_mine_met_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg15_pcc_coal_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg16_pcc_petr_crude_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg17_pcc_fuel_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg18_pcc_petr_oil_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg19_pcc_coal_prod_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg20_pcc_chem_basic_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg21_pcc_chem_pharma_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg22_pcc_chem_fert_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg23_pcc_chem_prod_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg24_pcc_petr_plast_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg25_fwp_logs_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg26_fwp_wood_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg27_ppp_papr_puplp_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg28_ppp_papr_paper_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg29_ppp_papr_print_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg30_oth_clth_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg31_cms_min_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg32_mit_metl_base_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg33_mit_metl_prod_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg34_mit_mach_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg35_mit_elct_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg36_mit_tran_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg37_mit_inst_transp_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg38_mit_inst_prec_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg39_oth_furn_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg40_oth_misc_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg41_waste_scrap_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
energy_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
retail_trade_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
transport_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
wholesale_trade_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
construction_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
communications_and_utilities_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
accommodations_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
personal_and_other_services_and_amusements_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
entertainment_services_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
food_services_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
higher_education_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
health_services_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
fire_business_and_professional_services_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
government_administration_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
education_reports_to_sponsors_impt,Importers,1,1,1,0,1,Importer,Dollars of activity production/consumption,FALSE,TRUE
sctg01_fkp_lvsk_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg02_fkp_agri_cereal_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg03_fkp_agri_other_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg04_fkp_feed_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg05_fkp_food_meat_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg06_fkp_agri_grain_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg07_fkp_food_prep_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg08_fkp_food_alc_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg10_cms_clay_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
sctg11_cms_sand_expt,Exporters,1,1,1,0,1,Exporter,Dollars of activity production/consumption,FALSE,TRUE
