pums_industry_code,pums_occ_code,split_industry_id,split_industry,proportion
170,10,3,RES_offc_off,1.0
170,20,3,RES_offc_off,1.0
170,50,3,RES_offc_off,1.0
170,120,3,RES_offc_off,1.0
170,135,3,RES_offc_off,1.0
170,136,3,RES_offc_off,1.0
170,140,3,RES_offc_off,1.0
170,160,3,RES_offc_off,1.0
170,205,3,RES_offc_off,1.0
170,430,3,RES_offc_off,1.0
170,530,3,RES_offc_off,1.0
170,600,3,RES_offc_off,1.0
170,630,3,RES_offc_off,1.0
170,725,3,RES_offc_off,1.0
170,800,3,RES_offc_off,1.0
170,850,3,RES_offc_off,1.0
170,1107,3,RES_offc_off,1.0
170,1600,3,RES_offc_off,1.0
170,1760,3,RES_offc_off,1.0
170,1900,3,RES_offc_off,1.0
170,1920,3,RES_offc_off,1.0
170,2630,3,RES_offc_off,1.0
170,3930,1,RES_agmin_ag,1.0
170,4020,3,RES_offc_off,1.0
170,4030,3,RES_offc_off,1.0
170,4210,1,RES_agmin_ag,1.0
170,4220,1,RES_agmin_ag,1.0
170,4230,1,RES_agmin_ag,1.0
170,4250,1,RES_agmin_ag,1.0
170,4600,3,RES_offc_off,1.0
170,4610,3,RES_offc_off,1.0
170,4700,3,RES_offc_off,1.0
170,4720,3,RES_offc_off,1.0
170,4840,3,RES_offc_off,1.0
170,4850,3,RES_offc_off,1.0
170,4965,3,RES_offc_off,1.0
170,5000,3,RES_offc_off,1.0
170,5120,3,RES_offc_off,1.0
170,5165,3,RES_offc_off,1.0
170,5240,3,RES_offc_off,1.0
170,5350,3,RES_offc_off,1.0
170,5610,3,RES_offc_off,1.0
170,5620,3,RES_offc_off,1.0
170,5630,3,RES_offc_off,1.0
170,5700,3,RES_offc_off,1.0
170,5810,3,RES_offc_off,1.0
170,5820,3,RES_offc_off,1.0
170,5860,3,RES_offc_off,1.0
170,6005,1,RES_agmin_ag,1.0
170,6010,1,RES_agmin_ag,1.0
170,6040,1,RES_agmin_ag,1.0
170,6050,1,RES_agmin_ag,1.0
170,6100,1,RES_agmin_ag,1.0
170,6120,1,RES_agmin_ag,1.0
170,6130,1,RES_agmin_ag,1.0
170,6230,1,RES_agmin_ag,1.0
170,6260,1,RES_agmin_ag,1.0
170,6355,1,RES_agmin_ag,1.0
170,7200,1,RES_agmin_ag,1.0
170,7210,1,RES_agmin_ag,1.0
170,7220,1,RES_agmin_ag,1.0
170,7315,1,RES_agmin_ag,1.0
170,7330,1,RES_agmin_ag,1.0
170,7340,1,RES_agmin_ag,1.0
170,7360,1,RES_agmin_ag,1.0
170,7700,1,RES_agmin_ag,1.0
170,7840,1,RES_agmin_ag,1.0
170,8030,1,RES_agmin_ag,1.0
170,8140,1,RES_agmin_ag,1.0
170,8320,1,RES_agmin_ag,1.0
170,8640,1,RES_agmin_ag,1.0
170,8650,1,RES_agmin_ag,1.0
170,8800,1,RES_agmin_ag,1.0
170,8965,1,RES_agmin_ag,1.0
170,9130,1,RES_agmin_ag,1.0
170,9140,1,RES_agmin_ag,1.0
170,9560,1,RES_agmin_ag,1.0
170,9600,1,RES_agmin_ag,1.0
170,9610,1,RES_agmin_ag,1.0
170,9620,1,RES_agmin_ag,1.0
170,9640,1,RES_agmin_ag,1.0
170,9720,1,RES_agmin_ag,1.0
180,10,3,RES_offc_off,1.0
180,20,3,RES_offc_off,1.0
180,100,3,RES_offc_off,1.0
180,205,3,RES_offc_off,1.0
180,430,3,RES_offc_off,1.0
180,800,3,RES_offc_off,1.0
180,1610,3,RES_offc_off,1.0
180,1900,3,RES_offc_off,1.0
180,1910,3,RES_offc_off,1.0
