year,activity,employment,output
2011,WHSL_whsl_ware,85484,21152973905
2012,CNST_main_xxx,21135,3361807056
2012,CNST_nres_xxx,37796,5491100756
2012,CNST_offc_off,66938,0
2012,CNST_othr_xxx,46009,7326270864
2012,CNST_res_xxx,25386,7209679289
2012,ENGY_elec_hi,5093,9540366294
2012,ENGY_ngas_hi,882,4025545145
2012,ENGY_offc_off,24745,0
2012,ENGY_ptrl_hi,8805,5079257400
2012,ENT_ent_ret,82066,3778899975
2012,FIRE_fnin_off,149015,32468910298
2012,FIRE_real_off,136866,15805391654
2012,GOV_admn_gov,100750,19904659460
2012,GOV_offc_off,160745,0
2012,HIED_hied_off_inst,81549,4624228416
2012,HLTH_care_inst,72531,4123177578
2012,HLTH_hosp_hosp,94266,13169835573
2012,HLTH_othr_off_li,160568,19435504588
2012,HOSP_acc_acc,36986,3748883776
2012,HOSP_eat_ret_acc,226830,13139690442
2012,INFO_info_off,46774,0
2012,INFO_info_off_li,9555,15671705122
2012,K12_k12_k12,163047,12188717185
2012,K12_k12_off,55726,0
2012,MFG_food_hi,15606,12091010195
2012,MFG_food_li,15736,12091010195
2012,MFG_htec_hi,3819,14850910316
2012,MFG_htec_li,3504,14850910316
2012,MFG_hvtw_hi,23470,16253758005
2012,MFG_hvtw_li,23672,16253758005
2012,MFG_lvtw_hi,12006,14571397601
2012,MFG_offc_off,152003,0
2012,MFG_wdppr_hi,26060,11115498128
2012,RES_agmin_ag,103177,19224477874
2012,RES_forst_log,8983,2792537385
2012,RES_offc_off,65656,0
2012,RET_auto_ret,100816,8080343663
2012,RET_nstor_off,46991,2473244306
2012,RET_stor_off,57782,0
2012,RET_stor_ret,232847,18152724958
2012,SERV_bus_off,190340,15143537440
2012,SERV_home_xxx,55758,476071640
2012,SERV_nonp_off_inst,138133,9773899312
2012,SERV_site_li,70944,6068884084
2012,SERV_stor_ret,82983,5375612511
2012,SERV_tech_off,232558,24749919600
2012,TRNS_trns_off,47220,0
2012,TRNS_trns_ware,69389,15506384283
2012,UTL_othr_off,15228,0
2012,UTL_othr_off_li,18360,8899437104
2012,WHSL_offc_off,28195,0
2012,WHSL_whsl_ware,87734,21700243639
2013,CNST_main_xxx,22430,3567524949
2013,CNST_nres_xxx,40109,5658815958
2013,CNST_offc_off,71034,0
2013,CNST_othr_xxx,48819,7549257971
2013,CNST_res_xxx,26941,8033788685
2013,ENGY_elec_hi,5103,9975489572
2013,ENGY_ngas_hi,897,4280213321
2013,ENGY_offc_off,25190,0
2013,ENGY_ptrl_hi,9024,5256153444
2013,ENT_ent_ret,83539,3937570785
2013,FIRE_fnin_off,151608,33719605964
2013,FIRE_real_off,140575,16273133452
2013,GOV_admn_gov,100345,20131807222
2013,GOV_offc_off,160099,0
2013,HIED_hied_off_inst,81486,4776352636
2013,HLTH_care_inst,74231,4259507386
2013,HLTH_hosp_hosp,96419,13597287750
2013,HLTH_othr_off_li,164189,20063085078
2013,HOSP_acc_acc,37702,3866644537
2013,HOSP_eat_ret_acc,231876,13592684784
2013,INFO_info_off,47776,0
2013,INFO_info_off_li,9760,16190833716
2013,K12_k12_k12,163313,12616782588
2013,K12_k12_off,55816,0
2013,MFG_food_hi,15701,12296859376
2013,MFG_food_li,15832,12296859376
2013,MFG_htec_hi,3929,16051740615
2013,MFG_htec_li,3606,16051740615
2013,MFG_hvtw_hi,24057,17101269311
2013,MFG_hvtw_li,24263,17101269311
2013,MFG_lvtw_hi,12247,15003029017
2013,MFG_offc_off,156425,0
2013,MFG_wdppr_hi,28562,11398246948
2013,RES_agmin_ag,103925,19925410723
2013,RES_forst_log,9444,2680754907
2013,RES_offc_off,66340,0
2013,RET_auto_ret,102790,8313749478
2013,RET_nstor_off,47951,2536872464
2013,RET_stor_off,58913,0
2013,RET_stor_ret,237406,18648748953
2013,SERV_bus_off,197691,15689982546
2013,SERV_home_xxx,56554,493115639
2013,SERV_nonp_off_inst,140850,10132713009
2013,SERV_site_li,73611,6199269546
2013,SERV_stor_ret,84589,5556155525
2013,SERV_tech_off,239817,25406092208
2013,TRNS_trns_off,48891,0
2013,TRNS_trns_ware,71844,15968018443
2013,UTL_othr_off,15529,0
2013,UTL_othr_off_li,18723,9098845843
2013,WHSL_offc_off,28954,0
2013,WHSL_whsl_ware,90096,22453769788
2014,CNST_main_xxx,24519,3886226864
2014,CNST_nres_xxx,43844,6133275285
2014,CNST_offc_off,77648,0
2014,CNST_othr_xxx,53363,8181848774
2014,CNST_res_xxx,29450,8822008729
2014,ENGY_elec_hi,5078,10411644160
2014,ENGY_ngas_hi,902,4520141610
2014,ENGY_offc_off,25522,0
2014,ENGY_ptrl_hi,9217,5460112834
2014,ENT_ent_ret,84040,4147391795
2014,FIRE_fnin_off,152447,34807111865
2014,FIRE_real_off,142243,16691033420
2014,GOV_admn_gov,100325,20492540888
2014,GOV_offc_off,160067,0
2014,HIED_hied_off_inst,81381,4965328230
