year,age_group,population
2028,35,573513
2028,40,577885
2028,45,542828
2028,50,492750
2028,55,464680
2028,60,476075
2028,65,379045
2028,70,396798
2028,75,361288
2028,80,258210
2028,85,177456
2029,0,537798
2029,5,540618
2029,10,550361
2029,15,532281
2029,20,524431
2029,25,501048
2029,30,539704
2029,35,578671
2029,40,581474
2029,45,555169
2029,50,499766
2029,55,469843
2029,60,475518
2029,65,377978
2029,70,399165
2029,75,372991
2029,80,276340
2029,85,185720
2030,0,541374
2030,5,543997
2030,10,555523
2030,15,538907
2030,20,532199
2030,25,504077
2030,30,537490
2030,35,583875
2030,40,585086
2030,45,567790
2030,50,506882
2030,55,475063
2030,60,474961
2030,65,376914
2030,70,401546
2030,75,385073
2030,80,295743
2030,85,194368
2031,0,546047
2031,5,547620
2031,10,558999
2031,15,543971
2031,20,538839
2031,25,511559
2031,30,540757
2031,35,581507
2031,40,590390
2031,45,571374
2031,50,518486
2031,55,481938
2031,60,480415
2031,65,376686
2031,70,400769
2031,75,387950
2031,80,306038
2031,85,206856
2032,0,550760
2032,5,551267
2032,10,562497
2032,15,549082
2032,20,545562
2032,25,519152
2032,30,544043
2032,35,579149
2032,40,595742
2032,45,574980
2032,50,530356
2032,55,488912
2032,60,485931
2032,65,376458
2032,70,399994
2032,75,390849
2032,80,316692
2032,85,220146
2033,0,555514
2033,5,554938
2033,10,566017
2033,15,554241
2033,20,552369
2033,25,526857
2033,30,547349
2033,35,576800
2033,40,601143
2033,45,578609
2033,50,542497
2033,55,495987
2033,60,491510
2033,65,376230
2033,70,399220
2033,75,393769
2033,80,327716
2033,85,234290
2034,0,560309
2034,5,558633
2034,10,569559
2034,15,559449
2034,20,559261
2034,25,534677
2034,30,550676
2034,35,574461
2034,40,606593
2034,45,582261
2034,50,554916
2034,55,503164
2034,60,497154
2034,65,376002
2034,70,398448
2034,75,396711
2034,80,339124
2034,85,249342
2035,0,565146
2035,5,562353
2035,10,573123
2035,15,564706
2035,20,566239
2035,25,542613
2035,30,554023
2035,35,572131
2035,40,612092
2035,45,585936
2035,50,567620
2035,55,510445
2035,60,502862
2035,65,375774
2035,70,397677
2035,75,399675
2035,80,350929
2035,85,265361
2036,0,571066
2036,5,567212
2036,10,576943
2036,15,568248
2036,20,571574
2036,25,549399
2036,30,562264
2036,35,575633
2036,40,609650
2036,45,591304
2036,50,571282
2036,55,522240
2036,60,510317
2036,65,380300
2036,70,397758
2036,75,399405
2036,80,354313
2036,85,279701
2037,0,577048
2037,5,572113
2037,10,580788
2037,15,571812
2037,20,576959
2037,25,556270
2037,30,570628
2037,35,579156
2037,40,607218
2037,45,596721
2037,50,574967
2037,55,534307
2037,60,517883
2037,65,384880
2037,70,397839
2037,75,399135
2037,80,357730
2037,85,294816
2038,0,583093
2038,5,577057
2038,10,584659
2038,15,575399
2038,20,582395
2038,25,563226
2038,30,579116
2038,35,582701
2038,40,604795
2038,45,602188
2038,50,578676
2038,55,546653
2038,60,525561
2038,65,389515
2038,70,397920
2038,75,398865
2038,80,361180
2038,85,310747
2039,0,589201
2039,5,582043
2039,10,588555
2039,15,579008
2039,20,587882
2039,25,570269
2039,30,587731
2039,35,586268
2039,40,602382
2039,45,607705
2039,50,582409
2039,55,559284
2039,60,533353
2039,65,394206
2039,70,398001
2039,75,398596
2039,80,364663
2039,85,327539
2040,0,595373
2040,5,587072
2040,10,592477
2040,15,582640
2040,20,593421
2040,25,577401
2040,30,596474
2040,35,589856
2040,40,599979
2040,45,613273
2040,50,586166
2040,55,572207
2040,60,541260
2040,65,398954
2040,70,398082
2040,75,398327
2040,80,368180
2040,85,345239
2041,0,601357
2041,5,593222
2041,10,597597
2041,15,586523
2041,20,597143
2041,25,582841
2041,30,603933
2041,35,598630
2041,40,603651
2041,45,610826
2041,50,591536
2041,55,575898
2041,60,553767
2041,65,404869
2041,70,402876
2041,75,398408
2041,80,367931
2041,85,348569
2042,0,607401
2042,5,599436
2042,10,602761
2042,15,590432
2042,20,600889
2042,25,588332
2042,30,611486
2042,35,607535
2042,40,607346
2042,45,608389
2042,50,596956
2042,55,579613
2042,60,566563
2042,65,410871
2042,70,407728
2042,75,398489
2042,80,367682
2042,85,351931
2043,0,613505
2043,5,605716
2043,10,607969
2043,15,594367
2043,20,604658
2043,25,593875
2043,30,619133
2043,35,616572
2043,40,611063
2043,45,605962
2043,50,602425
2043,55,583352
2043,60,579654
2043,65,416962
2043,70,412638
2043,75,398570
2043,80,367434
2043,85,355325
2044,0,619671
2044,5,612061
2044,10,613222
2044,15,598328
2044,20,608451
2044,25,599470
2044,30,626876
2044,35,625744
2044,40,614803
2044,45,603544
2044,50,607944
2044,55,587115
2044,60,593048
2044,65,423144
2044,70,417608
2044,75,398651
2044,80,367186
2044,85,358752
2045,0,625899
2045,5,618473
2045,10,618521
2045,15,602316
2045,20,612268
2045,25,605118
2045,30,634715
2045,35,635052
2045,40,618566
2045,45,601136
2045,50,613514
2045,55,590903
2045,60,606751
2045,65,429417
2045,70,422637
2045,75,398732
2045,80,366938
2045,85,362212
2046,0,632189
2046,5,624689
2046,10,625000
2046,15,607521
2046,20,616348
2046,25,608914
2046,30,640695
2046,35,642994
2046,40,627767
2046,45,604815
2046,50,611066
2046,55,596317
2046,60,610665
2046,65,439339
2046,70,428903
2046,75,403534
2046,80,367012
2046,85,361967
2047,0,638543
2047,5,630967
2047,10,631547
2047,15,612771
2047,20,620456
2047,25,612733
2047,30,646732
2047,35,651035
2047,40,637105
2047,45,608517
2047,50,608628
2047,55,601780
2047,60,614604
2047,65,449491
2047,70,435262
2047,75,408394
2047,80,367086
2047,85,361722
2048,0,644960
2048,5,637308
2048,10,638163
2048,15,618066
2048,20,624591
2048,25,616576
2048,30,652825
2048,35,659177
2048,40,646582
2048,45,612242
2048,50,606200
2048,55,607293
2048,60,618569
2048,65,459877
2048,70,441715
2048,75,413312
2048,80,367160
2048,85,361478
2049,0,651442
2049,5,643713
2049,10,644848
2049,15,623407
2049,20,628754
2049,25,620444
2049,30,658976
2049,35,667420
2049,40,656200
2049,45,615989
2049,50,603781
2049,55,612857
2049,60,622559
2049,65,470503
2049,70,448263
2049,75,418290
2049,80,367234
2049,85,361234
2050,0,657989
2050,5,650182
2050,10,651603
2050,15,628794
2050,20,632944
2050,25,624336
2050,30,665185
2050,35,675766
2050,40,665961
2050,45,619759
2050,50,601372
2050,55,618472
2050,60,626575
2050,65,481375
2050,70,454909
2050,75,423328
2050,80,367308
2050,85,360990
