year,trade_activity,dollars
2010,sctg01_fkp_lvsk_expt,414038572
2010,sctg01_fkp_lvsk_impt,269324321
2010,sctg02_fkp_agri_cereal_expt,500497233
2010,sctg02_fkp_agri_cereal_impt,615569840
2010,sctg03_fkp_agri_other_expt,6840442907
2010,sctg03_fkp_agri_other_impt,1128488910
2010,sctg04_fkp_feed_expt,163046077
2010,sctg04_fkp_feed_impt,779104659
2010,sctg05_fkp_food_meat_expt,2120851118
2010,sctg05_fkp_food_meat_impt,2985095451
2010,sctg06_fkp_agri_grain_expt,802159411
2010,sctg06_fkp_agri_grain_impt,874328879
2010,sctg07_fkp_food_prep_expt,9809610279
2010,sctg07_fkp_food_prep_impt,5449112754
2010,sctg08_fkp_food_alc_expt,1220529588
2010,sctg08_fkp_food_alc_impt,1453242269
2010,sctg10_cms_clay_expt,99585026
2010,sctg10_cms_clay_impt,66360619
2010,sctg11_cms_sand_expt,170094218
2010,sctg11_cms_sand_impt,16690560
2010,sctg13_cms_mine_nonmet_expt,35383299
2010,sctg13_cms_mine_nonmet_impt,145356989
2010,sctg14_cms_mine_met_expt,1406270743
2010,sctg14_cms_mine_met_impt,526896036
2010,sctg15_pcc_coal_expt,36379381
2010,sctg15_pcc_coal_impt,737439351
2010,sctg16_pcc_petr_crude_expt,250922057
2010,sctg16_pcc_petr_crude_impt,1620653179
2010,sctg17_pcc_fuel_expt,22311649
2010,sctg17_pcc_fuel_impt,5686202370
2010,sctg18_pcc_petr_oil_expt,11155824
2010,sctg18_pcc_petr_oil_impt,2843101185
2010,sctg19_pcc_coal_prod_expt,204333289
2010,sctg19_pcc_coal_prod_impt,4093294817
2010,sctg20_pcc_chem_basic_expt,1139704302
2010,sctg20_pcc_chem_basic_impt,1916097676
2010,sctg21_pcc_chem_pharma_expt,748616807
2010,sctg21_pcc_chem_pharma_impt,6314013038
2010,sctg22_pcc_chem_fert_expt,182295000
2010,sctg22_pcc_chem_fert_impt,402521437
2010,sctg23_pcc_chem_prod_expt,1003510375
2010,sctg23_pcc_chem_prod_impt,3333291008
2010,sctg24_pcc_petr_plast_expt,2068672744
2010,sctg24_pcc_petr_plast_impt,4401569791
2010,sctg25_fwp_logs_expt,1134937004
2010,sctg25_fwp_logs_impt,331793153
2010,sctg26_fwp_wood_expt,4368791260
2010,sctg26_fwp_wood_impt,605595288
2010,sctg27_ppp_papr_puplp_expt,4497104445
2010,sctg27_ppp_papr_puplp_impt,848257940
2010,sctg28_ppp_papr_paper_expt,769375242
2010,sctg28_ppp_papr_paper_impt,1265032499
2010,sctg29_ppp_papr_print_expt,919410427
2010,sctg29_ppp_papr_print_impt,1724221712
2010,sctg30_oth_clth_expt,522849432
2010,sctg30_oth_clth_impt,3539160062
2010,sctg31_cms_min_expt,855407584
2010,sctg31_cms_min_impt,1291832692
2010,sctg32_mit_metl_base_expt,3091288654
2010,sctg32_mit_metl_base_impt,3573179267
2010,sctg33_mit_metl_prod_expt,2453996592
2010,sctg33_mit_metl_prod_impt,2622411318
2010,sctg34_mit_mach_expt,4450446272
2010,sctg34_mit_mach_impt,7279112891
2010,sctg35_mit_elct_expt,22493024059
2010,sctg35_mit_elct_impt,11428217702
2010,sctg36_mit_tran_expt,3294213538
2010,sctg36_mit_tran_impt,7086498193
2010,sctg37_mit_inst_transp_expt,2673505302
2010,sctg37_mit_inst_transp_impt,2179334155
2010,sctg38_mit_inst_prec_expt,2240442124
2010,sctg38_mit_inst_prec_impt,3185363645
2010,sctg39_oth_furn_expt,1099863360
2010,sctg39_oth_furn_impt,1791419348
2010,sctg40_oth_misc_expt,1816679675
2010,sctg40_oth_misc_impt,4823043472
2010,sctg41_waste_scrap_expt,520413923
2010,sctg41_waste_scrap_impt,476718643
2010,transport_expt,3203752134
2010,transport_impt,3135223503
2010,wholesale trade_expt,3206498042
2010,wholesale trade_impt,2054033419
2011,accommodations_expt,3365523083
2011,accommodations_impt,2604559381
2011,communications and utilities_expt,5824042719
2011,communications and utilities_impt,8098948315
2011,construction_expt,8865925909
2011,construction_impt,12913607430
2011,education reports to sponsors_expt,108905476
2011,education reports to sponsors_impt,38441289
2011,energy_expt,3319134430
2011,energy_impt,1185656390
2011,entertainment services_expt,420218963
2011,entertainment services_impt,1119541545
2011,fire business and professional services_expt,8518509036
2011,fire business and professional services_impt,30280075858
2011,food services_expt,741889919
2011,food services_impt,342826817
