taz,commodity,quantity
12,FLR Hospital,179470.58
12,FLR Institutional,7865.12
12,FLR Light Industry,78
12,FLR Office,5981008.98
12,FLR Retail,105190.46
12,FLR Warehouse,164
12,FLR Agriculture,100
12,FLR Logging,100
13,FLR MH,5447
13,FLR MF,159483.9
13,FLR AT,6674
13,FLR SFD,1548
13,FLR RRMH,10000
13,FLR RRSFD,18060.7
13,FLR Accommodation,108905.74
13,FLR Government Support,99.99
13,FLR K12,704839.84
13,FLR Heavy Industry,112
13,FLR Hospital,121
13,FLR Institutional,1918.07
13,FLR Light Industry,78
13,FLR Office,1672720.94
13,FLR Retail,42631.76
13,FLR Warehouse,164
13,FLR Agriculture,100
13,FLR Logging,100
14,FLR MH,5447
14,FLR MF,266856.5
14,FLR AT,457368.1
14,FLR SFD,1548
14,FLR RRMH,10000
14,FLR RRSFD,18060.7
14,FLR Accommodation,120351.37
14,FLR Government Support,428.82
14,FLR K12,7710.41
14,FLR Heavy Industry,112
14,FLR Hospital,513.81
14,FLR Institutional,1563.38
14,FLR Light Industry,78
14,FLR Office,225387.12
14,FLR Retail,14817.4
14,FLR Warehouse,164
14,FLR Agriculture,100
14,FLR Logging,100
15,FLR MH,5447
15,FLR MF,751892.5
15,FLR AT,1043545.5
15,FLR SFD,1548
15,FLR RRMH,10000
15,FLR RRSFD,18060.7
15,FLR Accommodation,46211.76
15,FLR Government Support,428.81
15,FLR K12,78446.68
15,FLR Heavy Industry,112
15,FLR Hospital,615194.34
15,FLR Institutional,7306.07
15,FLR Light Industry,78
15,FLR Office,3764905.58
15,FLR Retail,113841.4
15,FLR Warehouse,164
15,FLR Agriculture,100
15,FLR Logging,100
16,FLR MH,5447
16,FLR MF,577514.3
16,FLR AT,6674
16,FLR SFD,1548
16,FLR RRMH,10000
16,FLR RRSFD,18060.7
16,FLR Accommodation,46526.2
16,FLR Government Support,14508.64
16,FLR K12,7710.58
16,FLR Heavy Industry,112
16,FLR Hospital,513.82
16,FLR Institutional,19098.19
16,FLR Light Industry,78
16,FLR Office,326243.24
16,FLR Retail,62054.09
16,FLR Warehouse,164
16,FLR Agriculture,100
16,FLR Logging,100
17,FLR MH,37902.2
17,FLR MF,745305.1
17,FLR AT,499165
17,FLR SFD,1451755.4
17,FLR RRMH,16791
17,FLR RRSFD,213383.6
17,FLR Accommodation,89391.2
17,FLR Government Support,342.02
17,FLR K12,584458.94
17,FLR Heavy Industry,162018.86
17,FLR Hospital,495.22
17,FLR Institutional,9400.74
17,FLR Light Industry,117062.24
17,FLR Office,2408210.28
17,FLR Retail,628725.43
17,FLR Warehouse,4728834.1
17,FLR Agriculture,100
17,FLR Logging,100
18,FLR MH,3521
18,FLR MF,482703.7
18,FLR AT,545057.3
18,FLR SFD,2867521.4
18,FLR RRMH,16791
18,FLR RRSFD,213383.6
18,FLR Accommodation,40949.84
18,FLR Government Support,329.14
18,FLR K12,23255.89
18,FLR Heavy Industry,356297.75
18,FLR Hospital,475.12
18,FLR Institutional,2225.07
18,FLR Light Industry,57089.86
18,FLR Office,1143884.35
18,FLR Retail,185866.14
18,FLR Warehouse,18746.96
18,FLR Agriculture,100
18,FLR Logging,100
19,FLR MH,2087
19,FLR MF,957
19,FLR AT,9466.9
19,FLR SFD,15722.5
19,FLR RRMH,6208
19,FLR RRSFD,779634
19,FLR Accommodation,103
19,FLR Government Support,109.99
19,FLR K12,2547.97
19,FLR Heavy Industry,577430.4
19,FLR Hospital,100
19,FLR Institutional,6620.38
19,FLR Light Industry,506244.77
19,FLR Office,1485019.05
19,FLR Retail,143226.77
19,FLR Warehouse,10189653
19,FLR Agriculture,100
19,FLR Logging,100
20,FLR MH,78
20,FLR MF,443
20,FLR AT,4386
20,FLR SFD,3207.9
20,FLR RRMH,2876
20,FLR RRSFD,362435.2
20,FLR Accommodation,103
20,FLR Government Support,109.99
20,FLR K12,169
20,FLR Heavy Industry,100
20,FLR Hospital,100
20,FLR Institutional,102
20,FLR Light Industry,100
20,FLR Office,126
20,FLR Retail,101
20,FLR Warehouse,101
20,FLR Agriculture,100
20,FLR Logging,48563
21,FLR MH,245
21,FLR MF,1382
21,FLR AT,13670.9
21,FLR SFD,36352.5
21,FLR RRMH,8966
21,FLR RRSFD,1123805.8
21,FLR Accommodation,1709.01
21,FLR Government Support,109.99
21,FLR K12,169
21,FLR Heavy Industry,100
21,FLR Hospital,100
21,FLR Institutional,102
21,FLR Light Industry,167
21,FLR Office,29663.83
21,FLR Retail,5071.75
21,FLR Warehouse,101
21,FLR Agriculture,100
21,FLR Logging,100
22,FLR MH,88
22,FLR MF,495
22,FLR AT,4894
22,FLR SFD,10140.7
22,FLR RRMH,3210
22,FLR RRSFD,404240.3
22,FLR Accommodation,103
22,FLR Government Support,109.99
22,FLR K12,169
22,FLR Heavy Industry,100
22,FLR Hospital,100
22,FLR Institutional,102
22,FLR Light Industry,226.99
22,FLR Office,126
22,FLR Retail,101
22,FLR Warehouse,101
22,FLR Agriculture,100
22,FLR Logging,100
23,FLR MH,2267.9
23,FLR MF,6204.3
23,FLR AT,15920.7
23,FLR SFD,457703.4
23,FLR RRMH,10752.7
23,FLR RRSFD,1197795.9
23,FLR Accommodation,7663.39
23,FLR Government Support,373.94
23,FLR K12,70265.96
23,FLR Heavy Industry,100
23,FLR Hospital,325.93
23,FLR Institutional,3178.66
23,FLR Light Industry,5776.08
23,FLR Office,33209.75
23,FLR Retail,31066.79
23,FLR Warehouse,101
23,FLR Agriculture,100
23,FLR Logging,100
24,FLR MH,570
24,FLR MF,1385
24,FLR AT,13698.9
24,FLR SFD,57325.4
24,FLR RRMH,10749.8
24,FLR RRSFD,1126078.4
24,FLR Accommodation,103
24,FLR Government Support,109.99
24,FLR K12,169
24,FLR Heavy Industry,100
24,FLR Hospital,100
24,FLR Institutional,102
24,FLR Light Industry,2265.39
24,FLR Office,126
24,FLR Retail,101
24,FLR Warehouse,6376.94
24,FLR Agriculture,40510836
24,FLR Logging,100
25,FLR MH,134
25,FLR MF,190
25,FLR AT,1880
25,FLR SFD,530
25,FLR RRMH,1233
25,FLR RRSFD,155792.6
25,FLR Accommodation,103
25,FLR Government Support,109.99
25,FLR K12,169
25,FLR Heavy Industry,657723.48
25,FLR Hospital,100
25,FLR Institutional,102
25,FLR Light Industry,293740.95
25,FLR Office,126
25,FLR Retail,101
25,FLR Warehouse,5833095.54
25,FLR Agriculture,100
25,FLR Logging,100
26,FLR MH,36136
26,FLR MF,1385
26,FLR AT,13698.9
26,FLR SFD,41265.3
26,FLR RRMH,8984
26,FLR RRSFD,1126078.4
26,FLR Accommodation,2847.31
26,FLR Government Support,109.99
26,FLR K12,169
26,FLR Heavy Industry,74645.65
26,FLR Hospital,100
26,FLR Institutional,275.98
26,FLR Light Industry,499.97
26,FLR Office,98433.42
26,FLR Retail,14742.8
26,FLR Warehouse,2432470.12
26,FLR Agriculture,100
26,FLR Logging,3166275
27,FLR MH,2769
27,FLR MF,6205.5
27,FLR AT,15921
27,FLR SFD,69310.3
27,FLR RRMH,10752.7
27,FLR RRSFD,1197799.9
27,FLR Accommodation,21945.16
27,FLR Government Support,374.58
27,FLR K12,9193.61
27,FLR Heavy Industry,100
27,FLR Hospital,326.46
27,FLR Institutional,1563.17
27,FLR Light Industry,2896.09
27,FLR Office,28451.36
27,FLR Retail,34819
27,FLR Warehouse,2693.08
27,FLR Agriculture,72115312
27,FLR Logging,100
28,FLR MH,2071
28,FLR MF,44937
28,FLR AT,47605.5
28,FLR SFD,1476526.7
28,FLR RRMH,16791
28,FLR RRSFD,213383.6
28,FLR Accommodation,200.99
28,FLR Government Support,99.99
28,FLR K12,200
28,FLR Heavy Industry,100
28,FLR Hospital,119
28,FLR Institutional,101
28,FLR Light Industry,100
28,FLR Office,143
28,FLR Retail,111
28,FLR Warehouse,100
28,FLR Agriculture,100
28,FLR Logging,100
29,FLR MH,7265.4
29,FLR MF,2400756.9
29,FLR AT,713384.1
29,FLR SFD,1083330.6
29,FLR RRMH,16791
29,FLR RRSFD,213383.6
29,FLR Accommodation,220133.16
29,FLR Government Support,346.92
29,FLR K12,80054.08
29,FLR Heavy Industry,100
29,FLR Hospital,387639.02
29,FLR Institutional,11824.9
29,FLR Light Industry,100
29,FLR Office,1522296.41
29,FLR Retail,1408246.11
29,FLR Warehouse,100
29,FLR Agriculture,100
29,FLR Logging,100
30,FLR MH,2071
30,FLR MF,41204
30,FLR AT,35456.6
30,FLR SFD,961910.3
30,FLR RRMH,16791
30,FLR RRSFD,213383.6
30,FLR Accommodation,3006.24
30,FLR Government Support,99.99
30,FLR K12,200
30,FLR Heavy Industry,100
30,FLR Hospital,119
30,FLR Institutional,439.95
30,FLR Light Industry,4046.11
30,FLR Office,29817.76
30,FLR Retail,72131.58
30,FLR Warehouse,100
30,FLR Agriculture,100
30,FLR Logging,100
31,FLR MH,2136
31,FLR MF,360
31,FLR AT,467
31,FLR SFD,244911.2
31,FLR RRMH,10000
31,FLR RRSFD,219752.4
31,FLR Accommodation,126.99
31,FLR Government Support,99.99
31,FLR K12,680
31,FLR Heavy Industry,96
31,FLR Hospital,109
31,FLR Institutional,10925.92
31,FLR Light Industry,7427.82
31,FLR Office,191017.45
31,FLR Retail,20791.73
31,FLR Warehouse,52297.98
31,FLR Agriculture,100
31,FLR Logging,100
32,FLR MH,3613.5
32,FLR MF,4223.3
32,FLR AT,2262.9
32,FLR SFD,354200
32,FLR RRMH,10000
32,FLR RRSFD,219752.4
32,FLR Accommodation,12529.09
32,FLR Government Support,301.43
32,FLR K12,8643.12
32,FLR Heavy Industry,96
32,FLR Hospital,473.07
32,FLR Institutional,101763.2
32,FLR Light Industry,3262.13
32,FLR Office,119188.96
32,FLR Retail,32577
32,FLR Warehouse,298
32,FLR Agriculture,100
32,FLR Logging,100
33,FLR MH,2222.6
33,FLR MF,163
33,FLR AT,4396.7
33,FLR SFD,77802.4
33,FLR RRMH,7130
33,FLR RRSFD,90906.5
33,FLR Accommodation,200.99
33,FLR Government Support,99.99
33,FLR K12,14206.09
33,FLR Heavy Industry,100
33,FLR Hospital,119
33,FLR Institutional,1541.81
33,FLR Light Industry,100
33,FLR Office,143
33,FLR Retail,111
33,FLR Warehouse,100
33,FLR Agriculture,100
33,FLR Logging,100
34,FLR MH,3599
34,FLR MF,4159.8
34,FLR AT,81393.4
34,FLR SFD,3334131.8
34,FLR RRMH,10000
34,FLR RRSFD,219752.4
34,FLR Accommodation,10689.11
34,FLR Government Support,282.95
34,FLR K12,22167.64
34,FLR Heavy Industry,96
34,FLR Hospital,638.95
34,FLR Institutional,53893.23
34,FLR Light Industry,2660.91
34,FLR Office,445367.92
34,FLR Retail,54455.65
34,FLR Warehouse,298
34,FLR Agriculture,100
34,FLR Logging,100
35,FLR MH,3605
35,FLR MF,360
35,FLR AT,3649.2
35,FLR SFD,749341.9
35,FLR RRMH,10000
35,FLR RRSFD,219752.4
35,FLR Accommodation,126.99
35,FLR Government Support,99.99
35,FLR K12,8149.94
35,FLR Heavy Industry,96
35,FLR Hospital,109
35,FLR Institutional,1376.74
35,FLR Light Industry,100
35,FLR Office,143
35,FLR Retail,107
35,FLR Warehouse,298
35,FLR Agriculture,100
35,FLR Logging,100
36,FLR MH,3611.3
36,FLR MF,360
36,FLR AT,2074.7
36,FLR SFD,344534.3
36,FLR RRMH,10000
36,FLR RRSFD,219752.4
36,FLR Accommodation,126.99
36,FLR Government Support,99.99
36,FLR K12,8496.55
36,FLR Heavy Industry,96
36,FLR Hospital,109
36,FLR Institutional,1431.91
36,FLR Light Industry,100
36,FLR Office,143
36,FLR Retail,107
36,FLR Warehouse,298
36,FLR Agriculture,100
36,FLR Logging,100
37,FLR MH,2846
37,FLR MF,13484
37,FLR AT,16247.8
37,FLR SFD,1173277.6
37,FLR RRMH,10000
37,FLR RRSFD,302505.9
37,FLR Accommodation,216.98
37,FLR Government Support,116.98
37,FLR K12,31119.8
37,FLR Heavy Industry,99
37,FLR Hospital,100
37,FLR Institutional,100
37,FLR Light Industry,101
37,FLR Office,132
37,FLR Retail,106
37,FLR Warehouse,100
37,FLR Agriculture,100
37,FLR Logging,100
38,FLR MH,3599
38,FLR MF,360
38,FLR AT,8090.6
38,FLR SFD,1290477.3
38,FLR RRMH,10000
38,FLR RRSFD,219752.4
38,FLR Accommodation,126.99
38,FLR Government Support,99.99
38,FLR K12,7848.47
38,FLR Heavy Industry,96
38,FLR Hospital,109
38,FLR Institutional,1328.84
38,FLR Light Industry,100
38,FLR Office,143
38,FLR Retail,107
38,FLR Warehouse,298
38,FLR Agriculture,100
38,FLR Logging,100
39,FLR MH,3605.4
39,FLR MF,4187.8
39,FLR AT,3899.7
39,FLR SFD,1042691.1
39,FLR RRMH,10000
39,FLR RRSFD,219752.4
39,FLR Accommodation,12201.2
39,FLR Government Support,290.44
39,FLR K12,8165.9
39,FLR Heavy Industry,1473.27
39,FLR Hospital,453.06
39,FLR Institutional,39917.32
39,FLR Light Industry,3623.4
39,FLR Office,126915.7
39,FLR Retail,61654
39,FLR Warehouse,2589.37
39,FLR Agriculture,100
39,FLR Logging,100
40,FLR MH,3786.9
40,FLR MF,16971.4
40,FLR AT,128377.1
40,FLR SFD,2995071.1
40,FLR RRMH,10000
40,FLR RRSFD,302505.9
40,FLR Accommodation,5472.02
40,FLR Government Support,347.94
40,FLR K12,27668.92
40,FLR Heavy Industry,99
40,FLR Hospital,299.12
40,FLR Institutional,92053.21
40,FLR Light Industry,32281.03
40,FLR Office,77152.3
40,FLR Retail,106811
40,FLR Warehouse,100
40,FLR Agriculture,100
40,FLR Logging,100
41,FLR MH,3755.9
41,FLR MF,13484
41,FLR AT,64028.7
41,FLR SFD,1313851.6
41,FLR RRMH,10000
41,FLR RRSFD,302505.9
41,FLR Accommodation,5892.06
41,FLR Government Support,116.98
41,FLR K12,179
41,FLR Heavy Industry,99
41,FLR Hospital,100
41,FLR Institutional,5270.67
41,FLR Light Industry,245.99
41,FLR Office,5334.74
41,FLR Retail,21634.08
41,FLR Warehouse,100
41,FLR Agriculture,100
41,FLR Logging,100
42,FLR MH,3589.9
42,FLR MF,360
42,FLR AT,5122.5
42,FLR SFD,2553501.9
42,FLR RRMH,10000
42,FLR RRSFD,219752.4
42,FLR Accommodation,126.99
42,FLR Government Support,99.99
42,FLR K12,7417.44
42,FLR Heavy Industry,96
42,FLR Hospital,109
42,FLR Institutional,1260.33
42,FLR Light Industry,100
42,FLR Office,143
42,FLR Retail,107
42,FLR Warehouse,298
42,FLR Agriculture,100
42,FLR Logging,100
43,FLR MH,3613.5
43,FLR MF,4223.5
43,FLR AT,35921.8
43,FLR SFD,520632.8
43,FLR RRMH,10000
43,FLR RRSFD,219752.4
43,FLR Accommodation,8598.21
43,FLR Government Support,301.54
43,FLR K12,8648
43,FLR Heavy Industry,96
43,FLR Hospital,785856.17
43,FLR Institutional,1803672.03
43,FLR Light Industry,3087.3
43,FLR Office,521600.98
43,FLR Retail,23949.97
43,FLR Warehouse,298
43,FLR Agriculture,100
43,FLR Logging,100
44,FLR MH,5447
44,FLR MF,83223
44,FLR AT,210406.4
44,FLR SFD,555488.6
44,FLR RRMH,10000
44,FLR RRSFD,18060.7
44,FLR Accommodation,8051.6
44,FLR Government Support,99.99
44,FLR K12,11698999.93
44,FLR Heavy Industry,1593.87
44,FLR Hospital,121
44,FLR Institutional,25790.06
44,FLR Light Industry,78
44,FLR Office,953562.03
44,FLR Retail,28137.19
44,FLR Warehouse,2859.99
44,FLR Agriculture,100
44,FLR Logging,100
45,FLR MH,1000
45,FLR MF,3636.7
45,FLR AT,2359.5
45,FLR SFD,1000
45,FLR RRMH,1000
45,FLR RRSFD,995.2
45,FLR Accommodation,4641.53
45,FLR Government Support,428.83
45,FLR K12,7710.58
45,FLR Heavy Industry,112
45,FLR Hospital,513.82
45,FLR Institutional,1563.41
45,FLR Light Industry,78
45,FLR Office,46391.87
45,FLR Retail,11253.72
45,FLR Warehouse,164
45,FLR Agriculture,100
45,FLR Logging,100
46,FLR MH,2136
46,FLR MF,1601604.7
46,FLR AT,129
46,FLR SFD,129
46,FLR RRMH,10000
46,FLR RRSFD,219752.4
46,FLR Accommodation,12752.94
46,FLR Government Support,301.55
46,FLR K12,51556.41
46,FLR Heavy Industry,96
46,FLR Hospital,473.29
46,FLR Institutional,2602.58
46,FLR Light Industry,100
46,FLR Office,60612.39
46,FLR Retail,26169.27
46,FLR Warehouse,298
46,FLR Agriculture,100
46,FLR Logging,100
47,FLR MH,3613.5
47,FLR MF,4223.5
47,FLR AT,75334.9
47,FLR SFD,194907.6
47,FLR RRMH,10000
47,FLR RRSFD,219752.4
47,FLR Accommodation,13632.27
47,FLR Government Support,301.55
47,FLR K12,8648.47
47,FLR Heavy Industry,96
47,FLR Hospital,473.29
47,FLR Institutional,47326.62
47,FLR Light Industry,8972.97
47,FLR Office,321916.21
47,FLR Retail,28901.75
47,FLR Warehouse,298
47,FLR Agriculture,100
47,FLR Logging,100
48,FLR MH,3613.5
48,FLR MF,4223.4
48,FLR AT,22727.9
48,FLR SFD,155544.3
48,FLR RRMH,10000
48,FLR RRSFD,219752.4
48,FLR Accommodation,4212.63
48,FLR Government Support,301.54
48,FLR K12,8647.99
48,FLR Heavy Industry,96
48,FLR Hospital,473.27
48,FLR Institutional,25787.73
48,FLR Light Industry,2547.68
48,FLR Office,101468.48
48,FLR Retail,10112.62
48,FLR Warehouse,298
48,FLR Agriculture,100
48,FLR Logging,100
49,FLR MH,3613.3
49,FLR MF,4222.6
49,FLR AT,120232.2
49,FLR SFD,507698.1
49,FLR RRMH,10000
49,FLR RRSFD,219752.4
49,FLR Accommodation,22971.37
49,FLR Government Support,301.13
49,FLR K12,11314.29
49,FLR Heavy Industry,96
49,FLR Hospital,472.52
49,FLR Institutional,2339.13
49,FLR Light Industry,4615.98
49,FLR Office,545394.05
49,FLR Retail,136176.72
49,FLR Warehouse,298
49,FLR Agriculture,100
49,FLR Logging,100
50,FLR MH,3613.5
50,FLR MF,4223.5
50,FLR AT,72422.1
50,FLR SFD,218008.8
50,FLR RRMH,10000
50,FLR RRSFD,219752.4
50,FLR Accommodation,4212.74
50,FLR Government Support,301.55
50,FLR K12,8648.21
50,FLR Heavy Industry,96
50,FLR Hospital,473.28
50,FLR Institutional,1456.2
50,FLR Light Industry,2164.28
50,FLR Office,14982.94
50,FLR Retail,9695.87
50,FLR Warehouse,298
50,FLR Agriculture,100
50,FLR Logging,100
51,FLR MH,3608.4
51,FLR MF,4201.3
51,FLR AT,13222.2
51,FLR SFD,1126979.7
51,FLR RRMH,10000
51,FLR RRSFD,219752.4
51,FLR Accommodation,34903.65
51,FLR Government Support,294.21
51,FLR K12,8329.64
51,FLR Heavy Industry,96
51,FLR Hospital,459.94
51,FLR Institutional,3737.4
51,FLR Light Industry,4844.86
51,FLR Office,62563.21
51,FLR Retail,71577.35
51,FLR Warehouse,298
51,FLR Agriculture,100
51,FLR Logging,100
52,FLR MH,2846
52,FLR MF,13484
52,FLR AT,132316.4
52,FLR SFD,2394724.2
52,FLR RRMH,10000
52,FLR RRSFD,302505.9
52,FLR Accommodation,2888.3
52,FLR Government Support,116.98
52,FLR K12,17850.59
52,FLR Heavy Industry,99
52,FLR Hospital,100
52,FLR Institutional,4879.7
52,FLR Light Industry,4803.26
52,FLR Office,23085.32
52,FLR Retail,36326.31
52,FLR Warehouse,100
52,FLR Agriculture,100
52,FLR Logging,100
53,FLR MH,2846
53,FLR MF,13484
53,FLR AT,70957.8
53,FLR SFD,2060813.6
53,FLR RRMH,10000
53,FLR RRSFD,302505.9
53,FLR Accommodation,216.98
53,FLR Government Support,116.98
53,FLR K12,179
53,FLR Heavy Industry,99
53,FLR Hospital,100
53,FLR Institutional,100
53,FLR Light Industry,101
53,FLR Office,132
53,FLR Retail,106
53,FLR Warehouse,100
53,FLR Agriculture,100
53,FLR Logging,100
54,FLR MH,2846
54,FLR MF,13484
54,FLR AT,201196.7
54,FLR SFD,4294078.3
54,FLR RRMH,10000
54,FLR RRSFD,302505.9
54,FLR Accommodation,240.98
54,FLR Government Support,116.98
54,FLR K12,13379.2
54,FLR Heavy Industry,99
54,FLR Hospital,100
54,FLR Institutional,69315.4
54,FLR Light Industry,3761.31
54,FLR Office,41660.08
54,FLR Retail,17898.9
54,FLR Warehouse,100
54,FLR Agriculture,100
54,FLR Logging,100
55,FLR MH,3794
55,FLR MF,17015.7
55,FLR AT,557486
55,FLR SFD,2641737.4
55,FLR RRMH,10000
55,FLR RRSFD,302505.9
55,FLR Accommodation,31456.97
55,FLR Government Support,364.6
55,FLR K12,31475.34
