Activity,ZoneNumber,Quantity,TechnologyLogsum,SizeUtility,ZoneConstant,Constrained,ConstraintValue,LocationUtility,FullEmbeddedSize,Size
ENGY_offc_off,1,1699849.4444444426,1.5990839965576715,0.0,0.0,true,1699849.4444444426,1.5990839965576715,-0.026290856061367274,1.0
ENGY_offc_off,17,212481.18055555533,1.0917507542190663,0.0,0.0,true,212481.18055555533,1.0917507542190663,-0.49045191249589104,1.0
ENGY_offc_off,6001,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
ENGY_offc_off,6002,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
ENGY_offc_off,6003,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
ENGY_offc_off,6004,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
ENGY_offc_off,6005,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
ENGY_offc_off,6006,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,-Infinity,1.0
CNST_main_xxx,1,3280307.5555554954,6.004478436455035,0.0,0.0,true,3280307.5555554954,6.004478436455035,0.0,1.0
CNST_main_xxx,17,410038.44444443693,6.0038299647521844,0.0,0.0,true,410038.44444443693,6.0038299647521844,0.0,1.0
CNST_main_xxx,6001,0.0,-6.177565797826817,0.0,0.0,true,0.0,-6.177565797826817,0.0,1.0
CNST_main_xxx,6002,0.0,-7.043353935662321,0.0,0.0,true,0.0,-7.043353935662321,0.0,1.0
CNST_main_xxx,6003,0.0,-Infinity,0.0,0.0,true,0.0,-Infinity,NaN,1.0
CNST_main_xxx,6004,0.0,-6.655641474303607,0.0,0.0,true,0.0,-6.655641474303607,0.0,1.0
CNST_main_xxx,6005,0.0,-6.126109246232193,0.0,0.0,true,0.0,-6.126109246232193,0.0,1.0
CNST_main_xxx,6006,0.0,-6.095841748378467,0.0,0.0,true,0.0,-6.095841748378467,0.0,1.0
CNST_nres_xxx,1,5815659.5555555215,6.033659293936584,3.0615663507375475,0.0,true,5815659.5555555215,9.09522564467413,0.0,933253.5625
CNST_nres_xxx,17,726957.4444444402,6.031665871551231,2.6194949302394512,0.0,true,726957.4444444402,8.651160801790681,0.0,128223.6953125
CNST_nres_xxx,6001,0.0,-6.138579473316501,-Infinity,0.0,true,0.0,-Infinity,0.0,0.0
CNST_nres_xxx,6002,0.0,-7.011036967018942,-Infinity,0.0,true,0.0,-Infinity,0.0,0.0
CNST_nres_xxx,6003,0.0,-Infinity,-Infinity,0.0,true,0.0,-Infinity,NaN,0.0
CNST_nres_xxx,6004,0.0,-6.620312753872649,-Infinity,0.0,true,0.0,-Infinity,0.0,0.0
CNST_nres_xxx,6005,0.0,-6.089493484406709,-Infinity,0.0,true,0.0,-Infinity,0.0,0.0
