Activity,CompositeUtility,Size
sctg41_waste_scrap_impt,12.042152994614545,4.70564704E8
energy_impt,1.1664192736617647,1.0549943296E10
retail_trade_impt,1.1508333956874095,2.493351936E10
transport_impt,1.2412102440284174,1.4888372224E10
wholesale_trade_impt,1.141998509003726,2.335898624E10
construction_impt,1.4650796759963587,2.9113520128E10
communications_and_utilities_impt,1.336413128846736,2.1987250176E10
accommodations_impt,5.937285234369496,2.632335104E9
personal_and_other_services_and_amusements_impt,5.660559204621966,1.2097457152E10
entertainment_services_impt,1.2072215258426764,4.72046592E9
food_services_impt,1.1065444278600844,1.2010273792E10
higher_education_impt,1.168862191268187,6.100819968E9
health_services_impt,1.0997265239627367,3.7984395264E10
fire_business_and_professional_services_impt,5.844606164587243,1.17111996416E11
government_administration_impt,1.1292694579871043,1.8954784768E10
education_reports_to_sponsors_impt,1.1011730272648574,1.4881588224E10
sctg01_fkp_lvsk_expt,6.037183229418032,1.20351296E9
sctg02_fkp_agri_cereal_expt,6.43945108116424,8.93932544E8
sctg03_fkp_agri_other_expt,7.934627584299773,8.313501696E9
sctg04_fkp_feed_expt,5.863514818263987,6.9488224E8
sctg05_fkp_food_meat_expt,6.7929906784059355,3.346381312E9
sctg06_fkp_agri_grain_expt,6.504151527752761,1.652958848E9
sctg07_fkp_food_prep_expt,6.924014692201864,1.563070976E10
sctg08_fkp_food_alc_expt,6.700979439099239,2.026017536E9
sctg10_cms_clay_expt,6.201929459569401,2.71536736E8
sctg11_cms_sand_expt,6.547609290571087,2.99397984E8
sctg13_cms_mine_nonmet_expt,8.799563340905866,4.4226452E7
sctg14_cms_mine_met_expt,9.416601713343288,1.533490432E9
sctg15_pcc_coal_expt,7.007792057555601,7.7540952E7
sctg16_pcc_petr_crude_expt,6.034985276183102,7.03292288E8
sctg17_pcc_fuel_expt,5.70510349795247,1.99578096E8
sctg18_pcc_petr_oil_expt,5.727404340180877,9.9789048E7
sctg19_pcc_coal_prod_expt,6.042228857599013,9.21302336E8
sctg20_pcc_chem_basic_expt,6.8852001524576885,1.754684928E9
sctg21_pcc_chem_pharma_expt,7.3311022510150945,1.101464704E9
