Activity,SCTG01_FKP_LVSK,SCTG02_FKP_AGRI_cereal,SCTG03_FKP_AGRI_other,SCTG04_FKP_FEED,SCTG05_FKP_FOOD_meat,SCTG06_FKP_AGRI_grain,SCTG07_FKP_FOOD_prep,SCTG08_FKP_FOOD_alc,SCTG10_CMS_CLAY,SCTG11_CMS_SAND,SCTG13_CMS_MINE_nonmet,SCTG14_CMS_MINE_met,SCTG15_PCC_COAL,SCTG16_PCC_PETR_crude,SCTG17_PCC_FUEL,SCTG18_PCC_PETR_oil,SCTG19_PCC_COAL_prod,SCTG20_PCC_CHEM_basic,SCTG21_PCC_CHEM_pharma,SCTG22_PCC_CHEM_fert,SCTG23_PCC_CHEM_prod,SCTG24_PCC_PETR_plast,SCTG25_FWP_LOGS,SCTG26_FWP_WOOD,SCTG27_PPP_PAPR_puplp,SCTG28_PPP_PAPR_paper,SCTG29_PPP_PAPR_print,SCTG30_OTH_CLTH,SCTG31_CMS_MIN,SCTG32_MIT_METL_base,SCTG33_MIT_METL_prod,SCTG34_MIT_MACH,SCTG35_MIT_ELCT,SCTG36_MIT_TRAN,SCTG37_MIT_INST_transp,SCTG38_MIT_INST_prec,SCTG39_OTH_FURN,SCTG40_OTH_MISC,Energy,Retail Trade,Transport,Wholesale Trade,Construction,Communications and Utilities,Accommodations,Personal and Other Services and Amusements,Entertainment Services,Food Services,Higher Education,Fire Business and Professional Services,Internal Services Resources,Tax Receipts,Investing Receipts,Return Investment Receipts,Proprietor Income Receipts,D1-Production Specialists,D2-MaintConstRepair Specialists,D3-ProtectTrans Specialists,D4-Blue Collar Unskilled,FLR Agriculture,FLR Logging,A1-Mgmt Bus,B1-Prof Specialty,B2-Education,B3-Health,B4-Technical Unskilled,C1-Sales Clerical Professionals,C2-Sales Service,C3-Clerical,C4-Sales Clerical Unskilled,FLR Office,Internal Services Energy,FLR Heavy Industry,Internal Services Construction,Internal Services Manufacturing,FLR Light Industry,SCTG41_WASTE_SCRAP,Internal Services Wholesale,FLR Warehouse,FLR Retail,Internal Services Retail Store,Internal ServicesTransport,Internal Services Information,Internal Services Utilities,Government Administration,Health Services,FLR Hospital,FLR Institutional,Internal Services Education k12,Capital Transfer Receipts,FLR K12,FLR Accommodation,Internal Services Government Administration,FLR Government Support,Government Support Receipts,Education Reports to Sponsors,Teaching K12,FLR SFD,FLR RRSFD,FLR AT,FLR MF,FLR MH,FLR RRMH
UTL_othr_off_li,0,0,6.071707503E-6,0,0,0,0,0,1.247677283E-4,8.82394379E-5,5.110609345E-5,7.913788977E-6,3.099327728E-7,1.437101309E-4,7.760420704E-5,6.1916493E-5,0.002246733,1.362458279E-4,2.826923833E-7,1.225380547E-4,7.875754818E-6,2.68017815E-4,0,1.618009555E-4,7.384132005E-6,2.70051878E-5,4.42750661E-6,5.937890364E-6,3.520391183E-4,1.03673272E-4,2.745608799E-4,0.001137993,2.880969259E-4,4.587372314E-5,5.35637264E-6,1.262849983E-4,1.830301335E-5,1.114583938E-5,0.004339571,4.316197374E-5,2.883726265E-4,2.708782558E-4,0.002339698,0.001994222,5.8958929E-5,4.807015648E-5,4.765737322E-5,1.296239207E-4,1.450000013E-6,0.00304451,0,1.603432029E-4,1.884370022E-6,0.001699728,5.441714893E-5,0.001143336,0.001016987,0.001172472,8.827446145E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.118141999E-4,0,0,0,0,0,0,0,0.001033332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTL_othr_off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010538519,0.003058729,0,2.252343256E-4,0.001002134,5.531657953E-4,0,0.004846576,5.711190752E-4,6.627801922E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIRE_fnin_off,0,0,1.727857679E-8,0,0,0,0,0,0,0,0,0,4.886606675E-8,1.819583417E-7,3.362398274E-6,2.682683999E-6,6.474155816E-5,7.542268463E-7,0,0,1.02309059E-6,6.905068403E-6,0,1.703146836E-6,1.081422761E-5,8.439774319E-6,1.641171912E-5,2.801217569E-8,5.633787623E-7,1.09548786E-7,2.452591616E-6,7.229162406E-7,1.303999015E-4,7.157497635E-7,5.484019461E-9,8.673099217E-8,5.156118164E-7,2.504381155E-5,5.42889582E-4,2.75994098E-5,9.578463505E-5,3.047626706E-5,2.912571654E-4,3.838597331E-4,9.393751679E-5,1.059568895E-4,8.185485058E-5,2.553800587E-4,1.753999982E-6,0.005668345,0,5.399349611E-4,1.281580012E-6,0.002804154,3.901975288E-4,3.208081353E-6,1.984525807E-5,1.88664344E-5,1.116813746E-5,0,0,0.00201364,2.090395428E-4,3.000554216E-6,9.774135833E-6,6.183522055E-5,6.768095191E-4,7.435077805E-6,7.836868172E-4,9.289833542E-6,2.342614171E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,7.423983334E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIRE_real_off,0,0,5.705555668E-5,0,0,0,0,0,3.392668077E-6,0,0,2.554243838E-5,4.349389656E-6,1.126724882E-7,9.515665624E-7,7.590980999E-7,4.048802293E-5,1.012582197E-5,0,3.088299763E-6,3.771518777E-6,1.119115404E-5,0,1.861048659E-4,1.25762449E-6,1.999155302E-6,2.30134404E-7,3.571706486E-7,5.561437774E-6,1.090613114E-5,4.552897281E-6,5.894311107E-5,7.07547224E-6,1.619617649E-7,0,3.77155061E-7,5.385629152E-7,5.019599598E-7,0.004661457,7.257886409E-6,2.099314224E-5,1.549703302E-5,7.743664319E-4,5.632934626E-4,2.341435174E-5,1.634561886E-5,3.117019878E-5,9.239809151E-5,4.260000352E-9,0.002481992,0,0.001291137,4.789999934E-7,0.005601755,2.456493967E-4,6.433680937E-6,7.008386456E-5,3.194684723E-6,7.946139522E-5,0,0,5.956258974E-4,1.791756949E-5,1.02614149E-6,0,2.236879118E-5,4.119653022E-4,6.264939429E-7,1.239344856E-4,1.283110942E-5,4.854164144E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLTH_hosp_hosp,5.875823916E-8,5.427700245E-8,3.26285658E-7,1.654002824E-9,1.365799253E-4,9.631569355E-7,9.528353985E-5,0,0,0,0,3.362216603E-6,1.188075629E-7,2.899822391E-7,5.576171588E-6,4.448950676E-6,0.00133215,1.605136931E-4,1.553733309E-4,4.749304026E-6,4.938840902E-6,2.514644875E-4,0,8.289806829E-6,2.980103454E-5,7.956911577E-5,9.869707355E-6,7.878894394E-6,3.186108734E-5,1.881309004E-6,1.395048457E-5,2.21971768E-5,3.760966865E-5,1.115900886E-6,0,4.559295194E-4,3.34523952E-6,6.952255376E-7,0.002863624,6.973558629E-5,1.476329489E-4,3.698728397E-4,1.053083543E-4,2.730462584E-4,2.195783281E-6,6.178807962E-5,1.327359041E-5,1.124470073E-4,8.668699593E-6,0.003795102,0,7.081046933E-4,3.115549816E-6,2.789740392E-4,4.020809138E-5,7.853689749E-5,1.177250742E-4,5.414042244E-5,2.367078559E-4,0,0,9.089760715E-4,5.024009733E-4,9.005075299E-6,0.00389594,0.001441828,9.412669169E-5,0,8.816127665E-4,2.312229772E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.389660317E-4,5.700666225E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLTH_care_inst,1.583917765E-6,0,1.719986017E-6,4.463410619E-8,2.105443564E-4,1.298763345E-5,9.922801837E-5,0,0,0,0,1.833402894E-5,1.126089046E-6,3.814439879E-6,1.51073973E-5,1.205343142E-5,3.442286979E-4,5.447475814E-6,4.65096382E-5,1.051691243E-6,6.046017006E-6,2.535853127E-4,0,1.633630632E-6,1.499199971E-5,8.556060493E-5,3.930897947E-6,7.515205198E-6,3.39823855E-5,7.927469596E-6,3.386437811E-6,2.015958489E-5,5.051936387E-5,2.064965656E-6,0,1.781567553E-4,1.45983347E-6,2.39416795E-6,0.004412249,3.234199539E-5,1.023745426E-4,2.851222234E-4,2.239226451E-4,5.246960791E-4,1.41281098E-5,1.059183414E-4,2.508893158E-5,3.334636276E-4,0,0.003047413,0,9.198018815E-4,3.264960014E-6,2.570931101E-4,5.560840364E-4,8.728387911E-5,1.044461605E-4,5.711289123E-5,4.808814556E-4,0,0,0.001883163,7.508363342E-4,9.352928828E-6,0.001173222,0.002255477,3.151002456E-4,1.056633409E-4,4.497957998E-4,0.002773404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03499769E-6,0,0.001335045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLTH_othr_off_li,0,0,1.660947504E-7,0,0,0,3.097224477E-9,0,0,0,0,5.062103082E-5,1.745954563E-7,5.091291655E-7,3.028878837E-6,2.41658995E-6,8.199501317E-4,1.332469401E-4,1.516138582E-4,0,7.947997801E-6,1.395333966E-4,0,1.327090376E-5,2.428343578E-5,2.236885666E-5,1.109970981E-5,1.710145057E-7,4.8970036E-5,1.21648427E-5,1.14017721E-5,9.10430299E-6,5.945992234E-5,2.100910024E-6,0,4.459038319E-4,1.908894092E-6,1.080893412E-6,9.668245912E-4,6.072704127E-5,1.576715877E-4,3.250288137E-4,9.158315515E-5,4.036251339E-4,4.255734893E-5,9.91418492E-5,3.668916179E-5,2.414566552E-4,2.274559847E-6,0.002990043,0,7.29964464E-4,2.925550007E-6,5.647574435E-4,9.005631437E-4,2.613250399E-5,3.784773071E-5,4.093403913E-5,3.926724821E-5,0,0,9.015289834E-4,4.167524748E-4,1.650446848E-6,0.003429305,0.00153994,1.837409072E-4,2.431040593E-5,0.001049794,2.344417444E-4,7.011779962E-5,0,0,0,0,0.001029516,0,0,0,0,0,0,0,0,0,4.058669438E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K12_k12_k12,2.009702257E-6,2.650526767E-6,6.293298611E-6,6.807779585E-8,2.02764586E-5,8.336777682E-6,2.293648504E-5,6.96873883E-7,0,0,0,0,2.004231874E-6,2.412829492E-9,1.001341298E-5,7.989197911E-6,2.265507792E-4,1.996739593E-5,4.128206399E-7,7.662321877E-6,9.04020726E-6,1.402744601E-5,0,5.012943802E-5,5.736038293E-5,2.648370537E-5,3.023718273E-5,2.647304598E-7,4.125549367E-6,9.756167856E-7,7.696031389E-6,6.0905797E-5,5.335347305E-5,5.474480076E-6,0,2.315996426E-6,1.272672421E-6,6.438870969E-6,0.001079653,7.42352313E-6,9.442240116E-5,1.026332757E-4,1.939352369E-4,3.375713422E-4,3.264112593E-6,2.995087016E-5,2.03397849E-5,1.416622763E-5,5.997319931E-6,6.489476655E-4,0,0.001149313,5.549019988E-6,0.0011763,1.92564803E-5,4.147780783E-5,3.856132971E-4,4.25252656E-4,6.011337973E-4,0,0,0,0,0.00799704,0,0.001160431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001709596,0.010371062,0.00299082,0,0,0,0,0,0,0,0,0,0,0,0
K12_k12_off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009847486,0.00299582,0,0.001166374,0,4.781815514E-4,6.752713671E-5,0.004637346,0.001845916,0.001037886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIED_hied_off_inst,2.141099321E-5,3.907944119E-6,8.890517165E-6,6.086059443E-7,7.571046444E-5,5.431758473E-5,6.850807404E-5,9.535699974E-6,0,0,0,5.578329365E-5,1.033109243E-6,3.121182885E-7,7.559056939E-6,6.030986242E-6,1.885742677E-4,1.630772567E-5,1.912597781E-6,5.041440545E-6,1.351944775E-5,4.544936746E-5,1.972652512E-7,3.125031071E-5,3.410472345E-5,1.760815758E-5,4.3631273E-5,1.992640591E-6,1.150618846E-5,1.907064507E-5,5.229533417E-5,1.276008406E-4,1.152657715E-4,6.637416391E-6,4.504730455E-8,1.316373982E-6,1.080788138E-6,3.11021472E-6,0.006346998,1.843274003E-5,1.606175501E-4,1.566349965E-4,1.726380287E-4,9.896843694E-4,3.136789746E-5,8.410766168E-5,2.508378748E-5,7.581847603E-5,6.499328447E-5,0.002070934,0,8.693324053E-4,3.99918008E-6,9.275882039E-4,1.323632314E-4,6.579315959E-5,3.297961957E-4,8.737106691E-5,3.327861195E-4,0,0,0.002851372,0.001573986,0.003811154,1.318112336E-4,8.808510611E-4,2.26254997E-4,4.086354966E-5,0.001041288,1.672613726E-4,2.569823992E-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020342,0,0.004832184,0,0,0,0,0,0,0,0,0,0,0,0,0
