zoneNumber,No_Occupation,A1-Mgmt Bus,B1-Prof Specialty,B2-Education,B3-Health,B4-Technical Unskilled,C1-Sales Clerical Professionals,C2-Sales Service,C3-Clerical,C4-Sales Clerical Unskilled,D1-Production Specialists,D2-MaintConstRepair Specialists,D3-ProtectTrans Specialists,D4-Blue Collar Unskilled
2748,0,7300545.5,3053612.2,1827619.0,2998739.5,1835268.1,2276862.8,1287126.6,2391665.8,1270553.4,929495.2,2104854.2,2905918.5,2229524.8
2749,0,4956184.5,2126469.5,1350675.8,1831039.8,1497605.0,1636476.1,998006.44,1880998.4,1139489.0,795429.2,1696462.5,2243625.8,1951462.2
2750,0,5896045.0,2523881.5,1596623.2,2190814.2,1765284.4,1938282.5,1178154.4,2215613.2,1344308.6,933831.2,1991372.4,2638530.0,2293424.0
2751,0,7660260.5,2780061.5,2077628.4,2785794.0,2225144.5,2407229.5,1460808.6,2928417.5,1730458.8,1242811.8,2811244.8,3656610.0,3366026.0
2752,0,3402514.2,1164409.6,893292.3,1304186.0,928462.94,1040694.9,617249.2,1252799.9,657932.75,529012.1,1317356.4,1653260.4,1442776.5
2753,0,4392148.0,1502913.8,1153865.2,1681232.9,1202261.9,1344971.1,799009.94,1621977.9,855887.1,684726.8,1703305.4,2138721.8,1873051.9
2754,0,3206368.0,1098084.0,847335.94,1216761.9,890165.44,987524.2,590728.5,1201098.6,641460.25,507830.84,1259641.8,1581088.2,1400044.9
2755,0,5720819.0,1959446.4,1513110.4,2168219.2,1591466.2,1763409.9,1055902.0,2147404.8,1148801.0,908133.06,2251644.0,2826095.8,2506416.5
2756,0,5147970.0,2576179.2,1541081.9,2076083.1,1585249.6,1753762.1,1077144.9,1879672.1,1207149.2,690102.9,1427579.9,1857638.2,1668398.4
2757,0,7216998.5,2514540.2,2075647.8,2957443.5,1665027.5,2097946.8,1080340.6,2221020.8,949310.94,843479.4,2352263.5,2800602.2,2159504.5
2758,0,1.1591349E7,5202131.0,2891113.5,5167195.5,2879762.0,3542248.2,1965945.2,3507782.0,1900666.0,1217338.6,2846008.8,3816205.8,2888247.8
2759,0,2119529.2,814604.56,645742.9,841644.1,544729.9,649889.3,340725.12,727335.5,316148.56,262950.4,728222.75,840560.44,692571.0
2760,0,1701947.0,653708.94,516969.38,677841.44,434956.1,520711.5,272303.2,580524.0,251288.92,209770.11,581310.06,671403.4,550910.25
2761,0,6895240.5,3034487.8,1893598.1,2549015.5,2108663.2,2320160.2,1453112.5,2782651.2,1736821.8,1053048.2,2283051.2,3111796.8,2820656.2
2762,0,1176899.0,596587.25,367024.44,382716.12,513550.3,466563.1,355242.7,673028.8,531497.44,241941.2,432413.5,635011.4,710141.1
2763,0,4657012.5,2303190.8,1313734.1,1702331.9,1603120.6,1671120.2,1121801.6,2036159.1,1400227.4,756757.0,1438029.6,2099895.2,2005459.9
2764,0,8879323.0,4537351.0,2810859.5,3423342.5,3076314.8,3156189.0,2068802.0,3694492.0,2610747.5,1352909.5,2711718.2,3524566.2,3479432.5
2765,0,1.121865E7,5763510.5,3619214.2,4253898.5,4052007.2,4053935.2,2720976.8,4897806.0,3552011.2,1785280.6,3529509.2,4595264.5,4676520.0
2766,0,7477477.5,3862538.8,2463942.5,2787131.8,2847162.0,2756096.5,1912576.9,3465375.5,2639320.2,1246490.4,2415790.8,3163959.5,3367067.0
2767,0,5092383.0,2913598.0,1753106.6,1818368.2,2124069.8,1884086.0,1463457.2,2605806.0,2253839.0,811169.2,1424175.0,1985529.8,2301597.5
2768,0,2169619.5,1204655.0,674754.56,838324.75,737556.5,745317.4,509575.34,874698.0,664473.1,284768.44,538583.06,735603.1,734318.0
2769,0,4451476.0,2489445.2,1415666.6,1691702.4,1572846.5,1550413.6,1084180.4,1879477.8,1452354.0,608186.3,1135700.5,1550675.2,1593984.8
2770,0,2723519.5,1534595.9,888524.25,1014971.0,1013994.0,966444.75,698405.56,1222710.5,978683.9,391140.78,716475.5,983465.94,1051134.6
2771,0,2227642.0,1267367.4,752527.6,808047.9,894985.1,812517.8,616796.2,1091881.0,924466.56,342571.97,609500.56,846172.4,956521.9
2772,0,9241412.0,4571778.5,2925886.8,3999705.2,2737391.5,3131215.0,1841998.0,3240023.0,1924518.1,1164045.5,2461968.5,3165807.5,2690440.2
2773,0,4718086.5,2346542.5,1530954.8,2010908.1,1466380.8,1628387.4,984657.9,1752748.2,1081032.4,625680.0,1302166.4,1675075.5,1482825.5
2774,0,4502216.5,2221340.2,1407798.4,1964309.5,1295052.4,1508811.9,871726.3,1523883.6,876327.6,550518.9,1177167.9,1510615.6,1249055.2
