AZone,FLR.MH,FLR.MF,FLR.AT,FLR.SFD,FLR.RRMH,FLR.RRSFD,FLR.Accommodation,FLR.Government.Support,FLR.K12,FLR.Heavy.Industry,FLR.Hospital,FLR.Institutional,FLR.Light.Industry,FLR.Office,FLR.Retail,FLR.Warehouse,FLR.Agriculture,FLR.Logging
1,0.000194247394452239,0,0.00163424865044102,0.00710217454678836,0,0,0.0651893884682497,0.0479367551878260,0.000768292700059501,0.000201852320293519,0.0000770521930768683,0.000719649989284585,0.000582461257958539,0,0,0.000997216646555007,0,0
2,0,0.0118593394355401,0.00170083974569310,0.00679226170485686,0,0,0.00268234693427642,0.0000962286384077061,0.000768293754324716,0.000201852320220882,0.0000770521930768683,0.000307076003858959,0.000582461257958539,0.0539057329648001,0.0113589006406981,0.000565031171422978,0,0
3,0.000194258120160105,0,0,0,0,0,0.000307940334774561,0.0000962286384077061,0.000768293754120447,0.000201852309979037,0.0000770521930768683,0.000307076003858941,0.000582461257958539,0,0,0.000551618349581029,0,0
4,0.000194287913796226,0,0.00163437900181082,0.00694271003104948,0,0,0.000598898670338364,0.0000962286384077061,0.000749286169812725,0.000201852320277386,0.0000770521930768683,0.000307076003858959,0.000582461257958539,0.0187198872527413,0.0128195180658452,0.000561488819374898,0,0
5,0,0.0158428490466184,0.00176056317146467,0.00691851699111557,0,0,0.000307940334774568,0.0000962286384077061,0.000752664336522985,0.000201852320281235,0.0000770521930768683,0.000307076003858959,0.000582461257958539,0.00492134650353717,0.0039326085801251,0,0,0
6,0,0,0.00160566578927892,0.0068477650705037,0,0,0,0.0000962286384076774,0.000768293754170436,0,0.000077052193076868,0.00030707598088646,0,0,0,0.000502515880606828,0,0
7,0.000194268331532460,0,0.00241441996333522,0.00713091827810139,0,0,0.000307940334774568,0.0000962286384077061,0.000768292700034708,0.000201852320293169,0.0000770521930768683,0.000307076003858959,0.000582461257958539,0.0132631683345300,0.00391921140216617,0.000546620906299975,0,0
8,0.000194263728477107,0.0422171837715371,0.00316196269368055,0.00726010622527558,0,0,0.000668383470144821,0.00026909802956203,0.000768293589598013,0.000201852320293739,0.0000770521930768683,0.00171406877393334,0.000582461257958539,0.403122669185890,0.0105605929970922,0.000880516906197963,0,0
9,0.000194264444800464,0,0.00206901641175357,0.00706397575076239,0,0,0.000307940334774568,0.0000962286384077061,0.000768293754313887,0.000201852320292505,0.0000770521930768683,0.00223636138964646,0.000582461257958539,0.0156564022609907,0.0228067638966242,0.000641095117501138,0,0
10,0.000194250408751929,0,0.00222846113420346,0.00727213973696165,0,0,0.0233015079688322,0,0.000768293754320033,0.000201852320285402,0.0000770521930768683,0.00054336732517978,0.000582461257958539,0,0,0.000533395529859983,0,0
