Activity,TotalAmount
sctg27_ppp_papr_puplp_expt,5.580698647E9
sctg28_ppp_papr_paper_expt,1.831491215E9
sctg29_ppp_papr_print_expt,1.705409779E9
sctg30_oth_clth_expt,8.220964212E8
sctg31_cms_min_expt,2.273122329E9
sctg32_mit_metl_base_expt,4.970671959E9
sctg33_mit_metl_prod_expt,4.028276107E9
sctg34_mit_mach_expt,5.745210485E9
sctg35_mit_elct_expt,2.5089950732E10
sctg36_mit_tran_expt,4.12542857E9
sctg37_mit_inst_transp_expt,2.875766315E9
sctg38_mit_inst_prec_expt,2.884849239E9
sctg39_oth_furn_expt,1.561209261E9
sctg40_oth_misc_expt,2.50786046E9
sctg41_waste_scrap_expt,5.14554669E8
energy_expt,1.2529262255E10
retail_trade_expt,2.6900822001E10
transport_expt,1.4939113682E10
wholesale_trade_expt,2.4460910884E10
construction_expt,2.5702884888E10
communications_and_utilities_expt,1.9796349782E10
accommodations_expt,3.361339473E9
personal_and_other_services_and_amusements_expt,1.5108144981E10
entertainment_services_expt,4.039098503E9
food_services_expt,1.2396404498E10
higher_education_expt,6.196788412E9
health_services_expt,4.3076183235E10
fire_business_and_professional_services_expt,9.4535211138E10
government_administration_expt,1.8981930175E10
education_reports_to_sponsors_expt,1.4949045381E10
