Activity,SCTG01_FKP_LVSK,SCTG02_FKP_AGRI_cereal,SCTG03_FKP_AGRI_other,SCTG04_FKP_FEED,SCTG05_FKP_FOOD_meat,SCTG07_FKP_FOOD_prep,SCTG10_CMS_CLAY,SCTG11_CMS_SAND,SCTG13_CMS_MINE_nonmet,SCTG14_CMS_MINE_met,SCTG15_PCC_COAL,SCTG16_PCC_PETR_crude,SCTG17_PCC_FUEL,SCTG18_PCC_PETR_oil,SCTG19_PCC_COAL_prod,SCTG20_PCC_CHEM_basic,SCTG25_FWP_LOGS,SCTG30_OTH_CLTH,SCTG31_CMS_MIN,SCTG33_MIT_METL_prod,Entertainment Services,Fire Business and Professional Services,Internal Services Resources,Energy,Communications and Utilities,Wholesale Trade,Internal Services Energy,Construction,Internal Services Construction,SCTG06_FKP_AGRI_grain,SCTG08_FKP_FOOD_alc,SCTG21_PCC_CHEM_pharma,SCTG23_PCC_CHEM_prod,SCTG24_PCC_PETR_plast,SCTG32_MIT_METL_base,SCTG34_MIT_MACH,SCTG35_MIT_ELCT,SCTG36_MIT_TRAN,SCTG38_MIT_INST_prec,SCTG39_OTH_FURN,SCTG40_OTH_MISC,SCTG41_WASTE_SCRAP,SCTG26_FWP_WOOD,SCTG27_PPP_PAPR_puplp,SCTG28_PPP_PAPR_paper,SCTG29_PPP_PAPR_print,SCTG37_MIT_INST_transp,SCTG22_PCC_CHEM_fert,Internal Services Manufacturing,Internal Services Wholesale,Retail Trade,Internal Services Retail Store,Transport,Internal ServicesTransport,Higher Education,Internal Services Information,Personal and Other Services and Amusements,Internal Services Utilities,Health Services,Teaching K12,Return Investment Receipts,Education Reports to Sponsors,Internal Services Education k12,Accommodations,Food Services,Government Administration,Internal Services Government Administration,Tax Receipts,Capital Transfer Receipts,Investing Receipts,Government Support Receipts,A1-Mgmt Bus,B1-Prof Specialty,B2-Education,B4-Technical Unskilled,C1-Sales Clerical Professionals,C3-Clerical,C4-Sales Clerical Unskilled,D1-Production Specialists,D2-MaintConstRepair Specialists,D3-ProtectTrans Specialists,D4-Blue Collar Unskilled,C2-Sales Service,B3-Health,Proprietor Income Receipts
CNST_res_xxx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013141567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNST_offc_off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007771268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFG_food_hi,0,0,0,0.001787353,0.009737927,0.042552188,0,0,0,0,0,0,0,0,0,1.485156099E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003901606,0.006535838,8.531147614E-5,2.906052259E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFG_food_li,0,0,0,0.001787353,0.009737927,0.042552188,0,0,0,0,0,0,0,0,0,1.485156099E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003901606,0.006535838,8.531147614E-5,2.906052259E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFG_htec_hi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.151626621E-6,0,0,0,1.785965082E-6,0,0,0,0,0,0,0,0,0,0,0,3.426855255E-5,3.257252683E-5,9.434718777E-6,8.399694707E-6,5.663220654E-4,0.023675874,3.236998964E-5,8.456091746E-4,1.119025274E-5,2.304789523E-4,2.341096206E-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFG_htec_li,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.151626621E-6,0,0,0,1.785965082E-6,0,0,0,0,0,0,0,0,0,0,0,3.426855255E-5,3.257252683E-5,9.434718777E-6,8.399694707E-6,5.663220654E-4,0.023675874,3.236998964E-5,8.456091746E-4,1.119025274E-5,2.304789523E-4,2.341096206E-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFG_hvtw_hi,0,0,0,0,0,4.547874596E-6,0,0,0,0,0,0,0,0,8.078542123E-6,8.774813068E-6,0,6.5485097E-4,6.286201369E-6,0.002517445,0,3.013034875E-4,0,0,0,0,0,0,0,0,0,0.007933214,7.39352763E-5,0.002628645,1.771196403E-4,0.006311115,7.361226599E-4,0.00575544,6.978631718E-4,0.003013451,0.002185726,9.271626186E-5,3.427921911E-5,2.813145111E-4,0.001035641,0.001301834,0.001299974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFG_hvtw_li,0,0,0,0,0,4.547874596E-6,0,0,0,0,0,0,0,0,8.078542123E-6,8.774813068E-6,0,6.5485097E-4,6.286201369E-6,0.002517445,0,3.013034875E-4,0,0,0,0,0,0,0,0,0,0.007933214,7.39352763E-5,0.002628645,1.771196403E-4,0.006311115,7.361226599E-4,0.00575544,6.978631718E-4,0.003013451,0.002185726,9.271626186E-5,3.427921911E-5,2.813145111E-4,0.001035641,0.001301834,0.001299974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFG_lvtw_hi,0,0,0,0,0,2.916158519E-5,3.347324309E-5,3.515249409E-5,1.505462569E-5,0,0,0,3.266693675E-4,8.63946334E-4,0.013658929,0.004774961,0,2.385417429E-5,0.004674999,3.31225383E-5,0,0,0,0,0,0,0,0,0,0,1.942874951E-5,1.862718345E-4,0.012243386,0.002150084,0.012341371,5.357890041E-5,1.041782671E-4,1.123526545E-5,6.603134352E-6,1.17211157E-5,9.171514535E-7,8.698678721E-5,3.012197703E-5,6.248923455E-6,2.102281314E-6,0,1.684377509E-7,0.004493897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFG_wdppr_hi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.637226867E-6,2.495376248E-5,0,0,0,0,0,0,0,0,0,0,0,0,0,4.086324043E-5,0,0,0,0,0,6.826862227E-5,8.797755581E-4,2.835448504E-5,0.047240339,0.011250393,3.53133335E-4,0,0,5.041440545E-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
