Commodity,Demand,InternalBought,Exports,Supply,InternalSold,Imports,RMSSurplus,AveragePrice
SCTG01_FKP_LVSK,1.9856641122945905E9,1.4684768758829067E9,5.171872364116839E8,1.9856641122674794E9,1.4548513486791635E9,5.30812763588316E8,0.028936930957002893,1.0118174617191775
SCTG02_FKP_AGRI_cereal,1.9977426560321589E9,1.4786711380346594E9,5.190715179974995E8,1.9977426558498259E9,1.4688141738473253E9,5.289284820025004E8,0.06703393315043535,1.0085494497595526
SCTG03_FKP_AGRI_other,1.0233670632387295E10,1.0086123964102043E10,1.4754666828525227E8,1.023367063691388E10,9.333217305199133E9,9.004533317147471E8,0.998768780838343,1.6531980330681704
SCTG04_FKP_FEED,1.9551363129359384E9,1.4448764912725155E9,5.102598216634227E8,1.9551363127523484E9,1.417396134415771E9,5.377401783365773E8,0.07030728432344124,1.0238379301489517
SCTG05_FKP_FOOD_meat,6.716209296709808E9,6.19256457591943E9,5.2364472079037863E8,6.716209330768092E9,6.191854051558471E9,5.243552792096214E8,1.3403551676073373,1.0006163759139455
SCTG06_FKP_AGRI_grain,2.9817373533517804E9,2.5061417807082148E9,4.755955726435657E8,2.9817373483020635E9,2.4093329209456296E9,5.72404427356434E8,0.274409020970403,1.0839773730862658
SCTG07_FKP_FOOD_prep,2.1380100510474834E10,2.1104668663017838E10,2.754318474569959E8,2.1380100567605545E10,2.0607532415062542E10,7.725681525430032E8,3.1432639011875456,1.431268157448793
SCTG08_FKP_FOOD_alc,3.9351836686444845E9,3.4344371554866457E9,5.0074651315783876E8,3.935183662268637E9,3.387930175426476E9,5.472534868421613E8,0.9754400446239619,1.0403426635444797
SCTG10_CMS_CLAY,8.575845725551245E8,3.3960677884832317E8,5.179777937068014E8,8.575845723331063E8,3.275623660399077E8,5.300222062931986E8,0.02642987558088894,1.010444366729485
SCTG11_CMS_SAND,8.378948401007173E8,3.141704036288136E8,5.2372443647190374E8,8.378948404677217E8,3.1361927693962526E8,5.242755635280964E8,0.02412244356631793,1.000477837389742
SCTG13_CMS_MINE_nonmet,7.166993976473026E8,1.9286979538258424E8,5.238296022647184E8,7.16699397671996E8,1.9252899993671453E8,5.2417039773528147E8,0.00450583261603684,1.0002719966549154
SCTG14_CMS_MINE_met,2.5921597713336997E9,2.171551375575589E9,4.2060839575811064E8,2.592159773597749E9,1.9647681693558602E9,6.27391604241889E8,0.11758806052134586,1.1793651380241341
SCTG15_PCC_COAL,1.3236783730870414E9,7.975528398586423E8,5.2612553322839904E8,1.3236783804206595E9,8.018039136490585E8,5.218744667716011E8,0.40220981130144035,0.9963009861001202
SCTG16_PCC_PETR_crude,2.8883500066542788E9,2.2745584811929874E9,6.137915254612913E8,2.888350013028538E9,2.45414153848983E9,4.3420847453870815E8,0.188755233539102,0.8442161084640418
SCTG17_PCC_FUEL,6.433546115395007E9,5.823161474321663E9,6.103846410733442E8,6.433546161871634E9,5.995930802944978E9,4.3761535892665553E8,0.9061949234441713,0.8501295174711537
SCTG18_PCC_PETR_oil,3.478558819263979E9,2.911733710784688E9,5.66825108479291E8,3.4785588147063804E9,2.9973839231856713E9,4.811748915207089E8,0.26130456440600436,0.9257021985817971
SCTG19_PCC_COAL_prod,5.554466165165565E9,4.968100880368103E9,5.863652847974612E8,5.554466165184249E9,5.0928314499817095E9,4.61634715202539E8,0.04745888671261073,0.8917396916531177
SCTG20_PCC_CHEM_basic,4.19605398556621E9,3.6451332937346606E9,5.509206918315492E8,4.196053981088536E9,3.6989746729200854E9,4.970793081684504E8,0.1628969683812393,0.9532937108530019
SCTG21_PCC_CHEM_pharma,7.975506564729977E9,7.278611224980316E9,6.9689533974966E8,7.975506610067863E9,7.624401949817523E9,3.511046602503401E8,557.2439668183947,0.7000331153707126
SCTG22_PCC_CHEM_fert,1.6213085277520792E9,1.108762742055522E9,5.125457856965573E8,1.6213085279856353E9,1.0858543136821926E9,5.3545421430344266E8,0.01675953314617673,1.0198708758107384
