zoneNumber,No_Occupation,A1-Mgmt Bus,B1-Prof Specialty,B2-Education,B3-Health,B4-Technical Unskilled,C1-Sales Clerical Professionals,C2-Sales Service,C3-Clerical,C4-Sales Clerical Unskilled,D1-Production Specialists,D2-MaintConstRepair Specialists,D3-ProtectTrans Specialists,D4-Blue Collar Unskilled
2912,0,3817335.2,1276512.2,54098.895,274175.94,637944.7,458816.3,24906.072,1038126.3,362379.94,62570.703,378552.34,130922.21,455953.47
2913,0,118493.2,50697.746,4588.822,13435.358,35462.453,15529.087,823.77466,33902.848,109476.49,15065.511,303339.88,27899.752,331612.9
2914,0,2436477.8,1212475.8,1018127.94,229306.6,642858.4,779934.56,2416307.0,1001490.1,1485330.2,127122.67,617239.7,381433.28,830208.6
2915,0,7412801.5,3186271.8,145829.64,2254384.5,1945490.2,1791746.5,2319139.2,2549029.2,4530800.0,712974.56,2004608.6,2688143.0,1920831.6
2916,0,362144.78,187377.89,6091.8438,181172.94,132191.56,112537.53,246879.19,157021.78,214019.6,79940.19,306976.62,60329.32,296517.9
2917,0,877829.3,544466.6,46659.645,442569.03,366189.38,244301.55,201680.69,337866.2,265483.12,90315.8,397744.22,80020.08,302037.22
2918,0,2264002.8,1299713.2,1763234.2,774377.2,928576.2,641450.3,492322.44,795301.8,458741.16,185476.98,657869.9,225185.52,545424.3
2919,0,1110246.8,407234.22,8206.146,92946.2,198947.16,315968.03,1141459.8,466337.84,843091.94,105679.66,750689.3,167306.88,803501.75
2920,0,1417621.4,696669.3,1676371.5,424717.66,661139.6,290206.8,395511.94,525717.2,1139232.0,493536.1,1070644.2,250484.3,1225432.4
2921,0,1219594.5,476285.62,13365.071,170498.53,250517.98,341520.12,1095163.2,509493.97,823076.3,153310.78,791408.5,174564.23,853126.44
2922,0,453208.28,217882.61,3698.1133,211649.42,152777.72,125868.64,67607.97,183118.97,127482.46,190862.81,697477.0,511482.3,704462.4
2923,0,1348921.0,751434.5,1100661.4,156290.58,468603.06,305017.6,173948.1,464908.62,274097.06,77296.64,566970.0,111880.22,626572.7
2924,0,439322.5,269423.8,5079742.5,41443.953,774560.06,98102.6,72241.04,153923.16,158785.33,42843.84,611748.1,213115.19,757937.25
2925,0,515290.47,339275.88,1161505.5,44217.44,295109.75,108966.17,3827.4724,173054.19,129472.47,25866.514,480133.22,83145.484,528959.56
2926,0,53405.97,27086.857,890.4885,43474.945,28175.77,14426.143,626.7142,24093.695,67778.26,48160.08,469584.22,47060.895,488257.94
2927,0,207189.98,145818.12,2215421.8,31182.395,356170.06,57526.453,2007.892,74719.914,98175.91,46078.887,615366.1,706279.2,657607.1
2928,0,203181.61,126643.51,1871193.6,16018.337,306178.66,54891.117,186813.83,88002.82,222364.27,36576.273,554004.8,188016.3,644514.44
2929,0,9722764.0,4827971.0,246313.75,1898544.8,2434974.2,2395970.5,3123089.8,3635991.2,2627734.2,2967744.8,4388450.5,1779879.6,4118942.2
2930,0,9563203.0,4152426.5,971218.6,943147.4,1937610.8,2275819.5,3763329.5,3403062.2,3686930.8,741676.56,2029829.1,1007509.1,2240314.2
2931,0,1.3442189E7,6090768.5,227881.19,1020496.9,2587742.8,3281401.5,5891113.0,4844713.5,5077734.5,657506.56,2539145.2,2592996.2,2714487.5
2932,0,328244.7,170956.73,1824093.0,30689.291,313431.62,79469.35,135355.0,121053.445,176384.44,37793.836,533277.56,115290.45,598321.4
2933,0,545788.4,358208.53,49971.137,46301.375,162412.84,146877.78,65942.055,193638.47,180565.1,48514.098,673804.8,1296889.2,633262.2
2934,0,31170.402,16350.566,4617.111,4078.8123,15112.878,11756.342,86358.86,21037.21,113714.3,10828.653,166679.9,24229.703,191089.48
2935,0,3474528.2,2669800.0,1676013.2,794100.44,1670584.2,943845.0,537424.06,1235048.6,1142006.2,4966882.5,5374867.0,8013487.5,6938857.0
2936,0,7458316.5,3011856.8,6896887.0,1086915.5,2491707.2,2349527.0,1.0072299E7,3423217.5,7325834.5,583970.5,2369156.2,1440313.5,3339258.8
2937,0,2844845.8,1256593.8,86226.08,1888048.8,1136222.1,984435.8,3542912.0,1500990.1,2116882.8,531016.94,1797987.0,1261447.5,1398763.6
2938,0,292871.06,136250.42,5351.614,856430.8,359885.22,102112.336,190019.45,233987.16,199620.42,178469.2,654087.44,72640.12,363003.0
2939,0,138873.94,92748.95,176512.1,283305.53,165338.98,39241.35,3697.578,83708.64,90838.914,60744.945,310237.5,35695.176,230942.44
2940,0,584373.75,446685.3,3854434.8,477863.5,870879.8,149482.42,82796.53,258190.73,250550.22,103273.75,510410.25,178339.86,494006.94
2941,0,1537696.9,878547.1,3263834.2,467603.22,870701.25,494317.97,300006.38,533621.9,307028.94,236419.22,1014550.94,2832932.8,902482.2
