Commodity,BuyingSelling,BandNumber,LowerBound,Quantity,AverageLength
SCTG03_FKP_AGRI_other,selling,11,4000.0,0.0,0.0
SCTG03_FKP_AGRI_other,selling,12,10000.0,0.0,0.0
SCTG03_FKP_AGRI_other,selling,13,20000.0,0.0,0.0
SCTG04_FKP_FEED,buying,0,0.0,1.4982299045455933E8,3.4504578291600096
SCTG04_FKP_FEED,buying,1,5.0,2.2620697101519775E8,7.810477626878711
SCTG04_FKP_FEED,buying,2,10.0,6.808313532747108E8,24.654604670672988
SCTG04_FKP_FEED,buying,3,50.0,1.7304404304177886E8,68.77084584684974
SCTG04_FKP_FEED,buying,4,100.0,4.810060112764163E7,127.04479470766444
SCTG04_FKP_FEED,buying,5,200.0,1.2545498927715557E7,245.73853585573312
SCTG04_FKP_FEED,buying,6,300.0,400930.1017179893,333.74892111125797
SCTG04_FKP_FEED,buying,7,400.0,5074.4989493769635,441.06416007026843
SCTG04_FKP_FEED,buying,8,500.0,128.20311597492181,541.9353230464744
SCTG04_FKP_FEED,buying,9,1000.0,0.0,0.0
SCTG04_FKP_FEED,buying,10,2000.0,0.0,0.0
SCTG04_FKP_FEED,buying,11,4000.0,0.0,0.0
SCTG04_FKP_FEED,buying,12,10000.0,0.0,0.0
SCTG04_FKP_FEED,buying,13,20000.0,0.0,0.0
SCTG04_FKP_FEED,selling,0,0.0,1.1968136268417425E7,3.56490504673834
SCTG04_FKP_FEED,selling,1,5.0,1.848870759174349E7,7.844226751815191
SCTG04_FKP_FEED,selling,2,10.0,1.3040907690595971E8,28.210533342136685
SCTG04_FKP_FEED,selling,3,50.0,1.2672704076787025E8,72.57858474732187
SCTG04_FKP_FEED,selling,4,100.0,1.3189142535713693E8,144.28927582250392
SCTG04_FKP_FEED,selling,5,200.0,1.3259975183018981E8,247.28933073984132
SCTG04_FKP_FEED,selling,6,300.0,7.193173017718172E7,339.94802926917185
SCTG04_FKP_FEED,selling,7,400.0,5.1080565317442216E7,448.6535350273371
SCTG04_FKP_FEED,selling,8,500.0,1.978580160778458E7,550.662590516614
SCTG04_FKP_FEED,selling,9,1000.0,0.0,0.0
SCTG04_FKP_FEED,selling,10,2000.0,0.0,0.0
SCTG04_FKP_FEED,selling,11,4000.0,0.0,0.0
SCTG04_FKP_FEED,selling,12,10000.0,0.0,0.0
SCTG04_FKP_FEED,selling,13,20000.0,0.0,0.0
SCTG05_FKP_FOOD_meat,buying,0,0.0,7.543464890006485E8,3.3561613545578006
SCTG05_FKP_FOOD_meat,buying,1,5.0,8.323047667176743E8,7.713808969880425
SCTG05_FKP_FOOD_meat,buying,2,10.0,2.0404380816806233E9,23.81432151557558
SCTG05_FKP_FOOD_meat,buying,3,50.0,4.6531565664966613E8,67.48732858614339
SCTG05_FKP_FOOD_meat,buying,4,100.0,9.389362095167387E7,126.28527862325056
SCTG05_FKP_FOOD_meat,buying,5,200.0,4386968.356282441,234.58212297806628
SCTG05_FKP_FOOD_meat,buying,6,300.0,371916.1860926887,320.4680185639309
SCTG05_FKP_FOOD_meat,buying,7,400.0,2194.808334541006,436.8198754810851
SCTG05_FKP_FOOD_meat,buying,8,500.0,379.8597746380686,561.89513828407
SCTG05_FKP_FOOD_meat,buying,9,1000.0,0.0,0.0
SCTG05_FKP_FOOD_meat,buying,10,2000.0,0.0,0.0
SCTG05_FKP_FOOD_meat,buying,11,4000.0,0.0,0.0
SCTG05_FKP_FOOD_meat,buying,12,10000.0,0.0,0.0
SCTG05_FKP_FOOD_meat,buying,13,20000.0,0.0,0.0
SCTG05_FKP_FOOD_meat,selling,0,0.0,1.3785938698571497E8,3.4803774463072683
SCTG05_FKP_FOOD_meat,selling,1,5.0,1.725352156137492E8,7.694473147430031
SCTG05_FKP_FOOD_meat,selling,2,10.0,9.267340358109779E8,27.6009258577375
SCTG05_FKP_FOOD_meat,selling,3,50.0,8.011224193603044E8,71.86632951562729
SCTG05_FKP_FOOD_meat,selling,4,100.0,6.670720764593937E8,139.3684848953956
SCTG05_FKP_FOOD_meat,selling,5,200.0,4.052651598225033E8,243.73841261488064
SCTG05_FKP_FOOD_meat,selling,6,300.0,1.471456052787832E8,335.4893291252398
SCTG05_FKP_FOOD_meat,selling,7,400.0,7.161928380670305E7,445.17317786720236
SCTG05_FKP_FOOD_meat,selling,8,500.0,1.702809009765849E7,543.4522188717092
SCTG05_FKP_FOOD_meat,selling,9,1000.0,0.0,0.0
SCTG05_FKP_FOOD_meat,selling,10,2000.0,0.0,0.0
SCTG05_FKP_FOOD_meat,selling,11,4000.0,0.0,0.0
SCTG05_FKP_FOOD_meat,selling,12,10000.0,0.0,0.0
SCTG05_FKP_FOOD_meat,selling,13,20000.0,0.0,0.0
SCTG06_FKP_AGRI_grain,buying,0,0.0,2.957947177089844E8,3.3791813059268883
SCTG06_FKP_AGRI_grain,buying,1,5.0,3.520877408081665E8,7.728818791681958
SCTG06_FKP_AGRI_grain,buying,2,10.0,8.627597844024631E8,23.579022788661007
SCTG06_FKP_AGRI_grain,buying,3,50.0,1.763013677591572E8,67.77054363215242
SCTG06_FKP_AGRI_grain,buying,4,100.0,3.823270925879845E7,125.75602015316942
SCTG06_FKP_AGRI_grain,buying,5,200.0,2797310.0537768854,243.67344663111797
SCTG06_FKP_AGRI_grain,buying,6,300.0,366968.1650774221,325.59895502220775
SCTG06_FKP_AGRI_grain,buying,7,400.0,1960.1976218825944,437.69880974629814
SCTG06_FKP_AGRI_grain,buying,8,500.0,67.21935947302346,539.3101943506005
SCTG06_FKP_AGRI_grain,buying,9,1000.0,0.0,0.0
SCTG06_FKP_AGRI_grain,buying,10,2000.0,0.0,0.0
SCTG06_FKP_AGRI_grain,buying,11,4000.0,0.0,0.0
SCTG06_FKP_AGRI_grain,buying,12,10000.0,0.0,0.0
SCTG06_FKP_AGRI_grain,buying,13,20000.0,0.0,0.0
SCTG06_FKP_AGRI_grain,selling,0,0.0,9.529417484444332E7,3.445681513904538
SCTG06_FKP_AGRI_grain,selling,1,5.0,1.0803684840689528E8,7.6366416139349695
SCTG06_FKP_AGRI_grain,selling,2,10.0,5.2609807789466023E8,27.254125014707103
SCTG06_FKP_AGRI_grain,selling,3,50.0,4.298699814139671E8,70.97077007143166
SCTG06_FKP_AGRI_grain,selling,4,100.0,3.052716116336044E8,137.15116652622947
SCTG06_FKP_AGRI_grain,selling,5,200.0,1.383874876199259E8,241.92506893846584
SCTG06_FKP_AGRI_grain,selling,6,300.0,3.742304231459184E7,333.2827625594126
SCTG06_FKP_AGRI_grain,selling,7,400.0,1.0596321028775616E7,440.6358131401715
SCTG06_FKP_AGRI_grain,selling,8,500.0,1981400.564978236,542.9869072281529
SCTG06_FKP_AGRI_grain,selling,9,1000.0,0.0,0.0
SCTG06_FKP_AGRI_grain,selling,10,2000.0,0.0,0.0
SCTG06_FKP_AGRI_grain,selling,11,4000.0,0.0,0.0
SCTG06_FKP_AGRI_grain,selling,12,10000.0,0.0,0.0
SCTG06_FKP_AGRI_grain,selling,13,20000.0,0.0,0.0
SCTG07_FKP_FOOD_prep,buying,0,0.0,1.8217861808344727E9,3.3784478184109634
SCTG07_FKP_FOOD_prep,buying,1,5.0,2.0717864266311035E9,7.675577887260889
SCTG07_FKP_FOOD_prep,buying,2,10.0,5.333364106136135E9,24.019547900099365
SCTG07_FKP_FOOD_prep,buying,3,50.0,1.421495645802611E9,69.21728428673038
SCTG07_FKP_FOOD_prep,buying,4,100.0,6.432485095320699E8,136.10472021340425
SCTG07_FKP_FOOD_prep,buying,5,200.0,1.5404234650282973E8,238.60532881479702
SCTG07_FKP_FOOD_prep,buying,6,300.0,1.9444671448361427E7,326.0792601643797
SCTG07_FKP_FOOD_prep,buying,7,400.0,2394393.827136194,427.8174109493135
SCTG07_FKP_FOOD_prep,buying,8,500.0,43403.03414956248,518.8111911327386
SCTG07_FKP_FOOD_prep,buying,9,1000.0,0.0,0.0
SCTG07_FKP_FOOD_prep,buying,10,2000.0,0.0,0.0
SCTG07_FKP_FOOD_prep,buying,11,4000.0,0.0,0.0
SCTG07_FKP_FOOD_prep,buying,12,10000.0,0.0,0.0
SCTG07_FKP_FOOD_prep,buying,13,20000.0,0.0,0.0
SCTG07_FKP_FOOD_prep,selling,0,0.0,4.422478252000975E8,3.5477412907170973
SCTG07_FKP_FOOD_prep,selling,1,5.0,5.838630879647782E8,7.797677295898153
SCTG07_FKP_FOOD_prep,selling,2,10.0,3.686838800735419E9,27.60125067110414
SCTG07_FKP_FOOD_prep,selling,3,50.0,3.4037702372262053E9,70.85189023023624
SCTG07_FKP_FOOD_prep,selling,4,100.0,2.7864244404858146E9,142.50758378339793
SCTG07_FKP_FOOD_prep,selling,5,200.0,2.5492376780028677E9,248.4449738989294
SCTG07_FKP_FOOD_prep,selling,6,300.0,1.3287036332603388E9,337.90223726504684
SCTG07_FKP_FOOD_prep,selling,7,400.0,6.1147470404898E8,450.5866775612525
SCTG07_FKP_FOOD_prep,selling,8,500.0,2.3815002251338878E8,538.3745567621096
SCTG07_FKP_FOOD_prep,selling,9,1000.0,0.0,0.0
SCTG07_FKP_FOOD_prep,selling,10,2000.0,0.0,0.0
SCTG07_FKP_FOOD_prep,selling,11,4000.0,0.0,0.0
SCTG07_FKP_FOOD_prep,selling,12,10000.0,0.0,0.0
SCTG07_FKP_FOOD_prep,selling,13,20000.0,0.0,0.0
SCTG08_FKP_FOOD_alc,buying,0,0.0,3.6914622567297363E8,3.4354283436448854
SCTG08_FKP_FOOD_alc,buying,1,5.0,4.494448128179321E8,7.74088836844179
SCTG08_FKP_FOOD_alc,buying,2,10.0,1.1214797712095482E9,23.31666536854887
SCTG08_FKP_FOOD_alc,buying,3,50.0,2.3251555889587504E8,68.64840315277537
SCTG08_FKP_FOOD_alc,buying,4,100.0,8.531138861867414E7,132.2836162146566
SCTG08_FKP_FOOD_alc,buying,5,200.0,5128280.661343512,242.19394598400214
