Azone,CNST_offc_off,RET_stor_off,SERV_site_li,ENGY_offc_off,MFG_food_hi,FIRE_real_off,SERV_bus_off,HLTH_care_inst,CNST_res_xxx,MFG_hvtw_li,WHSL_offc_off,HOSP_acc_acc,SERV_stor_ret,UTL_othr_off_li,HOSP_eat_ret_acc,RET_auto_ret,MFG_lvtw_hi,FIRE_fnin_off,MFG_htec_hi,INFO_info_off,MFG_hvtw_hi,MFG_wdppr_hi,CNST_othr_xxx,K12_k12_off,ENGY_elec_hi,SERV_tech_off,CNST_main_xxx,GOV_offc_off,no_industry,MFG_htec_li,RES_offc_off,TRNS_trns_off,RES_agmin_ag,K12_k12_k12,CNST_nres_xxx,ENT_ent_ret,GOV_admn_gov,HLTH_othr_off_li,MFG_offc_off,ENGY_ngas_hi,HLTH_hosp_hosp,RES_forst_log,HIED_hied_off_inst,MFG_food_li,RET_stor_ret,INFO_info_off_li,ENGY_ptrl_hi,RET_nstor_off,SERV_home_xxx,SERV_nonp_off_inst,WHSL_whsl_ware,UTL_othr_off,TRNS_trns_ware,Total
11.0,52.0,29.0,31.0,20.0,8.0,67.0,93.0,43.0,9.0,10.0,18.0,21.0,66.0,8.0,185.0,52.0,1.0,97.0,1.0,32.0,4.0,9.0,19.0,47.0,0.0,102.0,8.0,71.0,4.0,0.0,39.0,47.0,15.0,38.0,13.0,34.0,17.0,75.0,86.0,1.0,42.0,0.0,37.0,4.0,182.0,4.0,2.0,33.0,35.0,68.0,39.0,11.0,22.0,1951.0
12.0,656.0,509.0,197.0,172.0,23.0,952.0,786.0,364.0,69.0,57.0,322.0,135.0,260.0,46.0,673.0,330.0,32.0,890.0,4.0,373.0,50.0,50.0,129.0,249.0,6.0,1516.0,62.0,886.0,70.0,7.0,573.0,249.0,252.0,723.0,91.0,398.0,172.0,822.0,1270.0,3.0,467.0,24.0,427.0,44.0,487.0,30.0,15.0,142.0,153.0,740.0,430.0,127.0,175.0,17689.0
13.0,131.0,89.0,28.0,46.0,4.0,190.0,170.0,72.0,11.0,7.0,58.0,27.0,67.0,7.0,215.0,66.0,10.0,209.0,0.0,79.0,17.0,3.0,15.0,63.0,1.0,318.0,12.0,195.0,13.0,2.0,127.0,62.0,33.0,113.0,16.0,94.0,22.0,155.0,286.0,0.0,92.0,3.0,80.0,4.0,134.0,1.0,1.0,39.0,27.0,145.0,86.0,29.0,23.0,3697.0
14.0,21.0,14.0,5.0,10.0,0.0,21.0,29.0,12.0,0.0,3.0,8.0,5.0,13.0,0.0,45.0,10.0,0.0,33.0,1.0,16.0,1.0,2.0,4.0,9.0,0.0,45.0,5.0,34.0,4.0,0.0,22.0,10.0,9.0,13.0,3.0,12.0,7.0,24.0,42.0,0.0,22.0,2.0,15.0,2.0,30.0,1.0,2.0,5.0,11.0,42.0,16.0,5.0,8.0,653.0
15.0,287.0,234.0,47.0,83.0,8.0,377.0,375.0,162.0,16.0,15.0,122.0,60.0,89.0,13.0,321.0,113.0,13.0,381.0,0.0,155.0,15.0,13.0,34.0,120.0,4.0,628.0,17.0,397.0,26.0,2.0,236.0,96.0,52.0,144.0,27.0,136.0,48.0,460.0,517.0,0.0,295.0,8.0,131.0,11.0,214.0,5.0,2.0,60.0,62.0,265.0,152.0,56.0,46.0,7150.0
16.0,44.0,24.0,11.0,16.0,1.0,46.0,65.0,27.0,6.0,5.0,10.0,10.0,33.0,1.0,110.0,39.0,3.0,64.0,1.0,29.0,3.0,3.0,9.0,19.0,0.0,69.0,1.0,58.0,3.0,0.0,24.0,27.0,12.0,56.0,9.0,36.0,17.0,58.0,70.0,1.0,24.0,1.0,34.0,4.0,95.0,2.0,3.0,26.0,30.0,59.0,22.0,7.0,13.0,1340.0
17.0,236.0,184.0,144.0,86.0,27.0,374.0,387.0,195.0,54.0,65.0,70.0,54.0,154.0,33.0,386.0,172.0,18.0,366.0,8.0,189.0,53.0,49.0,108.0,94.0,15.0,740.0,44.0,390.0,56.0,8.0,178.0,132.0,215.0,212.0,78.0,195.0,167.0,362.0,526.0,3.0,182.0,20.0,168.0,37.0,386.0,15.0,18.0,93.0,81.0,363.0,273.0,49.0,138.0,8650.0
18.0,81.0,53.0,39.0,29.0,13.0,133.0,135.0,54.0,24.0,25.0,37.0,24.0,43.0,16.0,108.0,69.0,12.0,110.0,7.0,58.0,21.0,18.0,34.0,38.0,4.0,194.0,19.0,109.0,11.0,3.0,65.0,31.0,63.0,34.0,27.0,59.0,51.0,106.0,159.0,0.0,69.0,2.0,33.0,13.0,113.0,3.0,6.0,34.0,25.0,104.0,66.0,19.0,49.0,2652.0
19.0,189.0,188.0,219.0,83.0,52.0,414.0,477.0,201.0,90.0,89.0,82.0,67.0,148.0,57.0,288.0,262.0,41.0,342.0,12.0,191.0,79.0,84.0,157.0,89.0,16.0,788.0,89.0,394.0,41.0,13.0,147.0,121.0,351.0,201.0,137.0,227.0,253.0,369.0,584.0,4.0,180.0,28.0,180.0,48.0,329.0,33.0,36.0,90.0,103.0,443.0,385.0,50.0,262.0,9803.0
20.0,3.0,0.0,3.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,6.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,1.0,4.0,0.0,0.0,3.0,0.0,3.0,4.0,2.0,1.0,1.0,3.0,6.0,0.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,82.0
21.0,5.0,2.0,3.0,1.0,0.0,6.0,11.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,8.0,2.0,1.0,3.0,0.0,3.0,1.0,0.0,3.0,5.0,0.0,5.0,1.0,10.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,1.0,1.0,8.0,6.0,0.0,2.0,0.0,3.0,0.0,6.0,0.0,0.0,3.0,0.0,5.0,5.0,3.0,3.0,139.0
