taz,commodity,quantity
3181,FLR AT,17684.72253
2338,FLR AT,28087.21794
2681,FLR AT,172948.1325
2528,FLR AT,248.5321161
604,FLR AT,16402.72123
540,FLR AT,783.5417837
891,FLR AT,20541.74467
376,FLR AT,145774.4647
1223,FLR AT,5.179931437
2623,FLR AT,54772.22564
452,FLR AT,71912.00717
2219,FLR AT,1069.64136
1426,FLR AT,37095.51381
1569,FLR AT,335693.4854
3070,FLR AT,16200.04436
2242,FLR AT,153968.048
2890,FLR AT,24576.77885
1389,FLR AT,113134.7499
2539,FLR AT,3962.314737
518,FLR AT,83626.01246
2459,FLR AT,22986.42097
1015,FLR AT,72002.23355
2573,FLR AT,17.75436109
931,FLR AT,677.2359968
2233,FLR AT,187857.021
116,FLR AT,39525.6969
383,FLR AT,6583.591541
2727,FLR AT,6066.824681
1154,FLR AT,202.6363053
878,FLR AT,38744.40266
1420,FLR AT,49276.65282
2999,FLR AT,133745.0406
1507,FLR AT,9137.756705
880,FLR AT,29324.94316
675,FLR AT,85881.43421
702,FLR AT,91216.86197
2484,FLR AT,15.79138939
794,FLR AT,176962.1525
2147,FLR AT,32041.42895
3058,FLR AT,39940.64205
1385,FLR AT,108540.7125
1119,FLR AT,11932.28422
2255,FLR AT,366426.3109
2276,FLR AT,38801.05727
1100,FLR AT,68690.95898
2960,FLR AT,2.866220653
1757,FLR AT,48860.21483
473,FLR AT,5717.613735
1470,FLR AT,151750.5616
4036,FLR AT,179785.5609
1343,FLR AT,158831.0376
1338,FLR AT,47559.06469
1418,FLR AT,30975.29737
2826,FLR AT,15919.25332
3127,FLR AT,45966.37958
4137,FLR AT,163684.2385
2688,FLR AT,161694.6979
782,FLR AT,55312.75989
2813,FLR AT,9198.103406
583,FLR AT,132806.0924
2842,FLR AT,7123.031305
1050,FLR AT,140390.6964
4082,FLR AT,173417.3905
2789,FLR AT,10648.98805
1194,FLR AT,75671.29405
1142,FLR AT,47207.92637
1630,FLR AT,158915.294
660,FLR AT,114816.232
83,FLR AT,16009.38029
1001,FLR AT,28890.49677
4014,FLR AT,857532.4293
945,FLR AT,210492.4818
2297,FLR AT,22265.1019
2474,FLR AT,88.74268354
227,FLR AT,261792.6324
559,FLR AT,51193.75891
1197,FLR AT,20702.10856
2298,FLR AT,49256.55996
81,FLR AT,88911.31433
2023,FLR AT,817.5451168
562,FLR AT,119422.7437
2993,FLR AT,24442.78897
2118,FLR AT,53160.39041
454,FLR AT,30278.23828
2357,FLR AT,17437.9988
2723,FLR AT,9840.069976
2822,FLR AT,17281.52157
2311,FLR AT,22431.3696
3153,FLR AT,9688.533942
2949,FLR AT,79661.69962
2186,FLR AT,2.926339429
1204,FLR AT,124026.7627
2301,FLR AT,55.37919813
2155,FLR AT,3.715866025
548,FLR AT,19.84644408
2706,FLR AT,100442.7757
128,FLR AT,103440.932
2241,FLR AT,10190.55476
815,FLR AT,54995.16138
2801,FLR AT,20.16124085
