Region,FLR MH,FLR MF,FLR AT,FLR SFD,FLR RRMH,FLR RRSFD
Bend,-2.314708032,-2.720925396,-2.869037428,0,-0.168778551,1.97914126
Portland_Vancouver,-2.945021535,-3.142384069,-1.001114799,0,-3.175130756,3.70538028
