#comm mode  mean  alpha beta  modeShare
SCTG36  SWA 0 0 0 0.0000
SCTG37  SAA 5687  1474  7000  0.0364
SCTG37  SRR 1600  1384  1626  4.5756
SCTG37  STK 300 0 2411  95.3880
SCTG37  SWA 0 0 0 0.0000
SCTG38  SAA 4838  97  7000  1.9653
SCTG38  SRR 0 0 0 0.0000
SCTG38  STK 686 0 2529  98.0131
SCTG38  SWA 728 728 728 0.0216
SCTG39  SAA 6169  1474  7000  0.0152
SCTG39  SRR 2057  2057  2057  0.0056
SCTG39  STK 586 0 2529  99.9792
SCTG39  SWA 0 0 0 0.0000
SCTG40  SAA 4490  97  7000  0.0339
SCTG40  SRR 539 9 1894  0.1119
SCTG40  STK 507 0 2529  99.8542
SCTG40  SWA 0 0 0 0.0000
SCTG41  SAA 0 0 0 0.0000
SCTG41  SRR 548 7 1722  6.9960
SCTG41  STK 87  0 1848  93.0040
SCTG41  SWA 0 0 0 0.0000
SCTG43  SAA 2554  97  7000  0.0115
SCTG43  SRR 1938  499 2200  0.5394
SCTG43  STK 300 0 2529  99.4491
SCTG43  SWA 0 0 0 0.0000
