"dpnum","daypattern","ntours","stops","ptype1","ptype2","ptype3","ptype4","ptype5","presenceWorkActivities","presenceSchoolTours","stayAtHome","oneTourPattern","twoToursPattern","threeToursPattern","fourToursPattern","fivePlusToursPattern","workOnlyNoStops","workOnlyInStops","workOnlyOutStops","workNoStops","workInStops","workOutStops","schoolOnly","workOnly","schoolBeforeWork","workBeforeSchool","work2pNoStops","work2pWithStops","school2p","numWBasedTours","presenceWBasedTours","homeSchoolHomePattern","otherOnly","shopOnly2p","otherOnly2p","noPrimaryThreePlusTours","presenceShopTours","presenceRecTours","presenceOtherTours","shopBeforeWork","recBeforeWork","othBeforeWork","shopBeforeSchool","recBeforeSchool","othBeforeSchool","recBeforeShop","oneShopActivity","twoShopActivities","threeShopActivities","fourShopActivities","presenceShopActivities","oneRecActivity","twoRecActivities","threeRecActivities","fourRecActivities","presenceRecActivities","oneOtherActivity","twoOtherActivities","threeOtherActivities","fourOtherActivities","presenceOtherActivities","stopsWorkTimesNonWorkTours","stopsWorkTimesStopsNonWork","stopsTimesTours","schoolWithOutStops","schoolWithInStops","schoolWithBothStops","workWithOutStops","workWithInStops","workWithBothStops","schoolOrWorkOutStops","schoolOrWorkInStops","schoolOrWorkBothStops","schoolAndWorkOutStopsFirst","schoolAndWorkInStopsFirst","schoolAndWorkBothStopsFirst","schoolAndWorkOutStopsSec","schoolAndWorkInStopsSec","schoolAndWorkBothStopsSec","schoolWithWorkAndExtraStops","moreOutThanIn","moreInThanOut","equalOutAndIn","presenceStopsOnWork","presenceStopsOnWBased","presenceStopsOnShop","presenceStopsOnRec","oneStopOnOther","twoStopsOnOther","threePlusStopsOnOther","twoPlusTours","presenceStops","presenceStopsOnPrimary","presenceStopsOnShopRecOth","presenceShopRecOthTours","stopsForShopRecOth","presenceStopsForShopRecOth","presenceShopStopsOnWork","schoolWithWorkStops","numberOfStopsOnWork","presenceStopsOnWorkWBased","nWorkTours","nSchoolTours","nShopTours","nRecreationTours","nOtherTours","shopStopsPerTour","recStopsPerTour","otherStopsPerTour"
11,"HCOH",1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
12,"HCRH",1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
13,"HCSH",1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
14,"HCWH",1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
15,"HOBH",1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1
16,"HOBOH",1,2,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,2,1,0,0,0,0,0,0,0,2
17,"HOBRH",1,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,2,1,0,0,0,0,0,0,1,1
18,"HOBSH",1,2,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,2,1,0,0,0,0,0,1,0,1
19,"HOCH",1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
20,"HOCOH",1,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,2
