occupation,occupationLabel
4610,C4-Sales Clerical Unskilled
4620,C1-Sales Clerical Professionals
4640,C2-Sales Service
4650,C4-Sales Clerical Unskilled
4700,C2-Sales Service
4710,C1-Sales Clerical Professionals
4720,C4-Sales Clerical Unskilled
4740,C4-Sales Clerical Unskilled
4750,C4-Sales Clerical Unskilled
4760,C2-Sales Service
4800,C1-Sales Clerical Professionals
4810,C1-Sales Clerical Professionals
4820,C1-Sales Clerical Professionals
4830,C1-Sales Clerical Professionals
4840,C1-Sales Clerical Professionals
4850,C1-Sales Clerical Professionals
4900,C4-Sales Clerical Unskilled
4920,C1-Sales Clerical Professionals
4930,C1-Sales Clerical Professionals
4940,C4-Sales Clerical Unskilled
4950,C4-Sales Clerical Unskilled
4960,C1-Sales Clerical Professionals
5000,C1-Sales Clerical Professionals
5010,C3-Clerical
5020,C3-Clerical
5030,C3-Clerical
5100,C3-Clerical
5110,C3-Clerical
5120,C3-Clerical
5130,C3-Clerical
5140,C3-Clerical
5150,C1-Sales Clerical Professionals
5160,C3-Clerical
5200,C1-Sales Clerical Professionals
5220,C3-Clerical
5230,C3-Clerical
5240,C3-Clerical
5250,C1-Sales Clerical Professionals
5260,C3-Clerical
5300,C3-Clerical
5310,C3-Clerical
5320,C1-Sales Clerical Professionals
5330,C3-Clerical
5340,C3-Clerical
5350,C3-Clerical
5360,C3-Clerical
5400,C3-Clerical
5410,C1-Sales Clerical Professionals
5420,C3-Clerical
5500,C3-Clerical
5510,C3-Clerical
5520,C3-Clerical
5530,C3-Clerical
5540,C3-Clerical
5550,C3-Clerical
5560,C3-Clerical
5600,C1-Sales Clerical Professionals
5610,C4-Sales Clerical Unskilled
5620,C4-Sales Clerical Unskilled
5630,C4-Sales Clerical Unskilled
5700,C3-Clerical
5800,C3-Clerical
5810,C3-Clerical
5820,C3-Clerical
5840,C3-Clerical
5850,C3-Clerical
5860,C3-Clerical
5900,C3-Clerical
5910,C1-Sales Clerical Professionals
5920,C1-Sales Clerical Professionals
5930,C1-Sales Clerical Professionals
6000,D4-Blue Collar Unskilled
6010,D1-Production Specialists
6040,D4-Blue Collar Unskilled
6050,D4-Blue Collar Unskilled
6100,D4-Blue Collar Unskilled
6120,D4-Blue Collar Unskilled
6130,D4-Blue Collar Unskilled
6200,D2-MaintConstRepair Specialists
6210,D2-MaintConstRepair Specialists
6220,D4-Blue Collar Unskilled
6230,D4-Blue Collar Unskilled
6240,D4-Blue Collar Unskilled
6250,D4-Blue Collar Unskilled
6260,D4-Blue Collar Unskilled
6300,D4-Blue Collar Unskilled
6320,D4-Blue Collar Unskilled
6330,D4-Blue Collar Unskilled
6350,D2-MaintConstRepair Specialists
6360,D2-MaintConstRepair Specialists
6400,D4-Blue Collar Unskilled
6420,D4-Blue Collar Unskilled
6430,D2-MaintConstRepair Specialists
6440,D2-MaintConstRepair Specialists
6460,D4-Blue Collar Unskilled
6500,D4-Blue Collar Unskilled
6510,D4-Blue Collar Unskilled
6520,D2-MaintConstRepair Specialists
6530,D2-MaintConstRepair Specialists
6600,D4-Blue Collar Unskilled
6660,D2-MaintConstRepair Specialists
6700,D2-MaintConstRepair Specialists
6710,D4-Blue Collar Unskilled
6720,D2-MaintConstRepair Specialists
6730,D2-MaintConstRepair Specialists
6740,D2-MaintConstRepair Specialists
6760,D2-MaintConstRepair Specialists
6800,D2-MaintConstRepair Specialists
6820,D2-MaintConstRepair Specialists
6830,D2-MaintConstRepair Specialists
6840,D2-MaintConstRepair Specialists
6940,D4-Blue Collar Unskilled
7000,D2-MaintConstRepair Specialists
7010,D2-MaintConstRepair Specialists
7020,D2-MaintConstRepair Specialists
7030,D2-MaintConstRepair Specialists
7040,D2-MaintConstRepair Specialists
7100,D2-MaintConstRepair Specialists
7110,D2-MaintConstRepair Specialists
7120,D2-MaintConstRepair Specialists
7130,D2-MaintConstRepair Specialists
7140,D2-MaintConstRepair Specialists
7150,D4-Blue Collar Unskilled
7160,D2-MaintConstRepair Specialists
7200,D2-MaintConstRepair Specialists
7210,D2-MaintConstRepair Specialists
7220,D2-MaintConstRepair Specialists
7240,D2-MaintConstRepair Specialists
7260,D4-Blue Collar Unskilled
7300,D2-MaintConstRepair Specialists
7310,D2-MaintConstRepair Specialists
7320,D2-MaintConstRepair Specialists
7330,D2-MaintConstRepair Specialists
7340,D2-MaintConstRepair Specialists
7350,D2-MaintConstRepair Specialists
7360,D2-MaintConstRepair Specialists
7410,D2-MaintConstRepair Specialists
7420,D2-MaintConstRepair Specialists
7430,D2-MaintConstRepair Specialists
7510,D2-MaintConstRepair Specialists
7540,D2-MaintConstRepair Specialists
7550,D4-Blue Collar Unskilled
7560,D2-MaintConstRepair Specialists
7610,D4-Blue Collar Unskilled
7620,D2-MaintConstRepair Specialists
7700,D1-Production Specialists
7710,D1-Production Specialists
7720,D1-Production Specialists
7730,D1-Production Specialists
7740,D1-Production Specialists
7750,D1-Production Specialists
7800,D4-Blue Collar Unskilled
7810,D4-Blue Collar Unskilled
7830,D4-Blue Collar Unskilled
7840,D4-Blue Collar Unskilled
7850,D4-Blue Collar Unskilled
7900,D1-Production Specialists
7920,D1-Production Specialists
7930,D1-Production Specialists
7940,D1-Production Specialists
7950,D1-Production Specialists
7960,D4-Blue Collar Unskilled
8000,D4-Blue Collar Unskilled
8010,D1-Production Specialists
8030,D1-Production Specialists
8040,D1-Production Specialists
8060,D1-Production Specialists
8100,D1-Production Specialists
8130,D1-Production Specialists
8140,D1-Production Specialists
8150,D1-Production Specialists
8200,D4-Blue Collar Unskilled
8210,D1-Production Specialists
8220,D1-Production Specialists
8230,D1-Production Specialists
8240,D1-Production Specialists
8250,D1-Production Specialists
8260,D1-Production Specialists
8300,D4-Blue Collar Unskilled
8310,D4-Blue Collar Unskilled
8320,D4-Blue Collar Unskilled
8330,D4-Blue Collar Unskilled
8340,D4-Blue Collar Unskilled
8350,D4-Blue Collar Unskilled
8400,D4-Blue Collar Unskilled
8410,D4-Blue Collar Unskilled
8420,D4-Blue Collar Unskilled
8450,D4-Blue Collar Unskilled
8460,D4-Blue Collar Unskilled
8500,D1-Production Specialists
8510,D4-Blue Collar Unskilled
8530,D4-Blue Collar Unskilled
8540,D4-Blue Collar Unskilled
8550,D1-Production Specialists
8600,D1-Production Specialists
8610,D1-Production Specialists
8620,D1-Production Specialists
8630,D1-Production Specialists
8640,D1-Production Specialists
8650,D4-Blue Collar Unskilled
8710,D4-Blue Collar Unskilled
8720,D1-Production Specialists
8730,D1-Production Specialists
8740,D1-Production Specialists
8750,D1-Production Specialists
8760,D1-Production Specialists
8800,D4-Blue Collar Unskilled
8810,D4-Blue Collar Unskilled
8830,D1-Production Specialists
8850,D4-Blue Collar Unskilled
8860,D4-Blue Collar Unskilled
8910,D1-Production Specialists
8920,D4-Blue Collar Unskilled
8930,D1-Production Specialists
8940,D1-Production Specialists
8950,D4-Blue Collar Unskilled
8960,D4-Blue Collar Unskilled
9000,D3-ProtectTrans Specialists
9030,D3-ProtectTrans Specialists
9040,D3-ProtectTrans Specialists
9110,D3-ProtectTrans Specialists
9120,D3-ProtectTrans Specialists
9130,D3-ProtectTrans Specialists
9140,D3-ProtectTrans Specialists
9150,D3-ProtectTrans Specialists
9200,D3-ProtectTrans Specialists
9230,D3-ProtectTrans Specialists
9240,D3-ProtectTrans Specialists
9260,D3-ProtectTrans Specialists
9300,D3-ProtectTrans Specialists
9310,D3-ProtectTrans Specialists
9350,D3-ProtectTrans Specialists
