occupation,occupationLabel
339,6_OthR&C
340,6_OthR&C
341,6_OthR&C
342,6_OthR&C
343,6_OthR&C
344,6_OthR&C
345,6_OthR&C
346,6_OthR&C
347,6_OthR&C
348,6_OthR&C
349,6_OthR&C
350,6_OthR&C
351,6_OthR&C
352,6_OthR&C
353,6_OthR&C
354,6_OthR&C
355,6_OthR&C
356,6_OthR&C
357,6_OthR&C
358,6_OthR&C
359,6_OthR&C
360,6_OthR&C
361,6_OthR&C
362,6_OthR&C
363,6_OthR&C
364,6_OthR&C
365,6_OthR&C
366,6_OthR&C
367,6_OthR&C
368,6_OthR&C
369,6_OthR&C
370,6_OthR&C
371,6_OthR&C
372,6_OthR&C
373,6_OthR&C
374,6_OthR&C
375,6_OthR&C
376,6_OthR&C
377,6_OthR&C
378,6_OthR&C
379,6_OthR&C
380,6_OthR&C
381,6_OthR&C
382,6_OthR&C
383,6_OthR&C
384,6_OthR&C
385,6_OthR&C
386,6_OthR&C
387,6_OthR&C
388,6_OthR&C
389,6_OthR&C
390,6_OthR&C
391,6_OthR&C
392,6_OthR&C
393,6_OthR&C
394,6_OthR&C
395,6_OthR&C
396,6_OthR&C
397,6_OthR&C
398,6_OthR&C
399,6_OthR&C
400,6_OthR&C
401,6_OthR&C
402,6_OthR&C
403,7_NonOfc
404,7_NonOfc
405,7_NonOfc
406,7_NonOfc
407,7_NonOfc
408,7_NonOfc
409,7_NonOfc
410,7_NonOfc
411,7_NonOfc
412,7_NonOfc
413,7_NonOfc
414,7_NonOfc
415,7_NonOfc
416,7_NonOfc
417,7_NonOfc
418,7_NonOfc
419,7_NonOfc
420,7_NonOfc
421,7_NonOfc
422,7_NonOfc
423,7_NonOfc
424,7_NonOfc
425,7_NonOfc
426,7_NonOfc
427,7_NonOfc
428,7_NonOfc
429,7_NonOfc
430,7_NonOfc
431,7_NonOfc
432,7_NonOfc
433,7_NonOfc
434,7_NonOfc
435,7_NonOfc
436,7_NonOfc
437,7_NonOfc
438,7_NonOfc
439,7_NonOfc
440,7_NonOfc
441,7_NonOfc
442,7_NonOfc
443,7_NonOfc
444,7_NonOfc
445,7_NonOfc
446,7_NonOfc
447,7_NonOfc
448,7_NonOfc
449,7_NonOfc
450,7_NonOfc
451,7_NonOfc
452,7_NonOfc
453,7_NonOfc
454,7_NonOfc
455,7_NonOfc
456,7_NonOfc
457,7_NonOfc
458,7_NonOfc
459,7_NonOfc
460,7_NonOfc
461,7_NonOfc
462,7_NonOfc
463,7_NonOfc
464,7_NonOfc
465,7_NonOfc
466,7_NonOfc
467,7_NonOfc
468,7_NonOfc
469,7_NonOfc
470,7_NonOfc
471,7_NonOfc
472,7_NonOfc
473,7_NonOfc
474,7_NonOfc
475,7_NonOfc
476,7_NonOfc
477,7_NonOfc
478,7_NonOfc
479,7_NonOfc
480,7_NonOfc
481,7_NonOfc
482,7_NonOfc
483,7_NonOfc
484,7_NonOfc
485,7_NonOfc
486,7_NonOfc
487,7_NonOfc
488,7_NonOfc
489,7_NonOfc
490,7_NonOfc
491,7_NonOfc
492,7_NonOfc
493,7_NonOfc
494,7_NonOfc
495,7_NonOfc
496,7_NonOfc
497,7_NonOfc
498,7_NonOfc
499,7_NonOfc
500,7_NonOfc
501,7_NonOfc
502,7_NonOfc
503,7_NonOfc
504,7_NonOfc
505,7_NonOfc
506,7_NonOfc
507,7_NonOfc
508,7_NonOfc
509,7_NonOfc
510,7_NonOfc
511,7_NonOfc
512,7_NonOfc
513,7_NonOfc
514,7_NonOfc
515,7_NonOfc
516,7_NonOfc
517,7_NonOfc
518,7_NonOfc
519,7_NonOfc
520,7_NonOfc
521,7_NonOfc
522,7_NonOfc
523,7_NonOfc
524,7_NonOfc
525,7_NonOfc
526,7_NonOfc
527,7_NonOfc
528,7_NonOfc
529,7_NonOfc
530,7_NonOfc
531,7_NonOfc
532,7_NonOfc
533,7_NonOfc
534,7_NonOfc
535,7_NonOfc
536,7_NonOfc
537,7_NonOfc
538,7_NonOfc
539,7_NonOfc
540,7_NonOfc
541,7_NonOfc
542,7_NonOfc
543,7_NonOfc
544,7_NonOfc
545,7_NonOfc
546,7_NonOfc
547,7_NonOfc
548,7_NonOfc
549,7_NonOfc
550,7_NonOfc
551,7_NonOfc
552,7_NonOfc
553,7_NonOfc
554,7_NonOfc
555,7_NonOfc
556,7_NonOfc
557,7_NonOfc
558,7_NonOfc
559,7_NonOfc
560,7_NonOfc
561,7_NonOfc
562,7_NonOfc
563,7_NonOfc
564,7_NonOfc
565,7_NonOfc
566,7_NonOfc
567,7_NonOfc
568,7_NonOfc
569,7_NonOfc
570,7_NonOfc
571,7_NonOfc
572,7_NonOfc
573,7_NonOfc
574,7_NonOfc
575,7_NonOfc
576,7_NonOfc
577,7_NonOfc
578,7_NonOfc
579,7_NonOfc
580,7_NonOfc
581,7_NonOfc
582,7_NonOfc
583,7_NonOfc
584,7_NonOfc
585,7_NonOfc
586,7_NonOfc
587,7_NonOfc
588,7_NonOfc
589,7_NonOfc
590,7_NonOfc
591,7_NonOfc
592,7_NonOfc
593,7_NonOfc
594,7_NonOfc
595,7_NonOfc
596,7_NonOfc
597,7_NonOfc
598,7_NonOfc
599,7_NonOfc
600,7_NonOfc
601,7_NonOfc
602,7_NonOfc
603,7_NonOfc
604,7_NonOfc
605,7_NonOfc
606,7_NonOfc
607,7_NonOfc
608,7_NonOfc
609,7_NonOfc
610,7_NonOfc
611,7_NonOfc
612,7_NonOfc
613,7_NonOfc
614,7_NonOfc
615,7_NonOfc
616,7_NonOfc
617,7_NonOfc
618,7_NonOfc
619,7_NonOfc
620,7_NonOfc
621,7_NonOfc
622,7_NonOfc
623,7_NonOfc
624,7_NonOfc
625,7_NonOfc
626,7_NonOfc
627,7_NonOfc
628,7_NonOfc
629,7_NonOfc
630,7_NonOfc
631,7_NonOfc
632,7_NonOfc
633,7_NonOfc
634,7_NonOfc
635,7_NonOfc
636,7_NonOfc
637,7_NonOfc
638,7_NonOfc
639,7_NonOfc
640,7_NonOfc
641,7_NonOfc
642,7_NonOfc
643,7_NonOfc
644,7_NonOfc
645,7_NonOfc
646,7_NonOfc
647,7_NonOfc
648,7_NonOfc
649,7_NonOfc
650,7_NonOfc
651,7_NonOfc
652,7_NonOfc
653,7_NonOfc
654,7_NonOfc
655,7_NonOfc
656,7_NonOfc
657,7_NonOfc
658,7_NonOfc
659,7_NonOfc
660,7_NonOfc
661,7_NonOfc
662,7_NonOfc
663,7_NonOfc
664,7_NonOfc
665,7_NonOfc
666,7_NonOfc
667,7_NonOfc
668,7_NonOfc
669,7_NonOfc
670,7_NonOfc
671,7_NonOfc
672,7_NonOfc
673,7_NonOfc
674,7_NonOfc
675,7_NonOfc
676,7_NonOfc
677,7_NonOfc
678,7_NonOfc
679,7_NonOfc
680,7_NonOfc
681,7_NonOfc
682,7_NonOfc
683,7_NonOfc
684,7_NonOfc
685,7_NonOfc
686,7_NonOfc
687,7_NonOfc
688,7_NonOfc
689,7_NonOfc
690,7_NonOfc
691,7_NonOfc
692,7_NonOfc
693,7_NonOfc
694,7_NonOfc
695,7_NonOfc
696,7_NonOfc
697,7_NonOfc
698,7_NonOfc
699,7_NonOfc
700,7_NonOfc
701,7_NonOfc
702,7_NonOfc
703,7_NonOfc
704,7_NonOfc
705,7_NonOfc
706,7_NonOfc
707,7_NonOfc
708,7_NonOfc
709,7_NonOfc
710,7_NonOfc
711,7_NonOfc
712,7_NonOfc
713,7_NonOfc
714,7_NonOfc
715,7_NonOfc
716,7_NonOfc
717,7_NonOfc
718,7_NonOfc
719,7_NonOfc
720,7_NonOfc
721,7_NonOfc
722,7_NonOfc
723,7_NonOfc
724,7_NonOfc
725,7_NonOfc
726,7_NonOfc
727,7_NonOfc
728,7_NonOfc
729,7_NonOfc
730,7_NonOfc
731,7_NonOfc
732,7_NonOfc
733,7_NonOfc
734,7_NonOfc
735,7_NonOfc
736,7_NonOfc
737,7_NonOfc
738,7_NonOfc
739,7_NonOfc
740,7_NonOfc
741,7_NonOfc
742,7_NonOfc
743,7_NonOfc
744,7_NonOfc
745,7_NonOfc
746,7_NonOfc
747,7_NonOfc
748,7_NonOfc
749,7_NonOfc
750,7_NonOfc
751,7_NonOfc
752,7_NonOfc
753,7_NonOfc
754,7_NonOfc
755,7_NonOfc
756,7_NonOfc
757,7_NonOfc
758,7_NonOfc
759,7_NonOfc
760,7_NonOfc
761,7_NonOfc
762,7_NonOfc
763,7_NonOfc
764,7_NonOfc
765,7_NonOfc
766,7_NonOfc
767,7_NonOfc
768,7_NonOfc
769,7_NonOfc
770,7_NonOfc
771,7_NonOfc
772,7_NonOfc
773,7_NonOfc
774,7_NonOfc
775,7_NonOfc
776,7_NonOfc
777,7_NonOfc
778,7_NonOfc
779,7_NonOfc
780,7_NonOfc
781,7_NonOfc
782,7_NonOfc
783,7_NonOfc
784,7_NonOfc
785,7_NonOfc
786,7_NonOfc
787,7_NonOfc
788,7_NonOfc
789,7_NonOfc
790,7_NonOfc
791,7_NonOfc
792,7_NonOfc
793,7_NonOfc
794,7_NonOfc
795,7_NonOfc
796,7_NonOfc
797,7_NonOfc
798,7_NonOfc
799,7_NonOfc
800,7_NonOfc
801,7_NonOfc
802,7_NonOfc
803,7_NonOfc
804,7_NonOfc
805,7_NonOfc
806,7_NonOfc
807,7_NonOfc
808,7_NonOfc
809,7_NonOfc
810,7_NonOfc
811,7_NonOfc
812,7_NonOfc
813,7_NonOfc
814,7_NonOfc
815,7_NonOfc
816,7_NonOfc
817,7_NonOfc
818,7_NonOfc
819,7_NonOfc
820,7_NonOfc
821,7_NonOfc
822,7_NonOfc
823,7_NonOfc
824,7_NonOfc
825,7_NonOfc
826,7_NonOfc
827,7_NonOfc
828,7_NonOfc
829,7_NonOfc
830,7_NonOfc
831,7_NonOfc
832,7_NonOfc
833,7_NonOfc
834,7_NonOfc
835,7_NonOfc
836,7_NonOfc
837,7_NonOfc
838,7_NonOfc
839,7_NonOfc
840,7_NonOfc
841,7_NonOfc
842,7_NonOfc
843,7_NonOfc
844,7_NonOfc
845,7_NonOfc
846,7_NonOfc
847,7_NonOfc
848,7_NonOfc
849,7_NonOfc
850,7_NonOfc
851,7_NonOfc
852,7_NonOfc
853,7_NonOfc
854,7_NonOfc
855,7_NonOfc
856,7_NonOfc
857,7_NonOfc
858,7_NonOfc
859,7_NonOfc
860,7_NonOfc
861,7_NonOfc
862,7_NonOfc
863,7_NonOfc
864,7_NonOfc
