personType,tourPosition,stop,tourPurpose,stopPurpose,probability
3,0,1,5,3,0.68879
3,0,1,6,1,0.00000
3,0,1,6,2,0.23508
3,0,1,6,3,0.76492
3,0,1,7,1,0.00000
3,0,1,7,2,0.00000
3,0,1,7,3,1.00000
3,0,2,0,1,0.00000
3,0,2,0,2,0.00000
3,0,2,0,3,0.00000
3,0,2,1,1,0.10576
3,0,2,1,2,0.14121
3,0,2,1,3,0.75303
3,0,2,2,1,0.28121
3,0,2,2,2,0.08293
3,0,2,2,3,0.63586
3,0,2,3,1,0.00000
3,0,2,3,2,0.00000
3,0,2,3,3,0.00000
3,0,2,4,1,0.00000
3,0,2,4,2,0.00000
3,0,2,4,3,0.00000
3,0,2,5,1,0.19997
3,0,2,5,2,0.11124
3,0,2,5,3,0.68879
3,0,2,6,1,0.00000
3,0,2,6,2,0.23508
3,0,2,6,3,0.76492
3,0,2,7,1,0.00000
3,0,2,7,2,0.00000
3,0,2,7,3,1.00000
3,1,1,0,1,0.00000
3,1,1,0,2,0.00000
3,1,1,0,3,0.00000
3,1,1,1,1,0.25931
3,1,1,1,2,0.20729
3,1,1,1,3,0.53340
3,1,1,2,1,0.51448
3,1,1,2,2,0.04692
3,1,1,2,3,0.43860
3,1,1,3,1,0.00000
3,1,1,3,2,0.00000
3,1,1,3,3,0.00000
3,1,1,4,1,0.00000
3,1,1,4,2,0.00000
3,1,1,4,3,0.00000
3,1,1,5,1,0.25931
3,1,1,5,2,0.20729
3,1,1,5,3,0.53340
3,1,1,6,1,0.00000
3,1,1,6,2,0.13626
3,1,1,6,3,0.86374
3,1,1,7,1,0.00000
3,1,1,7,2,0.00000
3,1,1,7,3,1.00000
3,1,2,0,1,0.00000
3,1,2,0,2,0.00000
3,1,2,0,3,0.00000
3,1,2,1,1,0.25931
3,1,2,1,2,0.20729
3,1,2,1,3,0.53340
3,1,2,2,1,0.51448
3,1,2,2,2,0.04692
3,1,2,2,3,0.43860
3,1,2,3,1,0.00000
3,1,2,3,2,0.00000
3,1,2,3,3,0.00000
3,1,2,4,1,0.00000
3,1,2,4,2,0.00000
3,1,2,4,3,0.00000
3,1,2,5,1,0.25931
3,1,2,5,2,0.20729
3,1,2,5,3,0.53340
3,1,2,6,1,0.00000
3,1,2,6,2,0.13626
3,1,2,6,3,0.86374
3,1,2,7,1,0.00000
3,1,2,7,2,0.00000
3,1,2,7,3,1.00000
3,2,1,0,1,0.00000
3,2,1,0,2,0.00000
3,2,1,0,3,0.00000
3,2,1,1,1,0.19832
3,2,1,1,2,0.26210
3,2,1,1,3,0.53958
3,2,1,2,1,0.00000
3,2,1,2,2,0.00000
3,2,1,2,3,1.00000
