Activity,LocationDispersionParameter,SizeTermCoefficient,ProductionSubstitutionNesting,InertiaTermCoefficient,InertiaTermConstant,ImporterExporter,Units
sctg05_fkp_food_meat_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg06_fkp_agri_grain_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg07_fkp_food_prep_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg08_fkp_food_alc_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg10_cms_clay_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg11_cms_sand_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg13_cms_mine_nonmet_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg14_cms_mine_met_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg15_pcc_coal_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg16_pcc_petr_crude_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg17_pcc_fuel_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg18_pcc_petr_oil_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg19_pcc_coal_prod_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg20_pcc_chem_basic_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg21_pcc_chem_pharma_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg22_pcc_chem_fert_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg23_pcc_chem_prod_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg24_pcc_petr_plast_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg25_fwp_logs_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg26_fwp_wood_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg27_ppp_papr_puplp_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg28_ppp_papr_paper_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg29_ppp_papr_print_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg30_oth_clth_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg31_cms_min_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg32_mit_metl_base_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg33_mit_metl_prod_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg34_mit_mach_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg35_mit_elct_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg36_mit_tran_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg37_mit_inst_transp_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg38_mit_inst_prec_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg39_oth_furn_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg40_oth_misc_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg41_waste_scrap_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
energy_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
retail_trade_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
transport_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
wholesale_trade_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
construction_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
communications_and_utilities_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
accommodations_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
personal_and_other_services_and_amusements_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
entertainment_services_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
food_services_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
higher_education_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
health_services_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
fire_business_and_professional_services_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
government_administration_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
education_reports_to_sponsors_impt,1,1,1,0,1,Importer,Dollars of activity production/consumption
sctg01_fkp_lvsk_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg02_fkp_agri_cereal_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg03_fkp_agri_other_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg04_fkp_feed_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg05_fkp_food_meat_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg06_fkp_agri_grain_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg07_fkp_food_prep_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg08_fkp_food_alc_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg10_cms_clay_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg11_cms_sand_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg13_cms_mine_nonmet_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg14_cms_mine_met_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg15_pcc_coal_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg16_pcc_petr_crude_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg17_pcc_fuel_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg18_pcc_petr_oil_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg19_pcc_coal_prod_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg20_pcc_chem_basic_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg21_pcc_chem_pharma_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg22_pcc_chem_fert_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg23_pcc_chem_prod_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg24_pcc_petr_plast_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg25_fwp_logs_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg26_fwp_wood_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg27_ppp_papr_puplp_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg28_ppp_papr_paper_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg29_ppp_papr_print_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg30_oth_clth_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg31_cms_min_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg32_mit_metl_base_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg33_mit_metl_prod_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg34_mit_mach_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg35_mit_elct_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg36_mit_tran_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg37_mit_inst_transp_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg38_mit_inst_prec_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
sctg39_oth_furn_expt,1,1,1,0,1,Exporter,Dollars of activity production/consumption
