purpose,distanceAuto,distanceWalk,distanceBike,distanceTransit,distancePowerAuto,distancePowerWalk,distancePowerBike,distancePowerTransit,timeAuto,timeWalk,timeBike,timeTransit,originAuto,originNonMotor,originTransit,destinationAuto,destinationNonMotor,destinationTransit,intraLogAcres,totalRetail,retailProduction,retailOthSvc,nonRetail,gradeSchool,hhs
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,-0.089665376,-0.040913478,-0.195644232,0,1.065498925,0.229813754,2.364682531,-1.280965843,0.253672496,0.901022388,0,1,0,0,0,1.2,0
2,0,0,0,0,0,0,0,0,-0.124788588,-0.0579,-0.098721441,0,0.918914134,-1.791381032,1.94734598,-0.454984729,-0.411453778,1.90907534,0,1,0,0,0,1.2,0
3,0,0,0,0,0,0,0,0,-0.140456216,0,-1.02944282,0,0.661837241,1.289337053,4.659240409,-0.582351416,0.242550996,1.183128743,0,1,1,0.4842,0,0.7194,0.3421
4,0,0,0,0,0,0,0,0,-0.093953402,0,-0.140121345,0,0.474727382,1.499788294,2.375588411,-0.80467216,-1.120175381,1.499668835,0,1,1,0.4842,0,0.7194,0.3421
5,0,0,0,0,0,0,0,0,-0.120718534,-0.037824511,-1.09155967,0,0.896889288,1.404672075,5,-0.461725438,0.367180923,5,0,1,0,0,0,0.8382,0
6,0,0,0,0,0,0,0,0,-0.13726269,-0.099831821,0.099633456,-0.056319389,1.012550558,0.569463722,4.001457523,-0.077895786,0.541894849,2.772156529,0,1,0,0,0,0,0.2892
7,0,0,0,0,0,0,0,0,-0.175546527,-0.492404869,-2.69683031,0,1.349374927,-1.065574199,3.340845139,0.032978149,0.733409114,3.401529954,0,1,0,0,0.0913,0,0.3507
